Time,BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE1::Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN UNTITLED (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1::Des Cool Mass Flow [kg/s]
00:30:00,1.132280E+03,0.000000E+00,7.822990E-02,0.000000E+00
01:00:00,1.128476E+03,0.000000E+00,7.796703E-02,0.000000E+00
01:30:00,1.128693E+03,0.000000E+00,7.798202E-02,0.000000E+00
02:00:00,1.128907E+03,0.000000E+00,7.799683E-02,0.000000E+00
02:30:00,1.129119E+03,0.000000E+00,7.801146E-02,0.000000E+00
03:00:00,1.129328E+03,0.000000E+00,7.802590E-02,0.000000E+00
03:30:00,1.129534E+03,0.000000E+00,7.804017E-02,0.000000E+00
04:00:00,1.129738E+03,0.000000E+00,7.805427E-02,0.000000E+00
04:30:00,1.129940E+03,0.000000E+00,7.806819E-02,0.000000E+00
05:00:00,1.130139E+03,0.000000E+00,7.808194E-02,0.000000E+00
05:30:00,1.130335E+03,0.000000E+00,7.809552E-02,0.000000E+00
06:00:00,1.130530E+03,0.000000E+00,7.810893E-02,0.000000E+00
06:30:00,1.130721E+03,0.000000E+00,7.812218E-02,0.000000E+00
07:00:00,1.130911E+03,0.000000E+00,7.813526E-02,0.000000E+00
07:30:00,1.131098E+03,0.000000E+00,7.814819E-02,0.000000E+00
08:00:00,1.131282E+03,0.000000E+00,7.816095E-02,0.000000E+00
08:30:00,1.131465E+03,0.000000E+00,7.817356E-02,0.000000E+00
09:00:00,1.131645E+03,0.000000E+00,7.818602E-02,0.000000E+00
09:30:00,1.131823E+03,0.000000E+00,7.819832E-02,0.000000E+00
10:00:00,1.131999E+03,0.000000E+00,7.821046E-02,0.000000E+00
10:30:00,1.132173E+03,0.000000E+00,7.822246E-02,0.000000E+00
11:00:00,1.132344E+03,0.000000E+00,7.823431E-02,0.000000E+00
11:30:00,1.132514E+03,0.000000E+00,7.824602E-02,0.000000E+00
12:00:00,1.132681E+03,0.000000E+00,7.825758E-02,0.000000E+00
12:30:00,1.132846E+03,0.000000E+00,7.826900E-02,0.000000E+00
13:00:00,1.133009E+03,0.000000E+00,7.828027E-02,0.000000E+00
13:30:00,1.133171E+03,0.000000E+00,7.829141E-02,0.000000E+00
14:00:00,1.133330E+03,0.000000E+00,7.830241E-02,0.000000E+00
14:30:00,1.133487E+03,0.000000E+00,7.831328E-02,0.000000E+00
15:00:00,1.133643E+03,0.000000E+00,7.832401E-02,0.000000E+00
15:30:00,1.133796E+03,0.000000E+00,7.833461E-02,0.000000E+00
16:00:00,1.133947E+03,0.000000E+00,7.834508E-02,0.000000E+00
16:30:00,1.134097E+03,0.000000E+00,7.835542E-02,0.000000E+00
17:00:00,1.134245E+03,0.000000E+00,7.836563E-02,0.000000E+00
17:30:00,1.134391E+03,0.000000E+00,7.837572E-02,0.000000E+00
18:00:00,1.134535E+03,0.000000E+00,7.838568E-02,0.000000E+00
18:30:00,1.134678E+03,0.000000E+00,7.839552E-02,0.000000E+00
19:00:00,1.134818E+03,0.000000E+00,7.840524E-02,0.000000E+00
19:30:00,1.134957E+03,0.000000E+00,7.841483E-02,0.000000E+00
20:00:00,1.135094E+03,0.000000E+00,7.842431E-02,0.000000E+00
20:30:00,1.135230E+03,0.000000E+00,7.843368E-02,0.000000E+00
21:00:00,1.135364E+03,0.000000E+00,7.844292E-02,0.000000E+00
21:30:00,1.135496E+03,0.000000E+00,7.845206E-02,0.000000E+00
22:00:00,1.135626E+03,0.000000E+00,7.846108E-02,0.000000E+00
22:30:00,1.135755E+03,0.000000E+00,7.846999E-02,0.000000E+00
23:00:00,1.135883E+03,0.000000E+00,7.847879E-02,0.000000E+00
23:30:00,1.136008E+03,0.000000E+00,7.848748E-02,0.000000E+00
24:00:00,1.136133E+03,0.000000E+00,7.849606E-02,0.000000E+00
Peak,1.136133E+03,0.000000E+00,7.849606E-02,0.000000E+00

Peak Vol Flow (m3/s),,,6.594977E-02,0.000000E+00
