Date/Time,ZONE ONE:Zone Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly) 
 06/15  01:00:00,20.999944101536908,570500.6022501719,158.51733532817343,158.47238951393666 
 06/15  02:00:00,20.999995414872444,654469.7194397994,181.82462942423808,181.79714428883318 
 06/15  03:00:00,20.999999818253286,723119.3900006262,200.87441333486822,200.86649722239616 
 06/15  04:00:00,20.9999713330714,783655.6559414983,217.69717730110642,217.68212665041622 
 06/15  05:00:00,21.000034052936677,832173.9225148982,231.10599078460746,231.15942292080507 
 06/15  06:00:00,20.999937369101524,822489.1907469091,228.47830085721216,228.46921965191916 
 06/15  07:00:00,20.99999564502514,720281.068344706,200.11317900183985,200.0780745401961 
 06/15  08:00:00,20.999986369384807,453924.20281102275,126.09795605277759,126.09005633639521 
 06/15  09:00:00,21.016194613544023,73368.35818976801,-6.082333998606373,20.380099497157783 
 06/15  10:00:00,21.265551908335546,0.0,-302.4007097963172,0.0 
 06/15  11:00:00,21.895651818727693,0.0,-1136.5787408992624,0.0 
 06/15  12:00:00,22.687594503406384,0.0,-2239.558637752712,0.0 
 06/15  13:00:00,23.45955714222474,0.0,-3333.6194979596867,0.0 
 06/15  14:00:00,24.14354413802326,0.0,-4311.5414081340905,0.0 
 06/15  15:00:00,24.668016557854678,0.0,-5078.792323080579,0.0 
 06/15  16:00:00,24.940013119620296,0.0,-5508.329628248122,0.0 
 06/15  17:00:00,24.934309894155433,0.0,-7879.190905725613,0.0 
 06/15  18:00:00,24.74244164416012,0.0,-8292.09937182629,0.0 
 06/15  19:00:00,24.36062647573415,0.0,-7513.017130395363,0.0 
 06/15  20:00:00,23.79803344755102,0.0,-6318.208522830275,0.0 
 06/15  21:00:00,23.16645488797073,0.0,-4943.405605926639,0.0 
 06/15  22:00:00,22.517722305702005,0.0,-3521.5902771415967,0.0 
 06/15  23:00:00,21.87241471914362,0.0,-2097.290883191503,0.0 
 06/15  24:00:00,21.256313206251455,0.0,-732.1328060842716,0.0 
 01/15  01:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
 01/15  02:00:00,21.103724235986462,7222943.617193269,1726.017951718247,2006.3732269981301 
