Date/Time,ZONE ONE:Zone Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly) 
 06/15  01:00:00,20.99993838223237,570493.1453384775,158.52565472575498,158.47031814957708 
 06/15  02:00:00,20.999997162270024,654289.9229418894,181.7434746772833,181.7472008171915 
 06/15  03:00:00,21.00000192892161,723079.6531660798,200.84575455578852,200.85545921279996 
 06/15  04:00:00,21.00005291102286,784253.8437271949,217.7863750578481,217.8482899242208 
 06/15  05:00:00,21.00011551153939,832801.5432554223,231.2067212785514,231.33376201539505 
 06/15  06:00:00,20.99987873691457,822968.6006211829,228.76782090555025,228.60238906143968 
 06/15  07:00:00,21.000027377994204,720408.8555862891,200.07012107288847,200.1135709961914 
 06/15  08:00:00,20.99998168524705,454082.75854033773,126.15633672472995,126.13409959453824 
 06/15  09:00:00,21.015313517312094,70867.37692939579,-5.699026814399076,19.68538248038772 
 06/15  10:00:00,21.264458453302954,0.0,-300.73257544861826,0.0 
 06/15  11:00:00,21.894988229641143,0.0,-1135.5805312030152,0.0 
 06/15  12:00:00,22.68719192997259,0.0,-2238.954512996751,0.0 
 06/15  13:00:00,23.459313078678004,0.0,-3333.254233870249,0.0 
 06/15  14:00:00,24.14339617141583,0.0,-4311.320510876078,0.0 
 06/15  15:00:00,24.667926826370522,0.0,-5078.658642543808,0.0 
 06/15  16:00:00,24.93995847570551,0.0,-5508.248403478876,0.0 
 06/15  17:00:00,24.934274370708348,0.0,-7879.117894364967,0.0 
 06/15  18:00:00,24.742415940422084,0.0,-8292.040762170487,0.0 
 06/15  19:00:00,24.360607948214952,0.0,-7512.974837795036,0.0 
 06/15  20:00:00,23.798020114857582,0.0,-6318.178048632406,0.0 
 06/15  21:00:00,23.16644529410418,0.0,-4943.383647537357,0.0 
 06/15  22:00:00,22.517715401275527,0.0,-3521.5744518632064,0.0 
 06/15  23:00:00,21.872409749465874,0.0,-2097.2794761452487,0.0 
 06/15  24:00:00,21.256309628563805,0.0,-732.1245827906614,0.0 
 01/15  01:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  02:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  03:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  04:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  05:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  06:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  07:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  08:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  09:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  10:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  11:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  12:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  13:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  14:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  15:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  16:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  17:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  18:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  19:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  20:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  21:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
 01/15  22:00:00,21.103724235986483,7222943.617193269,1726.0179517181095,2006.3732269981301 
