Date/Time,DistrictHeatingWater:Facility [J](Hourly) 
 06/15  01:00:00,570483.54851914 
 06/15  02:00:00,653217.9268113147 
 06/15  03:00:00,720636.4253249916 
 06/15  04:00:00,780226.6214073156 
 06/15  05:00:00,827523.3165533752 
 06/15  06:00:00,816351.8772275855 
 06/15  07:00:00,713230.7683907521 
 06/15  08:00:00,447915.1696668954 
 06/15  09:00:00,87589.25572252958 
 06/15  10:00:00,0.0 
 06/15  11:00:00,0.0 
 06/15  12:00:00,0.0 
 06/15  13:00:00,0.0 
 06/15  14:00:00,0.0 
 06/15  15:00:00,0.0 
 06/15  16:00:00,0.0 
 06/15  17:00:00,0.0 
 06/15  18:00:00,0.0 
 06/15  19:00:00,0.0 
 06/15  20:00:00,0.0 
 06/15  21:00:00,0.0 
 06/15  22:00:00,0.0 
 06/15  23:00:00,0.0 
 06/15  24:00:00,0.0 
 01/15  01:00:00,7290533.629171062 
 01/15  02:00:00,7290533.204500373 
 01/15  03:00:00,7290532.766069861 
 01/15  04:00:00,7290531.816339842 
 01/15  05:00:00,7290531.391671167 
 01/15  06:00:00,7290530.953242269 
 01/15  07:00:00,7290530.003514064 
 01/15  08:00:00,7290529.578846953 
 01/15  09:00:00,7290528.875737147 
 01/15  10:00:00,7290528.206679873 
 01/15  11:00:00,7290527.766273342 
 01/15  12:00:00,7290527.062922931 
 01/15  13:00:00,7290526.39386359 
 01/15  14:00:00,7290525.953458607 
 01/15  15:00:00,7290525.003705051 
 01/15  16:00:00,7290524.579041638 
 01/15  17:00:00,7290524.140618524 
 01/15  18:00:00,7290523.190896332 
 01/15  19:00:00,7290522.766234928 
 01/15  20:00:00,7290522.063131125 
 01/15  21:00:00,7290521.394079622 
 01/15  22:00:00,7290520.95367891 
 01/15  23:00:00,7290520.250334492 
 01/15  24:00:00,7290519.581280928 
 06/15  01:00:00,570483.54851914 
 06/15  02:00:00,653217.9268113147 
 06/15  03:00:00,720636.4253249916 
 06/15  04:00:00,780226.6214073156 
 06/15  05:00:00,827523.3165533752 
 06/15  06:00:00,816351.8772275855 
 06/15  07:00:00,713230.7683907521 
 06/15  08:00:00,447915.1696668954 
 06/15  09:00:00,87589.25572252958 
 06/15  10:00:00,0.0 
 06/15  11:00:00,0.0 
 06/15  12:00:00,0.0 
 06/15  13:00:00,0.0 
 06/15  14:00:00,0.0 
 06/15  15:00:00,0.0 
 06/15  16:00:00,0.0 
 06/15  17:00:00,0.0 
 06/15  18:00:00,0.0 
 06/15  19:00:00,0.0 
 06/15  20:00:00,0.0 
 06/15  21:00:00,0.0 
 06/15  22:00:00,0.0 
 06/15  23:00:00,0.0 
 06/15  24:00:00,0.0 
 01/15  01:00:00,7290533.629171062 
 01/15  02:00:00,7290533.204500373 
 01/15  03:00:00,7290532.766069861 
 01/15  04:00:00,7290531.816339842 
 01/15  05:00:00,7290531.391671167 
 01/15  06:00:00,7290530.953242269 
 01/15  07:00:00,7290530.003514064 
 01/15  08:00:00,7290529.578846953 
 01/15  09:00:00,7290528.875737147 
 01/15  10:00:00,7290528.206679873 
 01/15  11:00:00,7290527.766273342 
 01/15  12:00:00,7290527.062922931 
 01/15  13:00:00,7290526.39386359 
 01/15  14:00:00,7290525.953458607 
 01/15  15:00:00,7290525.003705051 
 01/15  16:00:00,7290524.579041638 
 01/15  17:00:00,7290524.140618524 
 01/15  18:00:00,7290523.190896332 
 01/15  19:00:00,7290522.766234928 
 01/15  20:00:00,7290522.063131125 
 01/15  21:00:00,7290521.394079622 
 01/15  22:00:00,7290520.95367891 
 01/15  23:00:00,7290520.250334492 
 01/15  24:00:00,7290519.581280928 
