Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SURFACE NORTH:Surface Inside Face Temperature [C](Hourly),SURFACE NORTH:Surface Outside Face Temperature [C](Hourly),SURFACE NORTH:Surface Inside Face Adjacent Air Temperature [C](Hourly),SURFACE NORTH:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),SURFACE NORTH:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE EAST:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE EAST:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE EAST:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE EAST:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE EAST:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE SOUTH:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE WEST:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE WEST:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE WEST:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE WEST:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE WEST:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE ROOF:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE FLOOR:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE FLOOR:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE FLOOR:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE FLOOR:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ZONE ONE PURCHASED AIR:Zone Ideal Loads Zone Total Heating Rate [W](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 06/15  01:00:00,18.983,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.72621980384582,19.067198971256328,21.000093546156187,18.97780000310887,-71.27649966806558,20.999014139688473,18.0,21.000093546156187,-0.0018910039895572643,20.999780287912778,569522.5078590417,158.34946402399964,158.46765236642779,570483.54851914 
 06/15  02:00:00,18.622,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.676392443026447,18.721949897319956,21.000118198055123,18.61680000310887,-83.96982428977222,20.99563621861281,18.0,21.000118198055123,-0.0018888740688790115,20.999763493988883,652228.098211274,181.32842397539662,181.4494241142541,653217.9268113147 
 06/15  03:00:00,18.3655,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.641354154946523,18.476707984232924,21.000137203633038,18.360300003108872,-92.99358334504625,20.995865622567692,18.0,21.000137203633038,-0.0018890187176781497,20.99976286817333,719719.9142010158,200.05963013463497,200.17678481249766,720636.4253249916 
 06/15  04:00:00,18.1375,20.51064140082611,18.260746966346417,21.000150520203672,18.139774999051486,-27.7882048128659,20.510641400752696,18.260746965909554,21.000150520203672,18.139774999051486,-27.788204817388557,20.510641400752696,18.260746965909554,21.000150520203672,18.139774999051486,-27.788204817388557,20.51064140084323,18.260746966448277,21.000150520203672,18.139774999051486,-27.788204811811386,20.610293290700234,18.258751768416584,21.000150520203672,18.13230000310887,-101.02131294402204,20.99610270600228,18.0,21.000150520203672,-0.001889168208710797,20.999765405789383,779389.654036908,216.6196980831237,216.72961705758766,780226.6214073156 
 06/15  05:00:00,17.957,20.4794596591581,18.087830253264503,21.00015878813643,17.959274999051487,-29.537069441088434,20.479459521167406,18.08782946686633,21.00015878813643,17.959274999051487,-29.53707747331991,20.479459521167406,18.08782946686633,21.00015878813643,17.959274999051487,-29.53707747331991,20.47945976125172,18.087830838600325,21.00015878813643,17.959274999051487,-29.537063450225727,20.585583530653505,18.0861620551265,21.00015878813643,17.951800003108872,-107.36806326873187,20.99591877476908,18.0,21.00015878813643,-0.0018890522323667105,20.999772596358643,826777.8435060537,229.76766147013132,229.86758793149312,827523.3165533752 
 06/15  06:00:00,17.994999999999997,20.48565780596981,18.124052102163915,21.00015265956705,17.997274999051488,-29.16064999929978,20.48565755783467,18.12405071769479,21.00015265956705,17.997274999051488,-29.160664031751296,20.48565755783467,18.12405071769479,21.00015265956705,17.997274999051488,-29.160664031751296,20.48565823363003,18.124054520592715,21.00015265956705,17.997274999051488,-29.16062537703739,20.590613834053748,18.122323907522272,21.00015265956705,17.989800003108872,-106.01035597837607,20.996234707046195,18.0,21.00015265956705,-0.0018892514408961228,20.999793457060935,815726.7469987932,226.68044169588484,226.76441034099594,816351.8772275855 
 06/15  07:00:00,18.3845,20.55133884905001,18.496878341497393,21.000125384765436,18.386774999051486,-25.360599171072636,20.551338704377624,18.4968775473619,21.000125384765436,18.386774999051486,-25.36060717473885,20.551338704377624,18.4968775473619,21.000125384765436,18.386774999051486,-25.36060717473885,20.55133960725298,18.496882600990915,21.000125384765436,18.386774999051486,-25.360555900569523,20.642965977888757,18.494460032101358,21.000125384765436,18.37930000310887,-92.24890424218691,20.99648628663097,18.0,21.000125384765436,-0.0018894100723584441,20.999829138507156,712734.3217340033,198.05675852512195,198.11965788632006,713230.7683907521 
 06/15  08:00:00,19.3915,20.721648273450683,19.460897951783274,21.00006760118687,19.393774999051487,-15.544882685752707,20.721648264801892,19.46089791011424,21.00006760118687,19.393774999051487,-15.544883085111632,20.72164831638544,19.46089820986341,21.00006760118687,19.393774999051487,-15.544880007087453,20.72164921759361,19.46090322861034,21.00006760118687,19.393774999051487,-15.544829174545312,20.778664747681336,19.45668722088907,21.00006760118687,19.38630000310887,-56.695589773859574,20.995748257081395,18.0,21.00006760118687,-0.001888944713824723,20.999890846462378,447576.447910948,124.38602498478758,124.42088046302652,447915.1696668954 
 06/15  09:00:00,20.7785,20.968716502254754,20.78969975169627,21.011932739016498,20.780774999051488,-2.1846408061155693,20.968716502254736,20.78969975169627,21.011932739016498,20.780774999051488,-2.184640806115451,20.968716747474563,20.789701137053083,21.011932739016498,20.780774999051488,-2.184626705078716,20.968717376259384,20.789704622072477,21.011932739016498,20.780774999051488,-2.1845914674259728,20.97734048057185,20.783015433491336,21.011932739016498,20.773300003108872,-8.252461213704908,21.005893790207082,18.0,21.011932739016498,-0.0018953418972734305,21.018540450229665,87466.61861176716,-3.29320786835342,24.33034881181377,87589.25572252958 
 06/15  10:00:00,22.127499999999998,21.328828379585037,22.088213006679293,21.165664759538398,22.129774999051488,9.39629130543749,21.328828379585037,22.088213006679293,21.165664759538398,22.129774999051488,9.39629130543749,21.328828797125244,22.088215344141478,21.165664759538398,22.129774999051488,9.396315031005482,21.328829067015164,22.08821683570429,21.165664759538398,22.129774999051488,9.396330076960256,21.539110343546668,22.091983396466016,21.165664759538398,22.122300003108872,23.789091274059942,21.15810554020673,18.0,21.165664759538398,-0.0019913177790466074,21.26851252599906,0.0,-307.1483866517842,0.0,0.0 
