Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  01:00:00,21.38892785181483,21.388927844102618,21.388927539795656,21.388927532083446,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,21.023913140674523,21.02391313708199,20.928672267624346,20.928672264021614,20.174805438245905,20.174805440384823,0.0,0.0,56.9284821820392,16.26528062343977,0.7076328471983988 
 06/15  03:00:00,20.999915654244145,20.99991565269901,20.524398051417208,20.524398049732383,49.57317620135079,49.57317620410977,0.0,0.0,138.58032260981292,39.594377888517975,2.116941713308951 
 06/15  04:00:00,20.999805531995435,20.999805531317723,20.206925654830883,20.206925654054594,61.79818733896133,61.79818734046622,0.0,0.0,143.9498889178199,41.12853969080568,2.8174407253752847 
 06/15  05:00:00,21.000109309139035,21.000109348509707,19.96146316007579,19.961463194640885,70.88767162248647,70.88767158408099,0.0,0.0,135.4246879345132,38.692767981289485,2.817461338964185 
 06/15  06:00:00,20.999995809826085,20.999995987032648,19.79351234420561,19.793512514529176,74.41911252681274,74.41911222004987,0.0,0.0,142.59745765685634,40.74213075910181,2.817443995369247 
 06/15  07:00:00,21.00003194620318,21.00003226426744,19.733325458846142,19.73332577170921,70.03027131694012,70.03027072792725,0.0,0.0,142.26954696653144,40.64844199043755,2.8174447882492197 
 06/15  08:00:00,21.000145326381634,21.00014573674801,19.848054795279616,19.848055212238613,52.06224948433963,52.06224888895181,0.0,0.0,73.84143921774253,21.097554062212147,1.4161729978539683 
 06/15  09:00:00,20.99979338441768,20.99979382424063,20.188011888216252,20.18801233701476,23.433976878062992,23.433976577219916,0.0,0.0,0.0,0.0,0.007142637105437432 
 06/15  10:00:00,21.03986868628051,21.039869101036075,20.69296266173583,20.6929630809996,1.4103518529486059,1.410351834745672,0.0,0.0,0.0,0.0,0.0004298673611530986 
 06/15  11:00:00,21.359045891219075,21.359046216300577,21.24395023842407,21.24395056428107,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  12:00:00,21.86476744294776,21.864767638180226,21.82548630693955,21.825486502319542,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  13:00:00,22.419734657972832,22.419734701651024,22.40633677395547,22.40633681766246,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
