Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  01:00:00,19.660116511541265,19.660116511541265,17.9997037533156,17.9997037533156,449.2315077029803,449.2315077029803,358.96387957688137,358.96387957688137,1612.1381893720616,460.61091124916044,4.041467295154129,4.041467295154129 
 01/15  02:00:00,19.66011674942407,19.66011674942407,18.000092116857978,18.000092116857978,449.2314902197976,449.2314902197976,359.1155288821877,359.1155288821877,1612.4283936269196,460.6938267505485,4.041704236289778,4.041704236289778 
 01/15  03:00:00,19.660118124783516,19.660118124783516,17.99985675194796,17.99985675194796,449.2314946871385,449.2314946871385,359.11798800076076,359.11798800076076,1612.4198687029098,460.6913910579742,4.041704250745334,4.041704250745334 
 01/15  04:00:00,19.660117773351548,19.660117773351548,17.99960317480494,17.99960317480494,449.23149028598755,449.23149028598755,358.96572448831165,358.96572448831165,1612.1418033784732,460.6119438224209,4.0414672890259284,4.0414672890259284 
 01/15  05:00:00,19.660118119580783,19.660118119580783,17.999902191208353,17.999902191208353,449.2315107278837,449.2315107278837,359.11701261991357,359.11701261991357,1612.4178414687206,460.69081184820584,4.041704254182878,4.041704254182878 
 01/15  06:00:00,19.660116511471337,19.660116511471337,17.999703753241356,17.999703753241356,449.23150770389685,449.23150770389685,358.9638795776272,358.9638795776272,1612.1381893753844,460.6109112501099,4.041467295154123,4.041467295154123 
 01/15  07:00:00,19.660116749362118,19.660116749362118,18.000092116791922,18.000092116791922,449.2314902206096,449.2314902206096,359.1155288828488,359.1155288828488,1612.4283936298716,460.69382675139184,4.041704236289773,4.041704236289773 
 01/15  08:00:00,19.66011812472864,19.66011812472864,17.99985675188944,17.99985675188944,449.23149468785937,449.23149468785937,359.11798800134574,359.11798800134574,1612.4198687055202,460.6913910587201,4.04170425074533,4.04170425074533 
 01/15  09:00:00,19.66011777330292,19.66011777330292,17.999603174753123,17.999603174753123,449.2314902866239,449.2314902866239,358.96572448882876,358.96572448882876,1612.1418033807793,460.6119438230798,4.041467289025925,4.041467289025925 
 01/15  10:00:00,19.660118119537692,19.660118119537692,17.999902191162533,17.999902191162533,449.2315107284479,449.2315107284479,359.117012620371,359.117012620371,1612.4178414707662,460.6908118487903,4.041704254182874,4.041704254182874 
