Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  01:00:00,19.44109068968016,17.999870255872583,17.999870255872583,19.44109068968016,452.01570915911554,352.15316452501764,352.15316452501764,452.01570915911554,1604.0994285191964,458.3141224340561,4.031271296460882,4.031271296460882 
 01/15  02:00:00,19.441090806871088,18.000142622412387,18.000142622412387,19.441090806871088,452.0157177328063,352.32351304098927,352.32351304098927,452.0157177328063,1604.4089918134114,458.40256908954603,4.031508204762305,4.031508204762305 
 01/15  03:00:00,19.441090132401754,17.99984188788197,17.99984188788197,19.441090132401754,452.0156641218713,352.1539697721778,352.1539697721778,452.0156641218713,1604.1011502782387,458.31461436521107,4.031271293537562,4.031271293537562 
 01/15  04:00:00,19.44109434983641,18.000058097495888,18.000058097495888,19.44109434983641,452.0156720100077,352.32593943972785,352.32593943972785,452.0156720100077,1604.4136839858045,458.40390971022987,4.03150819680585,4.03150819680585 
 01/15  05:00:00,19.441093729297773,17.99958670947304,17.99958670947304,19.441093729297773,452.01571064915106,352.155759291268,352.155759291268,452.01571064915106,1604.0888279826445,458.31109370932694,4.0312713144360615,4.0312713144360615 
 01/15  06:00:00,19.441090689656683,17.999870255847934,17.999870255847934,19.441090689656683,452.01570915942136,352.15316452525985,352.15316452525985,452.01570915942136,1604.0994285203012,458.3141224343718,4.03127129646088,4.03127129646088 
 01/15  07:00:00,19.44109080685028,18.000142622390495,18.000142622390495,19.44109080685028,452.0157177330798,352.3235130412035,352.3235130412035,452.0157177330798,1604.40899181439,458.40256908982576,4.0315082047623045,4.0315082047623045 
 01/15  08:00:00,19.4410901323833,17.999841887862594,17.999841887862594,19.4410901323833,452.0156641221125,352.1539697723687,352.1539697723687,452.0156641221125,1604.1011502791052,458.31461436545874,4.03127129353756,4.03127129353756 
 01/15  09:00:00,19.441094349820055,18.000058097478654,18.000058097478654,19.441094349820055,452.0156720102224,352.3259394398967,352.3259394398967,452.0156720102224,1604.4136839865726,458.4039097104493,4.031508196805849,4.031508196805849 
 01/15  10:00:00,19.441093729283264,17.999586709457795,17.999586709457795,19.441093729283264,452.0157106493391,352.15575929141727,352.15575929141727,452.0157106493391,1604.0888279833198,458.31109370952,4.031271314436061,4.031271314436061 
 01/15  11:00:00,19.441090689643826,17.999870255834445,17.999870255834445,19.441090689643826,452.0157091595904,352.15316452539264,352.15316452539264,452.0157091595904,1604.0994285209058,458.3141224345445,4.031271296460879,4.031271296460879 
 01/15  12:00:00,19.441090806838876,18.00014262237852,18.00014262237852,19.441090806838876,452.015717733228,352.32351304132095,352.32351304132095,452.015717733228,1604.40899181492,458.40256908997713,4.031508204762304,4.031508204762304 
 01/15  13:00:00,19.441090132373205,17.999841887851993,17.999841887851993,19.441090132373205,452.0156641222454,352.1539697724731,352.1539697724731,452.0156641222454,1604.101150279576,458.3146143655932,4.031271293537559,4.031271293537559 
 01/15  14:00:00,19.441094349811095,18.00005809746923,18.00005809746923,19.441094349811095,452.0156720103382,352.32593943998893,352.32593943998893,452.0156720103382,1604.4136839869902,458.40390971056866,4.031508196805849,4.031508196805849 
 01/15  15:00:00,19.441093729275323,17.999586709449453,17.999586709449453,19.441093729275323,452.0157106494436,352.15575929149895,352.15575929149895,452.0157106494436,1604.088827983688,458.31109370962514,4.03127131443606,4.03127131443606 
 01/15  16:00:00,19.44109068963679,17.999870255827062,17.999870255827062,19.44109068963679,452.01570915968256,352.15316452546483,352.15316452546483,452.01570915968256,1604.0994285212328,458.31412243463797,4.031271296460879,4.031271296460879 
 01/15  17:00:00,19.441090806832644,18.000142622371957,18.000142622371957,19.441090806832644,452.01571773331057,352.32351304138524,352.32351304138524,452.01571773331057,1604.4089918152113,458.40256909006035,4.031508204762304,4.031508204762304 
 01/15  18:00:00,19.44109013236768,17.999841887846188,17.999841887846188,19.44109013236768,452.0156641223176,352.15396977253016,352.15396977253016,452.0156641223176,1604.1011502798378,458.31461436566804,4.031271293537559,4.031271293537559 
 01/15  19:00:00,19.4410943498062,18.00005809746406,18.00005809746406,19.4410943498062,452.01567201040274,352.3259394400396,352.3259394400396,452.01567201040274,1604.4136839872185,458.4039097106339,4.031508196805848,4.031508196805848 
 01/15  20:00:00,19.44109372927098,17.99958670944488,17.99958670944488,19.44109372927098,452.0157106495006,352.1557592915437,352.1557592915437,452.0157106495006,1604.0888279838948,458.31109370968426,4.03127131443606,4.03127131443606 
 01/15  21:00:00,19.441090689632937,17.999870255823023,17.999870255823023,19.441090689632937,452.01570915973286,352.15316452550485,352.15316452550485,452.01570915973286,1604.0994285214178,458.31412243469083,4.031271296460878,4.031271296460878 
 01/15  22:00:00,19.441090806829216,18.000142622368365,18.000142622368365,19.441090806829216,452.0157177333533,352.32351304142054,352.32351304142054,452.0157177333533,1604.4089918153707,458.40256909010594,4.031508204762302,4.031508204762302 
 01/15  23:00:00,19.441090132364643,17.999841887843004,17.999841887843004,19.441090132364643,452.0156641223575,352.1539697725614,352.1539697725614,452.0156641223575,1604.1011502799797,458.3146143657085,4.031271293537558,4.031271293537558 
 01/15  24:00:00,19.441094349803503,18.000058097461228,18.000058097461228,19.441094349803503,452.015672010438,352.3259394400673,352.3259394400673,452.015672010438,1604.4136839873465,458.4039097106704,4.031508196805847,4.031508196805847 
