Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,21.00019449718235,21.00019449718235,21.00019449718235,21.00019449718235,45.01720100573877,444.26437966026697,0.0292655625,444.26437966026697,0.0292655625,444.26437966026697,0.0292655625,444.26437966026697,0.0292655625,1775.1823489904384,41.750061815343265,666.7092193084349,1.9665165392090591,1.9665165392090591,0.12998674,1777.0575186410679 
 01/15  02:00:00,-3.0,21.000435301819905,21.000435301819905,21.000435301819905,21.000435301819905,45.01714710320783,444.44374983961575,0.02938078125,444.44374983961575,0.02938078125,444.44374983961575,0.02938078125,444.44374983961575,0.02938078125,1775.715226239562,41.74902717742744,666.9084803369562,1.9665157183788566,1.9665157183788566,0.12998674,1777.774999358463 
 01/15  03:00:00,-3.0,20.99994160732983,20.99994160732983,20.99994160732983,20.99994160732983,45.017103618375906,444.26633692782787,0.0292655625,444.26633692782787,0.0292655625,444.26633692782787,0.0292655625,444.26633692782787,0.0292655625,1775.092019332315,41.75013067544578,666.6737173351246,1.966516593839045,1.966516593839045,0.12998674,1777.0653477113115 
 01/15  04:00:00,-3.0,21.000225881178828,21.000225881178828,21.000225881178828,21.000225881178828,45.01707122761586,444.2604069864854,0.0292655625,444.2604069864854,0.0292655625,444.2604069864854,0.0292655625,444.2604069864854,0.0292655625,1775.163175269482,41.749967325547324,666.6999173501054,1.9665164642455513,1.9665164642455513,0.12998674,1777.0416279459416 
 01/15  05:00:00,-3.0,21.000508601410992,21.000508601410992,21.000508601410992,21.000508601410992,45.017026643348906,444.4366858584404,0.02938078125,444.4366858584404,0.02938078125,444.4366858584404,0.02938078125,444.4366858584404,0.02938078125,1775.6865586206507,41.748959478965844,666.8957629701313,1.9665156646703954,1.9665156646703954,0.12998674,1777.7467434337616 
 01/15  06:00:00,-3.0,21.00019351457045,21.00019351457045,21.00019351457045,21.00019351457045,45.01699204844186,444.26044879008305,0.0292655625,444.26044879008305,0.0292655625,444.26044879008305,0.0292655625,444.26044879008305,0.0292655625,1775.1665577620204,41.74988192105572,666.6999059276391,1.9665163964899164,1.9665163964899164,0.12998674,1777.0417951603322 
 01/15  07:00:00,-3.0,21.00042028315793,21.00042028315793,21.00042028315793,21.00042028315793,45.01693857157716,444.44010930270485,0.02938078125,444.44010930270485,0.02938078125,444.44010930270485,0.02938078125,444.44010930270485,0.02938078125,1775.7006974624182,41.748845385324245,666.8996469826044,1.9665155741542024,1.9665155741542024,0.12998674,1777.7604372108194 
 01/15  08:00:00,-3.0,20.99991443550097,20.99991443550097,20.99991443550097,20.99991443550097,45.01689776501039,444.26298107037167,0.0292655625,444.26298107037167,0.0292655625,444.26298107037167,0.0292655625,444.26298107037167,0.0292655625,1775.0787002805873,41.749949335165304,666.6653828644488,1.966516449972716,1.966516449972716,0.12998674,1777.0519242814867 
 01/15  09:00:00,-3.0,21.000188752134626,21.000188752134626,21.000188752134626,21.000188752134626,45.01686992835128,444.25732149621183,0.0292655625,444.25732149621183,0.0292655625,444.25732149621183,0.0292655625,444.25732149621183,0.0292655625,1775.1510062796792,41.749788422733175,666.6920883870459,1.966516322313005,1.966516322313005,0.12998674,1777.0292859848473 
 01/15  10:00:00,-3.0,21.000463676947696,21.000463676947696,21.000463676947696,21.000463676947696,45.01683142522677,444.4338680385688,0.02938078125,444.4338680385688,0.02938078125,444.4338680385688,0.02938078125,444.4338680385688,0.02938078125,1775.6755081411125,41.748784598728875,666.8884516024827,1.9665155259292733,1.9665155259292733,0.12998674,1777.7354721542752 
 01/15  11:00:00,-3.0,21.000142233352328,21.000142233352328,21.000142233352328,21.000142233352328,45.016804156493315,444.2578868077669,0.0292655625,444.2578868077669,0.0292655625,444.2578868077669,0.0292655625,444.2578868077669,0.0292655625,1775.1565763262631,41.7497123994678,666.6931155896549,1.9665162619999745,1.9665162619999745,0.12998674,1777.0315472310676 
 01/15  12:00:00,-3.0,21.000364342136297,21.000364342136297,21.000364342136297,21.000364342136297,45.01675897476087,444.43779657151947,0.02938078125,444.43779657151947,0.02938078125,444.43779657151947,0.02938078125,444.43779657151947,0.02938078125,1775.6917461930302,41.74868226289608,666.8933769625165,1.9665154447411406,1.9665154447411406,0.12998674,1777.7511862860779 
 01/15  13:00:00,-3.0,20.999854930508466,20.999854930508466,20.999854930508466,20.999854930508466,45.01672720194903,444.2609072694356,0.0292655625,444.2609072694356,0.0292655625,444.2609072694356,0.0292655625,444.2609072694356,0.0292655625,1775.0707271686367,41.74979344623955,666.6596274668328,1.9665163262982368,1.9665163262982368,0.12998674,1777.0436290777425 
 01/15  14:00:00,-3.0,21.000126883696083,21.000126883696083,21.000126883696083,21.000126883696083,45.01670893625924,444.2554715483108,0.0292655625,444.2554715483108,0.0292655625,444.2554715483108,0.0292655625,444.2554715483108,0.0292655625,1775.1439456703317,41.749640425358855,666.6868304938066,1.9665162048993061,1.9665162048993061,0.12998674,1777.0218861932433 
 01/15  15:00:00,-3.0,21.00040052816399,21.00040052816399,21.00040052816399,21.00040052816399,45.016680355114886,444.43222990993036,0.02938078125,444.43222990993036,0.02938078125,444.43222990993036,0.02938078125,444.43222990993036,0.02938078125,1775.669308324303,41.74864493908673,666.8836768980793,1.966515415130402,1.966515415130402,0.12998674,1777.7289196397214 
 01/15  16:00:00,-3.0,21.000078644542704,21.000078644542704,21.000078644542704,21.000078644542704,45.01666320246134,444.25644778104476,0.0292655625,444.25644778104476,0.0292655625,444.25644778104476,0.0292655625,444.25644778104476,0.0292655625,1775.1511799788336,41.74958137715816,666.6888071253039,1.9665161580534452,1.9665161580534452,0.12998674,1777.025791124179 
 01/15  17:00:00,-3.0,21.0005056128484,21.0005056128484,21.0005056128484,21.0005056128484,45.01660395532229,444.4281589507198,0.02938078125,444.4281589507198,0.02938078125,444.4281589507198,0.02938078125,444.4281589507198,0.02938078125,1775.648842715856,41.74860620527895,666.8747535880623,1.9665153844009589,1.9665153844009589,0.12998674,1777.7126358028793 
 01/15  18:00:00,-3.0,21.00015710967249,21.00015710967249,21.00015710967249,21.00015710967249,45.0165681857642,444.2530381796528,0.0292655625,444.2530381796528,0.0292655625,444.2530381796528,0.0292655625,444.2530381796528,0.0292655625,1775.1368513053312,41.749512731707206,666.6818876213024,1.9665161035935925,1.9665161035935925,0.12998674,1777.012152718611 
 01/15  19:00:00,-3.0,21.000354403820428,21.000354403820428,21.000354403820428,21.000354403820428,45.016521011738824,444.4334842067876,0.02938078125,444.4334842067876,0.02938078125,444.4334842067876,0.02938078125,444.4334842067876,0.02938078125,1775.6744556524031,41.748476122296644,666.8830299017924,1.966515281199669,1.966515281199669,0.12998674,1777.7339368271505 
 01/15  20:00:00,-3.0,20.999827267460404,20.999827267460404,20.999827267460404,20.999827267460404,45.01649124268709,444.25698653468277,0.0292655625,444.25698653468277,0.0292655625,444.25698653468277,0.0292655625,444.25698653468277,0.0292655625,1775.0551275177197,41.74958619739764,666.6499492377083,1.9665161618773945,1.9665161618773945,0.12998674,1777.027946138731 
 01/15  21:00:00,-3.0,21.000692161034237,21.000692161034237,21.000692161034237,21.000692161034237,45.0164776692723,444.42318246586495,0.02938078125,444.42318246586495,0.02938078125,444.42318246586495,0.02938078125,444.42318246586495,0.02938078125,1775.7271538530654,41.74833579128314,666.9021196285063,1.966515169868362,1.966515169868362,0.12998674,1777.6927298634598 
