Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.996782398993503,20.996782398993503,18.00040081109708,18.00040081109708,52.939183649458585,497.98659752703406,0.029496,497.98659752703406,0.029496,335.0684584468092,0.0031361103515624997,335.0684584468092,0.0031361103515624997,1663.7064196633905,49.87792511641407,745.0320788181405,1.9733756115151802,1.9733756115151802,0.12998674,1666.1101119476866 
 01/15  02:00:00,-3.0,20.996980350446293,20.996980350446293,18.00029057511978,18.00029057511978,52.93969443820364,497.99148992512255,0.029496,497.99148992512255,0.029496,335.0751004382182,0.0031361103515624997,335.0751004382182,0.0031361103515624997,1663.7022829281834,49.878443591219195,745.0379756784903,1.9733760671423752,1.9733760671423752,0.12998674,1666.1331807266815 
 01/15  03:00:00,-3.0,20.997160173434466,20.997160173434466,18.000252015885508,18.000252015885508,52.940173967886864,497.99611505089774,0.029496,497.99611505089774,0.029496,335.0804394304869,0.0031361103515624997,335.0804394304869,0.0031361103515624997,1663.7211827736387,49.878888409073554,745.0537147577888,1.9733764580412085,1.9733764580412085,0.12998674,1666.1531089627692 
 01/15  04:00:00,-3.0,20.997324851814017,20.997324851814017,18.00026309220858,18.00026309220858,52.94062502093056,498.0005557019576,0.029496,498.0005557019576,0.029496,335.0847995882769,0.0031361103515624997,335.0847995882769,0.0031361103515624997,1663.7376214176975,49.87930927646858,745.0679197597882,1.9733768278929023,1.9733768278929023,0.12998674,1666.170710580469 
 01/15  05:00:00,-3.0,20.997478865509958,20.997478865509958,18.000308659635866,18.000308659635866,52.941049947379824,498.00477009078475,0.029496,498.00477009078475,0.029496,335.08852789490356,0.0031361103515624997,335.08852789490356,0.0031361103515624997,1663.7524187157837,49.879707034568064,745.0809934530898,1.973377177436636,1.973377177436636,0.12998674,1666.1865959713768 
 01/15  06:00:00,-3.0,20.99762566075507,20.99762566075507,18.000376334043057,18.000376334043057,52.941450381265376,498.00872516533957,0.029496,498.00872516533957,0.029496,335.0917842341593,0.0031361103515624997,335.0917842341593,0.0031361103515624997,1663.7658103787867,49.880082882469985,745.0930661597533,1.9733775077261366,1.9733775077261366,0.12998674,1666.2010187989977 
 01/15  07:00:00,-3.0,20.997767413441007,20.997767413441007,18.000458607482532,18.000458607482532,52.94182743146125,498.01240010783,0.029496,498.01240010783,0.029496,335.0946604978182,0.0031361103515624997,335.0946604978182,0.0031361103515624997,1663.7779235556156,49.88043769896148,745.1042116219767,1.9733778195336509,1.9733778195336509,0.12998674,1666.2141212112965 
 01/15  08:00:00,-3.0,20.997903029242167,20.997903029242167,17.999872646363485,17.999872646363485,52.94218187935945,498.01578544962297,0.029496,498.01578544962297,0.029496,335.005883338537,0.00313431005859375,335.005883338537,0.00313431005859375,1663.605696879076,49.881109142345906,745.0324591732456,1.9733784095887037,1.9733784095887037,0.12998674,1666.0433375763198 
 01/15  09:00:00,-3.0,20.99801335437823,20.99801335437823,18.00041470971515,18.00041470971515,52.94251521749266,498.01920975789926,0.029496,498.01920975789926,0.029496,335.1023113585854,0.0031361103515624997,335.1023113585854,0.0031361103515624997,1663.805432991228,49.88107495762019,745.1269669446536,1.973378379547436,1.973378379547436,0.12998674,1666.2430422329694 
 01/15  10:00:00,-3.0,20.99812781208698,20.99812781208698,17.999936781423376,17.999936781423376,52.94283073982534,498.02237077049415,0.029496,498.02237077049415,0.029496,335.01166491999186,0.00313431005859375,335.01166491999186,0.00313431005859375,1663.628819253586,49.88171554679713,745.0526582198306,1.9733789424885648,1.9733789424885648,0.12998674,1666.068071380972 
