Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.98925431712482,17.999848263169596,17.999848263169596,20.98925431712482,54.34562974649818,520.0366834356286,0.029496,312.89247075819753,0.0025708183593750006,312.89247075819753,0.0025708183593750006,520.0366834356286,0.029496,1663.5032525741267,51.28513920672237,766.2767020377976,1.9746644236728437,1.9746644236728437,0.12998674,1665.858308387652 
 01/15  02:00:00,-3.0,20.98975666110791,17.99962912170432,17.99962912170432,20.98975666110791,54.34733866578189,520.0553689703792,0.029496,312.9117494882182,0.0025708183593750006,312.9117494882182,0.0025708183593750006,520.0553689703792,0.029496,1663.5425851377468,51.28677624177279,766.3207450597666,1.974665929629326,1.974665929629326,0.12998674,1665.9342369171948 
 01/15  03:00:00,-3.0,20.99021902005424,17.99971615026953,17.99971615026953,20.99021902005424,54.34896830828729,520.0735560889173,0.029496,312.92546503724634,0.0025708183593750006,312.92546503724634,0.0025708183593750006,520.0735560889173,0.029496,1663.6032096258873,51.288294792794474,766.3733950300469,1.9746673265909647,1.9746673265909647,0.12998674,1665.9980422523272 
 01/15  04:00:00,-3.0,20.99066774255615,17.999928000935704,17.999928000935704,20.99066774255615,54.350524294122735,520.0908681991913,0.029496,312.9372984566721,0.0025708183593750006,312.9372984566721,0.0025708183593750006,520.0908681991913,0.029496,1663.6584835934252,51.28974951229947,766.4224644293473,1.9746686648338876,1.9746686648338876,0.12998674,1666.056333311727 
 01/15  05:00:00,-3.0,20.991114778495177,18.000202155588916,18.000202155588916,20.991114778495177,54.35200852409367,520.1071183489782,0.029496,312.9478924841497,0.0025708183593750006,312.9478924841497,0.0025708183593750006,520.1071183489782,0.029496,1663.7091843227627,51.29114087119241,766.4683398493222,1.9746699447910576,1.9746699447910576,0.12998674,1666.110021666256 
 01/15  06:00:00,-3.0,20.991564190196975,18.00051565688098,18.00051565688098,20.991564190196975,54.35342117936917,520.1222238792681,0.029496,312.9574908205976,0.0025708183593750006,312.9574908205976,0.0025708183593750006,520.1222238792681,0.029496,1663.7555922460342,51.29246853460443,766.5111529514415,1.9746711661541902,1.9746711661541902,0.12998674,1666.1594293997314 
 01/15  07:00:00,-3.0,20.991997735292674,17.99977852728992,17.99977852728992,20.991997735292674,54.354761872776045,520.1362596571232,0.029496,312.84569021774377,0.002569018066406251,312.84569021774377,0.002569018066406251,520.1362596571232,0.029496,1663.5567673117541,51.294175522881176,766.4398918998388,1.974672736473542,1.974672736473542,0.12998674,1665.963899749734 
 01/15  08:00:00,-3.0,20.99238908093167,18.000005283300517,18.000005283300517,20.99238908093167,54.356034741438954,520.1500920670346,0.029496,312.8535045245133,0.0025690180664062505,312.8535045245133,0.0025690180664062505,520.1500920670346,0.029496,1663.5969000338564,51.295374907105696,766.477690826599,1.9746738398315404,1.9746738398315404,0.12998674,1666.007193183096 
 01/15  09:00:00,-3.0,20.992755023690595,17.999852458038674,17.999852458038674,20.992755023690595,54.35724498356757,520.1630339012763,0.029496,312.86843568464417,0.002569018066406251,312.86843568464417,0.002569018066406251,520.1630339012763,0.029496,1663.6508765263538,51.296486169495175,766.5209212431188,1.9746748621237666,1.9746748621237666,0.12998674,1666.062939171841 
 01/15  10:00:00,-3.0,20.99307578141079,17.999453024522698,17.999453024522698,20.99307578141079,54.358397608263616,520.1759591049854,0.029496,312.74852915777973,0.002567217773437501,312.74852915777973,0.002567217773437501,520.1759591049854,0.029496,1663.4678392881056,51.29797597702282,766.4540720957341,1.974676232655857,1.974676232655857,0.12998674,1665.8489765255304 
 01/15  11:00:00,-3.0,20.99338184715098,17.99969346860506,17.99969346860506,20.99338184715098,54.359499228715876,520.1884227373156,0.029496,312.8893890745195,0.0025690180664062505,312.8893890745195,0.0025690180664062505,520.1884227373156,0.029496,1663.70509881459,51.29864128833834,766.5801041637019,1.9746768447022547,1.9746768447022547,0.12998674,1666.1556236236702 
 01/15  12:00:00,-3.0,20.99367881290418,18.0000480508702,18.0000480508702,20.99367881290418,54.36055242239597,520.2001957410744,0.029496,312.8960136135031,0.002569018066406251,312.8960136135031,0.002569018066406251,520.2001957410744,0.029496,1663.7740070227637,51.2995679754536,766.6278346964858,1.9746776971992683,1.9746776971992683,0.12998674,1666.192418709155 
 01/15  13:00:00,-3.0,20.993976899240582,17.99952493832123,17.99952493832123,20.993976899240582,54.3615577640189,520.2112881632868,0.029496,312.77659741165587,0.002567217773437501,312.77659741165587,0.002567217773437501,520.2112881632868,0.029496,1663.5546329617016,51.30097733006207,766.5420038928173,1.974678993723145,1.974678993723145,0.12998674,1665.9757711498855 
 01/15  14:00:00,-3.0,20.994242964598296,17.999362355940107,17.999362355940107,20.994242964598296,54.36251600816132,520.2219546777386,0.029496,312.7878338128164,0.002567217773437501,312.7878338128164,0.002567217773437501,520.2219546777386,0.029496,1663.596817033901,51.301858224724114,766.5759789294565,1.9746798040956357,1.9746798040956357,0.12998674,1666.0195769811098 
 01/15  15:00:00,-3.0,20.994482320175656,17.99934849650405,17.99934849650405,20.994482320175656,54.36343232002172,520.2324841237366,0.029496,312.7961219023897,0.002567217773437501,312.7961219023897,0.002567217773437501,520.2324841237366,0.029496,1663.632799828197,51.30270858068472,766.6064609907132,1.9746805863749064,1.9746805863749064,0.12998674,1666.057212052253 
 01/15  16:00:00,-3.0,20.994712189277617,17.999412950008285,17.999412950008285,20.994712189277617,54.36431055271442,520.2426125746745,0.029496,312.80329548441034,0.002567217773437501,312.80329548441034,0.002567217773437501,520.2426125746745,0.029496,1663.6658581494744,51.30352623460696,766.6350183130075,1.9746813385707407,1.9746813385707407,0.12998674,1666.0918161181698 
