Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.73877642570485,18.000519906112466,18.000519906112466,19.73877642570485,49.57,465.06088279488006,0.029496,344.6670334044618,0.0042018837890625,344.6670334044618,0.0042018837890625,465.06088279488006,0.029496,1617.2543076852326,46.59374686321537,674.5410346070548,1.9704937447172157,1.9704937447172157,0.12998674,1619.4558323986837 
 01/15  02:00:00,-3.0,19.738775808596646,18.000574202486035,18.000574202486035,19.738775808596646,49.57,465.06089618666863,0.029496,344.6651401781469,0.004201883789062501,344.6651401781469,0.004201883789062501,465.06089618666863,0.029496,1617.2506150051424,46.59375366056606,674.5394944261219,1.970493750673179,1.970493750673179,0.12998674,1619.452072729631 
 01/15  03:00:00,-3.0,19.738774728287307,18.00074718794869,18.00074718794869,19.738774728287307,49.57,465.0608337349417,0.029496,344.66353667808795,0.0042018837890625,344.66353667808795,0.0042018837890625,465.0608337349417,0.029496,1617.2781559787622,46.59370296840775,674.5509814982239,1.9704937062557784,1.9704937062557784,0.12998674,1619.4487408260593 
 01/15  04:00:00,-3.0,19.738778522647348,18.00048899346629,18.00048899346629,19.738778522647348,49.57,465.06077998051285,0.029496,344.66770556926144,0.0042018837890625,344.66770556926144,0.0042018837890625,465.06077998051285,0.029496,1617.2558700956693,46.59374398789208,674.5416862732445,1.970493742197804,1.970493742197804,0.12998674,1619.4569710995488 
 01/15  05:00:00,-3.0,19.738767485928967,18.000816687420375,18.000816687420375,19.738767485928967,49.57,465.06092457936313,0.029496,344.7834179449556,0.0042054843750000005,344.7834179449556,0.0042054843750000005,465.06092457936313,0.029496,1617.4580828582723,46.59337180065165,674.6260272488406,1.970493416080312,1.970493416080312,0.12998674,1619.6886850486371 
 01/15  06:00:00,-3.0,19.738765264236733,18.00046129193988,18.00046129193988,19.738765264236733,49.57,465.06099477946765,0.029496,344.66812503361535,0.0042018837890625,344.66812503361535,0.0042018837890625,465.06099477946765,0.029496,1617.2570539407336,46.593741809247305,674.5421800435012,1.9704937402888354,1.9704937402888354,0.12998674,1619.458239626166 
 01/15  07:00:00,-3.0,19.73876491806641,18.000490440842533,18.000490440842533,19.73876491806641,49.57,465.0610551407981,0.029496,344.66737745948546,0.0042018837890625,344.66737745948546,0.0042018837890625,465.0610551407981,0.029496,1617.2553449491036,46.59374495432582,674.5414672397221,1.9704937430446112,1.9704937430446112,0.12998674,1619.456865200567 
 01/15  08:00:00,-3.0,19.738763516874116,18.000551654705415,18.000551654705415,19.738763516874116,49.57,465.0610866498597,0.029496,344.6654009608628,0.004201883789062501,344.6654009608628,0.004201883789062501,465.0610866498597,0.029496,1617.2515222400314,46.593751990970446,674.539872824966,1.9704937492102481,1.9704937492102481,0.12998674,1619.4529752214448 
 01/15  09:00:00,-3.0,19.738762682591478,18.000729025569804,18.000729025569804,19.738762682591478,49.57,465.06102341861236,0.029496,344.6637476776989,0.0042018837890625,344.6637476776989,0.0042018837890625,465.06102341861236,0.029496,1617.2789604311902,46.59370148796398,674.5513170275035,1.970493704958586,1.970493704958586,0.12998674,1619.4495421926226 
 01/15  10:00:00,-3.0,19.738767217370192,18.00087848701127,18.00087848701127,19.738767217370192,49.57,465.06095954751004,0.029496,344.78268687516277,0.0042054843750000005,344.78268687516277,0.0042054843750000005,465.06095954751004,0.029496,1617.4567119317098,46.59337432358483,674.6254554487114,1.9704934182909524,1.9704934182909524,0.12998674,1619.6872928453456 
