Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.141057947808555,20.141057947808555,20.141057947810133,20.141057947810133,21.00418716940061,21.00418716940061,21.004187169402044,21.004187169402044,50.03,452.50559679590975,0.029496,452.50559679590975,0.029496,452.5055967958887,0.029496,452.5055967958887,0.029496,1807.7611495217432,46.70317217534253,761.5828644640923,1.970589629880547,1.970589629880547,0.12998674,1810.022387183597 
 01/15  02:00:00,-3.0,20.14105603602429,20.14105603602429,20.14105603602603,20.14105603602603,21.00418540733923,21.00418540733923,21.00418540734082,21.00418540734082,50.03,452.5056247682567,0.029496,452.5056247682567,0.029496,452.5056247682326,0.029496,452.5056247682326,0.029496,1807.7612616555616,46.70317196898236,761.582911704401,1.9705896296997127,1.9705896296997127,0.12998674,1810.0224990729787 
 01/15  03:00:00,-3.0,20.141054257884274,20.141054257884274,20.141054257886243,20.141054257886243,21.004183768455952,21.004183768455952,21.00418376845775,21.00418376845775,50.03,452.505650785173,0.029496,452.505650785173,0.029496,452.5056507851463,0.029496,452.5056507851463,0.029496,1807.7613659505655,46.70317177704798,761.5829556423337,1.9705896295315195,1.9705896295315195,0.12998674,1810.0226031406387 
 01/15  04:00:00,-3.0,20.141052604045242,20.141052604045242,20.141052604047537,20.141052604047537,21.00418224413911,21.00418224413911,21.004182244141205,21.004182244141205,50.03,452.50567498336966,0.029496,452.50567498336966,0.029496,452.50567498333834,0.029496,452.50567498333834,0.029496,1807.7614629547934,46.70317159853083,761.582996508771,1.9705896293750842,1.9705896293750842,0.12998674,1810.022699933416 
 01/15  05:00:00,-3.0,20.141051065817557,20.141051065817557,20.141051065819937,20.141051065819937,21.004180826379518,21.004180826379518,21.004180826381727,21.004180826381727,50.03,452.50569748999175,0.029496,452.50569748999175,0.029496,452.50569748995736,0.029496,452.50569748995736,0.029496,1807.7615531779438,46.70317143249291,761.5830345184413,1.9705896292295848,1.9705896292295848,0.12998674,1810.022789959898 
 01/15  06:00:00,-3.0,20.141049635118993,20.141049635118993,20.141049635121018,20.141049635121018,21.004179507727887,21.004179507727887,21.004179507729823,21.004179507729823,50.03,452.50571842329487,0.029496,452.50571842329487,0.029496,452.5057184232631,0.029496,452.5057184232631,0.029496,1807.7616370940773,46.703171278061816,761.5830698710594,1.9705896290942562,1.9705896290942562,0.12998674,1810.0228736931158 
 01/15  07:00:00,-3.0,20.141048304432314,20.141048304432314,20.141048304433703,20.141048304433703,21.004178281255683,21.004178281255683,21.004178281257065,21.004178281257065,50.03,452.5057378932685,0.029496,452.5057378932685,0.029496,452.5057378932446,0.029496,452.5057378932446,0.029496,1807.7617151441223,46.703171134426114,761.5831027523816,1.9705896289683875,1.9705896289683875,0.12998674,1810.0229515730264 
 01/15  08:00:00,-3.0,20.141047066765903,20.141047066765903,20.141047066766852,20.141047066766852,21.004177140518816,21.004177140518816,21.004177140519772,21.004177140519772,50.03,452.50575600221123,0.029496,452.50575600221123,0.029496,452.5057560021951,0.029496,452.5057560021951,0.029496,1807.7617877381472,46.70317100083112,761.5831333351638,1.9705896288513176,1.9705896288513176,0.12998674,1810.0230240088129 
 01/15  09:00:00,-3.0,20.141045915617205,20.141045915617205,20.141045915617852,20.141045915617852,21.004176079523937,21.004176079523937,21.0041760795246,21.0041760795246,50.03,452.5057728452679,0.029496,452.5057728452679,0.029496,452.50577284525633,0.029496,452.50577284525633,0.029496,1807.7618552575586,46.703170876574966,761.5831617800868,1.9705896287424316,1.9705896287424316,0.12998674,1810.0230913810485 
 01/15  10:00:00,-3.0,20.141044844938403,20.141044844938403,20.141044844938637,20.141044844938637,21.00417509269685,21.00417509269685,21.004175092697142,21.004175092697142,50.03,452.50578851092774,0.029496,452.50578851092774,0.029496,452.5057885109213,0.029496,452.5057885109213,0.029496,1807.761918057099,46.7031707610048,761.5831882365984,1.970589628641157,1.970589628641157,0.12998674,1810.0231540436982 
