Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.131539344112348,19.131539344112348,18.000040028550966,18.000040028550966,20.098039926910023,20.098039926910023,18.641077954845596,18.641077954845596,50.03,466.6322265347051,0.029496,466.6322265347051,0.029496,376.678779527364,0.0055449023437500015,376.678779527364,0.0055449023437500015,1684.398715878581,46.930230079958484,709.6121073726058,1.9707886217036434,1.9707886217036434,0.12998674,1686.622012124138 
 01/15  02:00:00,-3.0,19.13153931595364,19.13153931595364,18.000039998888113,18.000039998888113,20.0980399009895,20.0980399009895,18.641077927114218,18.641077927114218,50.03,466.6322269458769,0.029496,466.6322269458769,0.029496,376.6787798659534,0.0055449023437500015,376.6787798659534,0.0055449023437500015,1684.3987173812359,46.93023007719317,709.612108005652,1.9707886217012196,1.9707886217012196,0.12998674,1686.6220136236602 
 01/15  03:00:00,-3.0,19.131539289683666,19.131539289683666,18.00003997120429,18.00003997120429,20.098039876807807,20.098039876807807,18.6410779012328,18.6410779012328,50.03,466.63222732946514,0.029496,466.63222732946514,0.029496,376.6787801819565,0.0055449023437500015,376.6787801819565,0.0055449023437500015,1684.398718783345,46.93023007461289,709.6121085963397,1.9707886216989579,1.9707886216989579,0.12998674,1686.6220150228432 
 01/15  04:00:00,-3.0,19.131539265175213,19.131539265175213,18.000039945367952,18.000039945367952,20.098039854247833,20.098039854247833,18.64107787707837,18.64107787707837,50.03,466.63222768732567,0.029496,466.63222768732567,0.029496,376.67878047687503,0.0055449023437500015,376.67878047687503,0.0055449023437500015,1684.3987200916295,46.930230072205276,709.6121091475005,1.9707886216968475,1.9707886216968475,0.12998674,1686.6220163284013 
 01/15  05:00:00,-3.0,19.13153924230938,19.13153924230938,18.00003992125618,18.00003992125618,20.0980398332001,20.0980398332001,18.641077854536064,18.641077854536064,50.03,466.6322280211955,0.029496,466.6322280211955,0.029496,376.67878075211087,0.0055449023437500015,376.67878075211087,0.0055449023437500015,1684.398721312384,46.930230069958746,709.6121096617862,1.970788621694879,1.970788621694879,0.12998674,1686.6220175466128 
 01/15  06:00:00,-3.0,19.131539220975807,19.131539220975807,18.00003989875424,18.00003989875424,20.098039813562945,20.098039813562945,18.64107783349865,18.64107783349865,50.03,466.6322283326894,0.029496,466.6322283326894,0.029496,376.6787810089739,0.0055449023437500015,376.6787810089739,0.0055449023437500015,1684.3987224514738,46.930230067862496,709.6121101416677,1.9707886216930417,1.9707886216930417,0.12998674,1686.6220186833266 
 01/15  07:00:00,-3.0,19.13153920107166,19.13153920107166,18.00003987775498,18.00003987775498,20.098039795241665,20.098039795241665,18.641077813865984,18.641077813865984,50.03,466.63222862330974,0.029496,466.63222862330974,0.029496,376.6787812486857,0.0055449023437500015,376.6787812486857,0.0055449023437500015,1684.3987235143538,46.9302300659065,709.6121105894433,1.9707886216913268,1.9707886216913268,0.12998674,1686.622019743991 
 01/15  08:00:00,-3.0,19.131539182501044,19.131539182501044,18.000039858158107,18.000039858158107,20.098039778147967,20.098039778147967,18.641077795544355,18.641077795544355,50.03,466.6322288944567,0.029496,466.6322288944567,0.029496,376.67878147239037,0.0055449023437500015,376.67878147239037,0.0055449023437500015,1684.3987245061228,46.93023006408137,709.6121110072608,1.9707886216897275,1.9707886216897275,0.12998674,1686.6220207336942 
 01/15  09:00:00,-3.0,19.131539165174267,19.131539165174267,18.000039839870084,18.000039839870084,20.098039762199292,20.098039762199292,18.641077778446324,18.641077778446324,50.03,466.63222914744017,0.029496,466.63222914744017,0.029496,376.67878168115544,0.0055449023437500015,376.67878168115544,0.0055449023437500015,1684.3987254315523,46.930230062378314,709.6121113971304,1.9707886216882344,1.9707886216882344,0.12998674,1686.6220216571912 
 01/15  10:00:00,-3.0,19.131539149007935,19.131539149007935,18.000039822803814,18.000039822803814,20.098039747318825,20.098039747318825,18.641077762490454,18.641077762490454,50.03,466.6322293834784,0.029496,466.6322293834784,0.029496,376.6787818759758,0.0055449023437500015,376.6787818759758,0.0055449023437500015,1684.3987262950668,46.9302300607892,709.6121117609164,1.9707886216868418,1.9707886216868418,0.12998674,1686.6220225189086 
