Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,18.80093735501717,17.99946197169057,17.999461971688874,18.800937355017933,19.801309462903976,18.594161683968547,18.594161683966753,19.801309462904733,50.03,471.2581844714157,0.029496,365.5406506702249,0.0050120156249999995,365.5406506702492,0.0050120156249999995,471.258184471403,0.029496,1671.378221128623,46.954194998107006,704.126766739505,1.9708096267203525,1.9708096267203525,0.12998674,1673.597670283293 
 01/15  02:00:00,-3.0,18.800937247717194,17.999461861049273,17.99946186104884,18.800937247717734,19.801309364148665,18.594161580462895,18.594161580462277,19.801309364149215,50.03,471.25818603783165,0.029496,365.54065189479024,0.0050120156249999995,365.54065189480076,0.0050120156249999995,471.25818603782216,0.029496,1671.3782267222318,46.954194987813196,704.1267690960092,1.97080962671133,1.97080962671133,0.12998674,1673.5976758652446 
 01/15  03:00:00,-3.0,18.800937147585877,17.999461757799736,17.999461757800354,18.80093714758579,19.80130927199112,18.59416148387229,18.59416148387269,19.801309271991133,50.03,471.2581874995983,0.029496,365.54065303754453,0.0050120156249999995,365.5406530375426,0.0050120156249999995,471.25818749959535,0.029496,1671.3782319421439,46.9541949782071,704.1267712950803,1.9708096267029103,1.9708096267029103,0.12998674,1673.597681074281 
 01/15  04:00:00,-3.0,18.80093705414435,17.999461661448226,17.999461661449637,18.80093705414341,19.80130918599064,18.59416139373483,18.59416139373601,19.801309185989894,50.03,471.2581888637033,0.029496,365.54065410395253,0.0050120156249999995,365.54065410394065,0.0050120156249999995,471.25818886371235,0.029496,1671.3782368133236,46.95419496924276,704.126773347236,1.9708096266950532,1.9708096266950532,0.12998674,1673.5976859353088 
 01/15  05:00:00,-3.0,18.80093696694542,17.999461571533942,17.999461571535782,18.800936966943752,19.801309105735672,18.594161309619423,18.59416130962107,19.801309105734223,50.03,471.25819013667507,0.029496,365.54065509911425,0.0050120156249999995,365.5406550990959,0.0050120156249999995,471.2581901366952,0.029496,1671.378241359067,46.95419496087731,704.12677526229,1.9708096266877209,1.9708096266877209,0.12998674,1673.5976904715803 
 01/15  06:00:00,-3.0,18.80093688557202,17.99946148762711,17.99946148762887,18.80093688556999,19.801309030842322,18.594161231123998,18.594161231125646,19.801309030840493,50.03,471.258191324603,0.029496,365.5406560277874,0.0050120156249999995,365.54065602776797,0.0050120156249999995,471.2581913246301,0.029496,1671.378245601114,46.95419495307076,704.1267770494013,1.9708096266808788,1.9708096266808788,0.12998674,1673.5976947047884 
 01/15  07:00:00,-3.0,18.80093680963504,17.999461409326443,17.999461409327992,18.800936809632915,19.801308960952454,18.59416115787317,18.59416115787465,19.801308960950507,50.03,471.25819243316766,0.029496,365.5406568944122,0.0050120156249999995,365.5406568943946,0.0050120156249999995,471.25819243319745,0.029496,1671.3782495597472,46.95419494578576,704.1267787171145,1.9708096266744932,1.9708096266744932,0.12998674,1673.5976986551718 
 01/15  08:00:00,-3.0,18.800936738771462,17.999461336257298,17.999461336258847,18.80093673876928,19.801308895731946,18.594161089516483,18.59416108951794,19.80130889572993,50.03,471.2581934676697,0.029496,365.5406577031346,0.0050120156249999995,365.5406577031178,0.0050120156249999995,471.25819346770083,0.029496,1671.3782532538958,46.95419493898749,704.1267802734044,1.9708096266685344,1.9708096266685344,0.12998674,1673.5977023416228 
 01/15  09:00:00,-3.0,18.800936672642557,17.9994612680701,17.999461268071677,18.800936672640397,19.801308834869044,18.59416102572689,18.594161025728376,19.801308834867037,50.03,471.25819443305386,0.029496,365.5406584578242,0.0050120156249999995,365.54065845780684,0.0050120156249999995,471.25819443308546,0.029496,1671.3782567012295,46.95419493264342,704.1267817257146,1.970809626662974,1.970809626662974,0.12998674,1673.5977057817704 
 01/15  10:00:00,-3.0,18.800936610932048,17.999461204438667,17.999461204440003,18.800936610929803,19.801308778072684,18.594160966199247,18.594160966200548,19.801308778070602,50.03,471.25819533393627,0.029496,365.5406591620907,0.0050120156249999995,365.5406591620747,0.0050120156249999995,471.2581953339683,0.029496,1671.3782599182316,46.95419492672323,704.1267830809899,1.9708096266577848,1.9708096266577848,0.12998674,1673.59770899207 
 01/15  11:00:00,-3.0,18.800936553344368,17.99946114505868,17.999461145059463,18.800936553341913,19.801308725070875,18.594160910648853,18.59416091064967,19.80130872506861,50.03,471.25819617462923,0.029496,365.54065981930296,0.0050120156249999995,365.54065981929193,0.0050120156249999995,471.258196174664,0.029496,1671.3782629203083,46.95419492119857,704.1267843457199,1.9708096266529425,1.9708096266529425,0.12998674,1673.5977119878883 
 01/15  12:00:00,-3.0,18.800936499603942,17.999461089645603,17.999461089645813,18.80093649960138,19.801308675609967,18.59416085880961,18.594160858809897,19.801308675607594,50.03,471.25819695915783,0.029496,365.54066043260707,0.0050120156249999995,365.54066043260207,0.0050120156249999995,471.25819695919483,0.029496,1671.3782657218203,46.95419491604301,704.1267855259554,1.9708096266484239,1.9708096266484239,0.12998674,1673.597714783562 
 01/15  13:00:00,-3.0,18.800936449453697,17.999461037934022,17.999461037933706,18.80093644945111,19.801308629453374,18.59416081043317,18.59416081043296,19.801308629450958,50.03,471.2581976912745,0.029496,365.5406610049426,0.0050120156249999995,365.5406610049438,0.0050120156249999995,471.25819769131215,0.029496,1671.3782683361756,46.954194911231866,704.1267866273442,1.9708096266442068,1.9708096266442068,0.12998674,1673.597717392473 
 01/15  14:00:00,-3.0,18.800936402653605,17.999460989677026,17.999460989676447,18.800936402651374,19.80130858638016,18.594160765288475,18.594160765287985,19.80130858637803,50.03,471.2581983744836,0.029496,365.5406615390451,0.0050120156249999995,365.5406615390502,0.0050120156249999995,471.2581983745182,0.029496,1671.3782707758826,46.95419490674212,704.1267876551564,1.9708096266402715,1.9708096266402715,0.12998674,1673.597719827097 
 01/15  15:00:00,-3.0,18.800936358980202,17.999460944644245,17.99946094464356,18.800936358978433,19.80130854618461,18.594160723160016,18.59416072315939,19.8013085461829,50.03,471.25819901204966,0.029496,365.5406620374635,0.0050120156249999995,365.5406620374706,0.0050120156249999995,471.2581990120779,0.029496,1671.3782730525909,46.95419490255233,704.1267886142997,1.970809626636599,1.970809626636599,0.12998674,1673.5977220990617 
 01/15  16:00:00,-3.0,18.800936318224615,17.99946090262018,17.99946090261973,18.800936318223414,19.801308508674524,18.594160683846226,18.594160683845775,19.801308508673316,50.03,471.2581996070195,0.029496,365.54066250258154,0.0050120156249999995,365.5406625025875,0.0050120156249999995,471.2581996070405,0.029496,1671.3782751771876,46.95419489864248,704.1267895093606,1.970809626633172,1.970809626633172,0.12998674,1673.597724219229 
 01/15  17:00:00,-3.0,18.800936280192026,17.999460863403563,17.999460863403627,18.800936280191436,19.801308473670563,18.59416064715885,18.594160647158844,19.80130847366992,50.03,471.2582001622391,0.029496,365.54066293662567,0.0050120156249999995,365.5406629366272,0.0050120156249999995,471.25820016225066,0.029496,1671.3782771598321,46.954194894993854,704.1267903446194,1.9708096266299742,1.9708096266299742,0.12998674,1673.5977261977428 
 01/15  18:00:00,-3.0,18.80093624470051,17.999460826806857,17.99946082680725,18.80093624470012,19.80130844100533,18.594160612922405,18.594160612922728,19.801308441004917,50.03,471.2582006803621,0.029496,365.54066334167385,0.0050120156249999995,365.5406633416708,0.0050120156249999995,471.2582006803687,0.029496,1671.3782790100213,46.95419489158899,704.1267911240766,1.9708096266269899,1.9708096266269899,0.12998674,1673.5977280440754 
 01/15  19:00:00,-3.0,18.800936211580016,17.99946079265527,17.999460792655697,18.80093621157966,19.801308410522335,18.59416058097336,18.594160580973746,19.80130841052198,50.03,471.25820116387007,0.029496,365.5406637196604,0.0050120156249999995,365.5406637196559,0.0050120156249999995,471.2582011638762,0.029496,1671.3782807366056,46.95419488841159,704.1267918514609,1.970809626624205,1.970809626624205,0.12998674,1673.5977297670624 
 01/15  20:00:00,-3.0,18.800936180672206,17.999460760785535,17.99946076078577,18.800936180671982,19.80130838207581,18.594160551158993,18.594160551159234,19.801308382075575,50.03,471.25820161507767,0.029496,365.540664072392,0.0050120156249999995,365.5406640723884,0.0050120156249999995,471.25820161508204,0.029496,1671.3782823478418,46.95419488544646,704.1267925302507,1.9708096266216057,1.9708096266216057,0.12998674,1673.5977313749404 
 01/15  21:00:00,-3.0,18.80093615182968,17.99946073104526,17.99946073104502,18.800936151829482,19.801308355530068,18.59416052333674,18.59416052333658,19.801308355529873,50.03,471.2582020361372,0.029496,365.54066440155526,0.0050120156249999995,365.54066440155583,0.0050120156249999995,471.2582020361405,0.029496,1671.3782838514242,46.954194882679445,704.1267931636875,1.9708096266191804,1.9708096266191804,0.12998674,1673.5977328753888 
 01/15  22:00:00,-3.0,18.800936124914212,17.99946070329214,17.999460703291383,18.800936124914145,19.801308330757948,18.594160497373498,18.59416049737285,19.801308330757863,50.03,471.2582024290625,0.029496,365.5406647087245,0.0050120156249999995,365.5406647087307,0.0050120156249999995,471.25820242906474,0.029496,1671.3782852545426,46.95419488009732,704.1267937548004,1.9708096266169173,1.9708096266169173,0.12998674,1673.5977342755823 
 01/15  23:00:00,-3.0,18.80093609979682,17.999460677393042,17.999460677392086,18.80093609979695,19.80130830764074,18.59416047314474,18.59416047314387,19.801308307640834,50.03,471.2582027957381,0.029496,365.54066499537214,0.0050120156249999995,365.540664995382,0.0050120156249999995,471.258202795737,0.029496,1671.3782865639175,46.9541948776877,704.1267943064206,1.9708096266148054,1.9708096266148054,0.12998674,1673.5977355822295 
 01/15  24:00:00,-3.0,18.800936076357296,17.99946065322401,17.999460653223384,18.800936076357555,19.8013082860678,18.59416045053448,18.594160450533852,19.801308286068014,50.03,471.2582031379184,0.029496,365.54066526287124,0.0050120156249999995,365.5406652628798,0.0050120156249999995,471.2582031379157,0.029496,1671.3782877858212,46.95419487543906,704.1267948211905,1.9708096266128343,1.9708096266128343,0.12998674,1673.597736801585 
