Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.130789415796496,19.130789415796496,19.130789415801825,19.130789415801825,20.991395286451354,20.991395286451354,20.99139528645629,20.99139528645629,51.357573219053066,473.40897376515204,0.029496,473.40897376515204,0.029496,473.4089737650745,0.029496,473.4089737650745,0.029496,1891.277354326074,47.877245786956095,819.6636466742688,1.9716190126226802,1.9716190126226802,0.12998674,1893.6358950604529 
 01/15  02:00:00,-3.0,19.13154359763793,19.13154359763793,19.131543597642676,19.131543597642676,20.99216528136331,20.99216528136331,20.99216528136776,20.99216528136776,51.358934508119034,473.41816913833435,0.029496,473.41816913833435,0.029496,473.41816913826244,0.029496,473.41816913826244,0.029496,1891.309632870065,47.87854789395787,819.7011144600069,1.9716201548572048,1.9716201548572048,0.12998674,1893.6726765531935 
 01/15  03:00:00,-3.0,19.132277356202632,19.132277356202632,19.13227735620646,19.13227735620646,20.992909281420353,20.992909281420353,20.992909281423987,20.992909281423987,51.36017311404041,473.4258478225781,0.029496,473.4258478225781,0.029496,473.4258478225178,0.029496,473.4258478225178,0.029496,1891.3359907866206,47.87973819416285,819.7339009705139,1.9716211990137098,1.9716211990137098,0.12998674,1893.7033912901916 
 01/15  04:00:00,-3.0,19.132988728174375,19.132988728174375,19.13298872817709,19.13298872817709,20.993625744221877,20.993625744221877,20.99362574422452,20.99362574422452,51.36129322754729,473.43210004133175,0.029496,473.43210004133175,0.029496,473.43210004128645,0.029496,473.43210004128645,0.029496,1891.3568033994743,47.88082018847628,819.7622408719258,1.9716221481629577,1.9716221481629577,0.12998674,1893.7284001652365 
 01/15  05:00:00,-3.0,19.133676027508702,19.133676027508702,19.13367602751002,19.13367602751002,20.99431339446762,20.99431339446762,20.994313394469014,20.994313394469014,51.36229928071346,473.4370156537097,0.029496,473.4370156537097,0.029496,473.437015653683,0.029496,473.437015653683,0.029496,1891.3724379392338,47.88179763372948,819.7863695409831,1.9716230056002522,1.9716230056002522,0.12998674,1893.7480626147853 
 01/15  06:00:00,-3.0,19.1343378306048,19.1343378306048,19.134337830604764,19.134337830604764,20.994971208213236,20.994971208213236,20.99497120821338,20.99497120821338,51.363195904586036,473.44068381493514,0.029496,473.44068381493514,0.029496,473.44068381492906,0.029496,473.44068381492906,0.029496,1891.383252294353,47.88267450227133,819.8065217865325,1.9716237748099936,1.9716237748099936,0.12998674,1893.7627352597283 
 01/15  07:00:00,-3.0,19.13497296108527,19.13497296108527,19.134972961084564,19.134972961084564,20.99559839615781,20.99559839615781,20.99559839615725,20.99559839615725,51.36398788935621,473.4431922773287,0.029496,473.4431922773287,0.029496,473.44319227733615,0.029496,473.44319227733615,0.029496,1891.3896058144423,47.88345492519273,819.8229358392251,1.9716244594158703,1.9716244594158703,0.12998674,1893.7727691093296 
 01/15  08:00:00,-3.0,19.135580475864835,19.135580475864835,19.135580475864156,19.135580475864156,20.99619438976425,20.99619438976425,20.996194389763655,20.996194389763655,51.364680147057,473.4446273760315,0.029496,473.4446273760315,0.029496,473.4446273760409,0.029496,473.4446273760409,0.029496,1891.3918436044846,47.88414318034415,819.8358458949563,1.9716250631703425,1.9716250631703425,0.12998674,1893.778509504145 
 01/15  09:00:00,-3.0,19.1361596498055,19.1361596498055,19.13615964980481,19.13615964980481,20.99675882432241,20.99675882432241,20.996758824321798,20.996758824321798,51.36527767654674,473.4450733325459,0.029496,473.4450733325459,0.029496,473.4450733325553,0.029496,473.4450733325553,0.029496,1891.3903097000696,47.884743632504055,819.8454872162791,1.9716255899021573,1.9716255899021573,0.12998674,1893.7802933302028 
 01/15  10:00:00,-3.0,19.13670996184579,19.13670996184579,19.136709961845174,19.136709961845174,20.997291525456788,20.997291525456788,20.997291525456234,20.997291525456234,51.365785531178616,473.4446124442441,0.029496,473.4446124442441,0.029496,473.4446124442533,0.029496,473.4446124442533,0.029496,1891.385332409879,47.88526073244097,819.8520892163177,1.9716260435155206,1.9716260435155206,0.12998674,1893.7784497769949 
