Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,18.594301219089495,18.594301219089495,17.99947584494381,17.99947584494381,20.510737514202894,20.510737514202894,19.727416657838912,19.727416657838912,51.27,479.53452334930205,0.029496,479.53452334930205,0.029496,437.08673499036473,0.011118609375000001,437.08673499036473,0.011118609375000001,1830.8641022465383,47.90084880599074,792.0189241652865,1.9716397178728617,1.9716397178728617,0.12998674,1833.2425166793337 
 01/15  02:00:00,-3.0,18.594300778671112,18.594300778671112,17.999475420213717,17.999475420213717,20.51073710647367,20.51073710647367,19.72741627012311,19.72741627012311,51.27,479.53452980793963,0.029496,479.53452980793963,0.029496,437.08674044919854,0.011118609375000001,437.08674044919854,0.011118609375000001,1830.8641261252387,47.90084876204922,792.0189344950444,1.9716397178343148,1.9716397178343148,0.12998674,1833.2425405142765 
 01/15  03:00:00,-3.0,18.594300365489474,18.594300365489474,17.999475021684546,17.999475021684546,20.510736723930968,20.510736723930968,19.727415906297615,19.727415906297615,51.27,479.53453586756325,0.029496,479.53453586756325,0.029496,437.08674557165716,0.011118609375000001,437.08674557165716,0.011118609375000001,1830.8641485304445,47.90084872081922,792.0189441873787,1.971639717798146,1.971639717798146,0.12998674,1833.2425628784408 
 01/15  04:00:00,-3.0,18.594299977847665,18.594299977847665,17.999474647734623,17.999474647734623,20.510736365008025,20.510736365008025,19.727415564886524,19.727415564886524,51.27,479.53454155299755,0.029496,479.53454155299755,0.029496,437.08675037852277,0.011118609375000001,437.08675037852277,0.011118609375000001,1830.8641695535387,47.900848682132576,792.0189532818213,1.9716397177642087,1.9716397177642087,0.12998674,1833.2425838630406 
 01/15  05:00:00,-3.0,18.594299614155624,18.594299614155624,17.99947429684285,17.99947429684285,20.5107360282365,20.5107360282365,19.727415244505266,19.727415244505266,51.27,479.5345468875089,0.029496,479.5345468875089,0.029496,437.0867548892896,0.011118609375000001,437.0867548892896,0.011118609375000001,1830.8641892802002,47.90084864583163,792.0189618154362,1.9716397177323641,1.9716397177323641,0.12998674,1833.2426035535968 
 01/15  06:00:00,-3.0,18.59429927292343,18.59429927292343,17.99947396758232,17.99947396758232,20.510735712240358,20.510735712240358,19.72741494385472,19.72741494385472,51.27,479.5345518929,0.029496,479.5345518929,0.029496,437.086759122249,0.011118609375000001,437.086759122249,0.011118609375000001,1830.8642077907693,47.900848611768524,792.0189698229782,1.971639717702483,1.971639717702483,0.12998674,1833.2426220302982 
 01/15  07:00:00,-3.0,18.594298952754883,18.594298952754883,17.99947365861488,17.99947365861488,20.510735415729943,20.510735415729943,19.727414661716296,19.727414661716296,51.27,479.53455658960564,0.029496,479.53455658960564,0.029496,437.0867630945599,0.011118609375000001,437.0867630945599,0.011118609375000001,1830.8642251605672,47.90084857980467,792.0189773370304,1.9716397176744431,1.9716397176744431,0.12998674,1833.242639368331 
 01/15  08:00:00,-3.0,18.59429865234153,18.59429865234153,17.99947336868558,17.99947336868558,20.51073513749651,20.51073513749651,19.727414396946994,19.727414396946994,51.27,479.53456099677715,0.029496,479.53456099677715,0.029496,437.0867668223165,0.011118609375000001,437.0867668223165,0.011118609375000001,1830.864241460226,47.900848549810085,792.018984388148,1.9716397176481304,1.9716397176481304,0.12998674,1833.242655638187 
 01/15  09:00:00,-3.0,18.594298370456922,18.594298370456922,17.999473096617674,17.999473096617674,20.51073487640693,20.51073487640693,19.727414148474818,19.727414148474818,51.27,479.53456513236716,0.029496,479.53456513236716,0.029496,437.08677032061416,0.011118609375000001,437.08677032061416,0.011118609375000001,1830.8642567559532,47.90084852166294,792.0189910049719,1.9716397176234386,1.9716397176234386,0.12998674,1833.2426709059628 
 01/15  10:00:00,-3.0,18.59429810595142,18.59429810595142,17.99947284130746,17.99947284130746,20.51073463139889,20.51073463139889,19.727413915294193,19.727413915294193,51.27,479.53456901320635,0.029496,479.53456901320635,0.029496,437.08677360361077,0.011118609375000001,437.08677360361077,0.011118609375000001,1830.8642711098535,47.90084849524892,792.0189972143683,1.9716397176002673,1.9716397176002673,0.12998674,1833.2426852336343 
 01/15  11:00:00,-3.0,18.59429785774755,18.59429785774755,17.999472601719397,17.999472601719397,20.510734401476647,20.510734401476647,19.727413696461518,19.727413696461518,51.27,479.534572655072,0.029496,479.534572655072,0.029496,437.08677668459177,0.011118609375000001,437.08677668459177,0.011118609375000001,1830.8642845801496,47.90084847046092,792.0190030415234,1.971639717578522,1.971639717578522,0.12998674,1833.2426986793275 
 01/15  12:00:00,-3.0,18.59429762483516,18.59429762483516,17.99947237688207,17.99947237688207,20.510734185706582,20.510734185706582,19.727413491091472,19.727413491091472,51.27,479.53457607275493,0.029496,479.53457607275493,0.029496,437.08677957602276,0.011118609375000001,437.08677957602276,0.011118609375000001,1830.8642972214595,47.90084844719841,792.0190085100653,1.9716397175581157,1.9716397175581157,0.12998674,1833.2427112975552 
 01/15  13:00:00,-3.0,18.594297406267657,18.594297406267657,17.999472165884207,17.999472165884207,20.510733983213655,20.510733983213655,19.727413298353408,19.727413298353408,51.27,479.5345792801204,0.029496,479.5345792801204,0.029496,437.08678228959855,0.011118609375000001,437.08678228959855,0.011118609375000001,1830.8643090849969,47.90084842536717,792.0190136421479,1.9716397175389644,1.9716397175389644,0.12998674,1833.2427231394379 
 01/15  14:00:00,-3.0,18.594297201157463,18.594297201157463,17.999471967871095,17.999471967871095,20.510733793177373,20.510733793177373,19.727413117468117,19.727413117468117,51.27,479.5345822901658,0.029496,479.5345822901658,0.029496,437.08678483629143,0.011118609375000001,437.08678483629143,0.011118609375000001,1830.8643202187868,47.900848404878786,792.0190184585471,1.9716397175209912,1.9716397175209912,0.12998674,1833.2427342529145 
 01/15  15:00:00,-3.0,18.594297008671806,18.594297008671806,17.999471782041255,17.999471782041255,20.510733614827842,20.510733614827842,19.72741294770481,19.72741294770481,51.27,479.53458511508626,0.029496,479.53458511508626,0.029496,437.0867872263921,0.011118609375000001,437.0867872263921,0.011118609375000001,1830.8643306678925,47.90084838565038,792.0190229787568,1.9716397175041234,1.9716397175041234,0.12998674,1833.2427446829565 
