Date/Time,DistrictHeatingWater:Facility [J](Hourly) 
 06/15  01:00:00,0.0 
 06/15  02:00:00,163816.1875045919 
 06/15  03:00:00,731013.9306604945 
 06/15  04:00:00,763242.1975435212 
 06/15  05:00:00,810516.9997614655 
 06/15  06:00:00,806146.7065367799 
 06/15  07:00:00,702339.0630881952 
 06/15  08:00:00,434679.15180834034 
 06/15  09:00:00,84916.19673728566 
 06/15  10:00:00,0.0 
 06/15  11:00:00,0.0 
 06/15  12:00:00,0.0 
 06/15  13:00:00,0.0 
 06/15  14:00:00,0.0 
 06/15  15:00:00,0.0 
 06/15  16:00:00,0.0 
 06/15  17:00:00,0.0 
 06/15  18:00:00,0.0 
 06/15  19:00:00,0.0 
 06/15  20:00:00,0.0 
 06/15  21:00:00,0.0 
 06/15  22:00:00,0.0 
 06/15  23:00:00,0.0 
 06/15  24:00:00,0.0 
 01/15  01:00:00,6398028.429452086 
 01/15  02:00:00,6398028.429452086 
 01/15  03:00:00,6398028.429452086 
 01/15  04:00:00,6398028.429452086 
 01/15  05:00:00,6398028.429452086 
 01/15  06:00:00,6398028.429452086 
 01/15  07:00:00,6398028.429452086 
 01/15  08:00:00,6398028.429452086 
 01/15  09:00:00,6398028.429452086 
 01/15  10:00:00,6398028.429452086 
 01/15  11:00:00,6398028.429452086 
 01/15  12:00:00,6398028.429452086 
 01/15  13:00:00,6398028.429452086 
 01/15  14:00:00,6398028.429452086 
 01/15  15:00:00,6398028.429452086 
 01/15  16:00:00,6398028.429452086 
 01/15  17:00:00,6398028.429452086 
 01/15  18:00:00,6398028.429452086 
 01/15  19:00:00,6398028.429452086 
 01/15  20:00:00,6398028.429452086 
 01/15  21:00:00,6398028.429452086 
 01/15  22:00:00,6398028.429452086 
 01/15  23:00:00,6398028.429452086 
 01/15  24:00:00,6398028.429452086 
 06/15  01:00:00,0.0 
 06/15  02:00:00,163816.1875045919 
 06/15  03:00:00,731013.9306604945 
 06/15  04:00:00,763242.1975435212 
 06/15  05:00:00,810516.9997614655 
 06/15  06:00:00,806146.7065367799 
 06/15  07:00:00,702339.0630881952 
 06/15  08:00:00,434679.15180834034 
 06/15  09:00:00,84916.19673728566 
 06/15  10:00:00,0.0 
 06/15  11:00:00,0.0 
 06/15  12:00:00,0.0 
 06/15  13:00:00,0.0 
 06/15  14:00:00,0.0 
 06/15  15:00:00,0.0 
 06/15  16:00:00,0.0 
 06/15  17:00:00,0.0 
 06/15  18:00:00,0.0 
 06/15  19:00:00,0.0 
 06/15  20:00:00,0.0 
 06/15  21:00:00,0.0 
 06/15  22:00:00,0.0 
 06/15  23:00:00,0.0 
 06/15  24:00:00,0.0 
 01/15  01:00:00,6398028.429452086 
 01/15  02:00:00,6398028.429452086 
 01/15  03:00:00,6398028.429452086 
 01/15  04:00:00,6398028.429452086 
 01/15  05:00:00,6398028.429452086 
 01/15  06:00:00,6398028.429452086 
 01/15  07:00:00,6398028.429452086 
 01/15  08:00:00,6398028.429452086 
 01/15  09:00:00,6398028.429452086 
 01/15  10:00:00,6398028.429452086 
 01/15  11:00:00,6398028.429452086 
 01/15  12:00:00,6398028.429452086 
 01/15  13:00:00,6398028.429452086 
 01/15  14:00:00,6398028.429452086 
 01/15  15:00:00,6398028.429452086 
 01/15  16:00:00,6398028.429452086 
 01/15  17:00:00,6398028.429452086 
 01/15  18:00:00,6398028.429452086 
 01/15  19:00:00,6398028.429452086 
 01/15  20:00:00,6398028.429452086 
 01/15  21:00:00,6398028.429452086 
 01/15  22:00:00,6398028.429452086 
 01/15  23:00:00,6398028.429452086 
 01/15  24:00:00,6398028.429452086 
