Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  01:00:00,21.403829974367007,21.40382996666073,21.40382997654995,21.40382996884367,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,20.974649065204765,20.974649061608325,20.97464906622352,20.974649062627087,11.39329942734086,11.393299428409163,11.39329942703895,11.393299428107252,165.30436285146806,47.229817957562304,27.093723540481058 
 06/15  03:00:00,20.990175016376977,20.990175014840826,20.990175016812138,20.990175015275984,50.539768099267285,50.53976810213313,50.53976809845676,50.53976810132261,153.08929689077516,43.73979911165004,54.20357155640721 
 06/15  04:00:00,20.999738376538808,20.99973837583022,20.999738376747946,20.99973837603933,52.875753354267,52.875753355597745,52.87575335389541,52.87575335522151,162.4421015599229,46.41202901712082,54.20381315239876 
 06/15  05:00:00,21.00000317803579,21.00000321128683,21.000003198234598,21.000003231485604,56.168658199830844,56.168658175415516,56.16865818363678,56.16865815922145,175.69678254723547,50.19908072778156,54.20483796621816 
 06/15  06:00:00,20.999928162636845,20.999928319511184,20.999928232053502,20.99992838892785,55.865296950144554,55.86529675049289,55.86529685297089,55.86529665332156,174.8451859194957,49.9557674055702,54.20497213225349 
 06/15  07:00:00,21.000026331132663,21.000026634386654,21.000026411797027,21.000026715051,48.71427041621504,48.71427003574402,48.71427029684626,48.71426991637058,146.76162384702872,41.931892527722496,54.20313767865832 
 06/15  08:00:00,21.000083063352253,21.000083470232788,21.000083101080165,21.000083507960667,30.164361401727493,30.16436106229784,30.164361351638078,30.164361012208417,0.0,0.0,0.018389483389901037 
 06/15  09:00:00,21.004929176562392,21.00492961722386,21.00492913820861,21.004929578870012,5.893919272659838,5.8939191975094545,5.893919272062983,5.893919196907953,0.0,0.0,0.003593016216823552 
 06/15  10:00:00,21.166104070364227,21.166104485260067,21.16610392702969,21.166104341925507,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  11:00:00,21.548469368517527,21.54846969340877,21.54846913355857,21.548469458449805,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  12:00:00,22.04466096063559,22.04466115577281,22.044660663459958,22.04466085859718,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  13:00:00,22.574304470585048,22.574304514231933,22.574304145109732,22.57430418875663,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  14:00:00,23.098472086127085,23.09847197323756,23.098471768574356,23.098471655684847,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  15:00:00,23.561454902787258,23.561454643826462,23.561454627898314,23.561454368937525,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  16:00:00,23.89410563891083,23.89410525416683,23.894105434633538,23.89410504988954,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  17:00:00,24.05666296203076,24.056662495525785,24.05666285184802,24.056662385343046,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  18:00:00,24.06177672446147,24.061776230347913,24.061776712981402,24.061776218867845,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  19:00:00,23.91581297522994,23.91581252752915,23.915813032337688,23.91581258463691,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  20:00:00,23.62045125479893,23.620450928812197,23.620451338226204,23.62045101223948,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
