Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 06/15  01:00:00,21.39810832841874,21.398108320638656,21.398108330529585,21.3981083228946,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,20.972257403851952,20.935620739485344,20.935620744105385,20.972257401274025,12.177756829432655,0.0,0.0,12.177756830252466,139.9452463886157,39.98435611103305,27.09378486855292 
 06/15  03:00:00,21.06055969808922,20.532435221158742,20.532435223318377,21.060559697008266,64.63432295530234,0.0,0.0,64.63432295785933,104.13283632088344,29.75223894882384,27.108165871296162 
 06/15  04:00:00,21.173538616578846,20.261641649365647,20.261641650376127,21.17353861617129,79.51296049446685,0.0,0.0,79.5129604957047,92.21726946491647,26.34779127569042,27.11203943878452 
 06/15  05:00:00,21.235556080959615,20.092350552159697,20.092350539012727,21.235556143464414,89.67678530589052,0.0,0.0,89.67678522546831,172.2406365136141,49.21161043246117,54.20142433690422 
 06/15  06:00:00,21.273548039510196,20.000176473005858,20.00017638135897,21.273548299320673,93.17121970555421,0.0,0.0,93.17121912276076,137.55717336811477,39.30204953374707,54.20224839032298 
 06/15  07:00:00,21.28945926461249,20.003285082051974,20.00328485695801,21.289459670288174,87.10113257395695,0.0,0.0,87.10113160190454,65.6590512841165,18.759728938319,27.11393994447925 
 06/15  08:00:00,21.26970082366506,20.16441053647376,20.164410157106378,21.269701273079168,63.31178507730807,0.0,0.0,63.31178423684024,98.23214836600968,28.066328104574193,27.107519616758324 
 06/15  09:00:00,21.194728947634,20.508238675804304,20.508238183324238,21.194729351332843,24.83720133227393,0.0,0.0,24.83720101573147,0.0,0.0,0.007622138007629818 
 06/15  10:00:00,21.155978636654094,20.954240218615208,20.95423966108421,21.155978922805247,0.3451057114360528,0.0,0.0,0.3451057076482263,0.0,0.0,0.00010567616432345703 
