Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  01:00:00,21.001353989629255,21.001353989629255,21.001353989629255,21.001353989629255,444.34996158232053,444.34996158232053,444.34996158232053,444.34996158232053,1771.8491530917195,506.24261516906273,5.345892460985355,5.345892460985355 
 01/15  02:00:00,21.00142040090948,21.00142040090948,21.00142040090948,21.00142040090948,444.34906045146795,444.34906045146795,444.34906045146795,444.34906045146795,1771.8455422074271,506.24158348783635,5.34589246710952,5.34589246710952 
 01/15  03:00:00,21.0014780641377,21.0014780641377,21.0014780641377,21.0014780641377,444.3482804688326,444.3482804688326,444.3482804688326,444.3482804688326,1771.8424173785988,506.24069067959965,5.3458924724093215,5.3458924724093215 
 01/15  04:00:00,21.001528500788094,21.001528500788094,21.001528500788094,21.001528500788094,444.3475991110008,444.3475991110008,444.3475991110008,444.3475991110008,1771.8396878810543,506.2399108231583,5.34589247703863,5.34589247703863 
 01/15  05:00:00,21.000501387282885,21.000501387282885,21.000501387282885,21.000501387282885,444.1725449132717,444.1725449132717,444.1725449132717,444.1725449132717,1771.1963800824242,506.05610859497835,5.285110637990192,5.285110637990192 
 01/15  06:00:00,21.000831316153636,21.000831316153636,21.000831316153636,21.000831316153636,444.3598992178527,444.3598992178527,444.3598992178527,444.3598992178527,1771.8900110513832,506.25428887182375,5.3458923916846075,5.3458923916846075 
 01/15  07:00:00,21.001046876550955,21.001046876550955,21.001046876550955,21.001046876550955,444.3543636365142,444.3543636365142,444.3543636365142,444.3543636365142,1771.866839272559,506.2476683635883,5.345892430989072,5.345892430989072 
 01/15  08:00:00,21.0011801218391,21.0011801218391,21.0011801218391,21.0011801218391,444.35236832527505,444.35236832527505,444.35236832527505,444.35236832527505,1771.8588086264915,506.2453738932833,5.345892444609284,5.345892444609284 
 01/15  09:00:00,21.001276074440895,21.001276074440895,21.001276074440895,21.001276074440895,444.35102742310505,444.35102742310505,444.35102742310505,444.35102742310505,1771.8534261476834,506.2438360421953,5.345892453738125,5.345892453738125 
 01/15  10:00:00,21.001353989629276,21.001353989629276,21.001353989629276,21.001353989629276,444.34996158231985,444.34996158231985,444.34996158231985,444.34996158231985,1771.8491530917167,506.24261516906193,5.345892460985355,5.345892460985355 
 01/15  11:00:00,21.001420400909502,21.001420400909502,21.001420400909502,21.001420400909502,444.3490604514667,444.3490604514667,444.3490604514667,444.3490604514667,1771.8455422074117,506.24158348783186,5.34589246710952,5.34589246710952 
 01/15  12:00:00,21.00147806413772,21.00147806413772,21.00147806413772,21.00147806413772,444.3482804688326,444.3482804688326,444.3482804688326,444.3482804688326,1771.8424173785988,506.24069067959965,5.3458924724093215,5.3458924724093215 
 01/15  13:00:00,21.001528500788112,21.001528500788112,21.001528500788112,21.001528500788112,444.34759911100014,444.34759911100014,444.34759911100014,444.34759911100014,1771.8396878810543,506.2399108231583,5.34589247703863,5.34589247703863 
 01/15  14:00:00,21.000501387282895,21.000501387282895,21.000501387282895,21.000501387282895,444.17254491327105,444.17254491327105,444.17254491327105,444.17254491327105,1771.1963800824242,506.05610859497835,5.285110637990192,5.285110637990192 
 01/15  15:00:00,21.000831316153644,21.000831316153644,21.000831316153644,21.000831316153644,444.3598992178521,444.3598992178521,444.3598992178521,444.3598992178521,1771.8900110513805,506.254288871823,5.3458923916846075,5.3458923916846075 
 01/15  16:00:00,21.001046876550966,21.001046876550966,21.001046876550966,21.001046876550966,444.3543636365142,444.3543636365142,444.3543636365142,444.3543636365142,1771.866839272559,506.2476683635883,5.345892430989072,5.345892430989072 
 01/15  17:00:00,21.001180121839106,21.001180121839106,21.001180121839106,21.001180121839106,444.35236832527505,444.35236832527505,444.35236832527505,444.35236832527505,1771.8588086264915,506.2453738932833,5.345892444609284,5.345892444609284 
 01/15  18:00:00,21.001276074440902,21.001276074440902,21.001276074440902,21.001276074440902,444.35102742310505,444.35102742310505,444.35102742310505,444.35102742310505,1771.8534261476834,506.2438360421953,5.345892453738125,5.345892453738125 
 01/15  19:00:00,21.001353989629276,21.001353989629276,21.001353989629276,21.001353989629276,444.34996158231985,444.34996158231985,444.34996158231985,444.34996158231985,1771.8491530917167,506.24261516906193,5.345892460985355,5.345892460985355 
