Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly) 
 01/15  01:00:00,19.7527645623598,18.000131084304545,18.000131084304545,19.7527645623598,465.68741295844677,344.30536570066323,344.30536570066323,465.68741295844677,1615.748261231425,461.64236035183575,4.0103574110004025,4.0103574110004025 
 01/15  02:00:00,19.752764562376882,18.00013108432297,18.00013108432297,19.752764562376882,465.687412958215,344.30536570048685,344.30536570048685,465.687412958215,1615.7482612306078,461.64236035160224,4.010357411000404,4.010357411000404 
 01/15  03:00:00,19.75276456239205,18.000131084339326,18.000131084339326,19.75276456239205,465.68741295800805,344.3053657003302,344.3053657003302,465.68741295800805,1615.748261229879,461.642360351394,4.010357411000405,4.010357411000405 
 01/15  04:00:00,19.752764562405513,18.000131084353846,18.000131084353846,19.752764562405513,465.68741295782564,344.3053657001909,344.3053657001909,465.68741295782564,1615.7482612292345,461.64236035120985,4.010357411000406,4.010357411000406 
 01/15  05:00:00,19.752764562417468,18.000131084366735,18.000131084366735,19.752764562417468,465.68741295766324,344.3053657000672,344.3053657000672,465.68741295766324,1615.7482612286603,461.64236035104585,4.010357411000407,4.010357411000407 
 01/15  06:00:00,19.752764562428073,18.000131084378182,18.000131084378182,19.752764562428073,465.687412957517,344.30536569995763,344.30536569995763,465.687412957517,1615.748261228151,461.64236035090033,4.010357411000408,4.010357411000408 
 01/15  07:00:00,19.752764562437488,18.000131084388336,18.000131084388336,19.752764562437488,465.6874129573897,344.30536569985986,344.30536569985986,465.6874129573897,1615.7482612276967,461.6423603507704,4.010357411000408,4.010357411000408 
 01/15  08:00:00,19.752764562445858,18.000131084397353,18.000131084397353,19.752764562445858,465.6874129572776,344.30536569977386,344.30536569977386,465.6874129572776,1615.7482612273006,461.6423603506573,4.010357411000409,4.010357411000409 
 01/15  09:00:00,19.752764562453272,18.00013108440536,18.00013108440536,19.752764562453272,465.68741295717507,344.30536569969684,344.30536569969684,465.68741295717507,1615.748261226946,461.6423603505561,4.01035741100041,4.01035741100041 
 01/15  10:00:00,19.752764562459856,18.000131084412466,18.000131084412466,19.752764562459856,465.68741295708577,344.3053656996289,344.3053656996289,465.68741295708577,1615.7482612266288,461.64236035046537,4.010357411000411,4.010357411000411 
