Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,21.00020347058681,21.00020347058681,21.00020347058681,21.00020347058681,49.518998107706324,444.29638147524736,0.0292655625,444.29638147524736,0.0292655625,444.29638147524736,0.0292655625,444.29638147524736,0.0292655625,1774.9324992726654,46.252514513828785,739.4815561958917,1.9701947959351795,1.9701947959351795,0.12998674,1777.1855259009894 
 01/15  02:00:00,-3.0,21.000006374723938,21.000006374723938,21.000006374723938,21.000006374723938,49.518964140939985,444.30170639589124,0.0292655625,444.30170639589124,0.0292655625,444.30170639589124,0.0292655625,444.30170639589124,0.0292655625,1774.958088260384,46.25243344076034,739.4916675097281,1.9701947249189686,1.9701947249189686,0.12998674,1777.206825583565 
 01/15  03:00:00,-3.0,21.000406468491704,21.000406468491704,21.000406468491704,21.000406468491704,49.51892898810054,444.29225251297055,0.0292655625,444.29225251297055,0.0292655625,444.29225251297055,0.0292655625,444.29225251297055,0.0292655625,1774.9986376560407,46.2523236477643,739.5079925418866,1.9701946287456875,1.9701946287456875,0.12998674,1777.1690100518822 
 01/15  04:00:00,-3.0,21.00055659842982,21.00055659842982,21.00055659842982,21.00055659842982,49.5188764832217,444.45031497909804,0.02938078125,444.45031497909804,0.02938078125,444.45031497909804,0.02938078125,444.45031497909804,0.02938078125,1775.475305062798,46.25139376512587,739.7057336795621,1.9701938142124944,1.9701938142124944,0.12998674,1777.8012599163922 
 01/15  05:00:00,-3.0,21.000211794324002,21.000211794324002,21.000211794324002,21.000211794324002,49.51881025189358,444.2932567868529,0.0292655625,444.2932567868529,0.0292655625,444.2932567868529,0.0292655625,444.2932567868529,0.0292655625,1774.9198485756838,46.252349910723865,739.4732449781376,1.9701946517506421,1.9701946517506421,0.12998674,1777.1730271474116 
 01/15  06:00:00,-3.0,20.999999564687688,20.999999564687688,20.999999564687688,20.999999564687688,49.51877526440789,444.2988170400356,0.0292655625,444.2988170400356,0.0292655625,444.2988170400356,0.0292655625,444.2988170400356,0.0292655625,1774.946504887071,46.25226585819116,739.4837844053357,1.9701945781245715,1.9701945781245715,0.12998674,1777.1952681601424 
 01/15  07:00:00,-3.0,21.000388166814204,21.000388166814204,21.000388166814204,21.000388166814204,49.51874143894996,444.28957221465157,0.0292655625,444.28957221465157,0.0292655625,444.28957221465157,0.0292655625,444.28957221465157,0.0292655625,1774.987971296424,46.25215570333925,739.5005129027411,1.9701944816343357,1.9701944816343357,0.12998674,1777.1582888586063 
 01/15  08:00:00,-3.0,21.0005298570838,21.0005298570838,21.0005298570838,21.0005298570838,49.5186920152735,444.4478233228812,0.02938078125,444.4478233228812,0.02938078125,444.4478233228812,0.02938078125,444.4478233228812,0.02938078125,1775.465448603803,46.25122740898911,739.6986405463783,1.9701936684925276,1.9701936684925276,0.12998674,1777.7912932915249 
 01/15  09:00:00,-3.0,21.00017788912224,21.00017788912224,21.00017788912224,21.00017788912224,49.518630220502274,444.29095355071337,0.0292655625,444.29095355071337,0.0292655625,444.29095355071337,0.0292655625,444.29095355071337,0.0292655625,1774.91079581806,46.25218651575776,739.4665594364967,1.970194508624396,1.970194508624396,0.12998674,1777.1638142028535 
 01/15  10:00:00,-3.0,21.000347519341354,21.000347519341354,21.000347519341354,21.000347519341354,49.51860077036554,444.2884111164063,0.0292655625,444.2884111164063,0.0292655625,444.2884111164063,0.0292655625,444.2884111164063,0.0292655625,1774.9862801729296,46.25201811918181,739.4975313572835,1.9701943611171742,1.9701943611171742,0.12998674,1777.1536444656251 
 01/15  11:00:00,-3.0,21.000094876187124,21.000094876187124,21.000094876187124,21.000094876187124,49.51852333898847,444.29284401820786,0.0292655625,444.29284401820786,0.0292655625,444.29284401820786,0.0292655625,444.29284401820786,0.0292655625,1774.919284287589,46.25206399074037,739.4683660867552,1.9701944012982446,1.9701944012982446,0.12998674,1777.1713760728314 
 01/15  12:00:00,-3.0,21.000631131961164,21.000631131961164,21.000631131961164,21.000631131961164,49.518488809462525,444.44001888009194,0.02938078125,444.44001888009194,0.02938078125,444.44001888009194,0.02938078125,444.44001888009194,0.02938078125,1775.430702135391,46.25108812274431,739.6808743930235,1.9701935464845508,1.9701935464845508,0.12998674,1777.7600755203678 
