Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.987943115327145,19.987943115327145,17.999896608159503,17.999896608159503,49.57,461.1763829331574,0.029496,461.1763829331574,0.029496,353.1775902245973,0.0044827294921875,353.1775902245973,0.0044827294921875,1626.504246840058,46.57672164457854,678.3990942195092,1.9704788270165103,1.9704788270165103,0.12998674,1628.7079463155094 
 01/15  02:00:00,-3.0,19.987939546570118,19.987939546570118,17.9998894743173,17.9998894743173,49.57,461.17643855670417,0.029496,461.17643855670417,0.029496,353.17767412562745,0.0044827294921875,353.17767412562745,0.0044827294921875,1626.5045269495804,46.576721129089094,678.3992110504654,1.9704788265648356,1.9704788265648356,0.12998674,1628.7082253646631 
 01/15  03:00:00,-3.0,19.98793607366872,19.98793607366872,17.99988356215121,17.99988356215121,49.57,461.1764932612849,0.029496,461.1764932612849,0.029496,353.17774338010076,0.0044827294921875,353.17774338010076,0.0044827294921875,1626.5047758172964,46.57672067109438,678.3993148507681,1.9704788261635384,1.9704788261635384,0.12998674,1628.7084732827714 
 01/15  04:00:00,-3.0,19.987932799340612,19.987932799340612,17.999878595891538,17.999878595891538,49.57,461.17654518078825,0.029496,461.17654518078825,0.029496,353.1778013697124,0.0044827294921875,353.1778013697124,0.0044827294921875,1626.5049964864527,46.57672026499387,678.3994068897258,1.970478825807711,1.970478825807711,0.12998674,1628.7086931010012 
 01/15  05:00:00,-3.0,19.987929774912793,19.987929774912793,17.999874379508267,17.999874379508267,49.57,461.1765933482141,0.029496,461.1765933482141,0.029496,353.1778504805617,0.0044827294921875,353.1778504805617,0.0044827294921875,1626.5051918037027,46.57671990554881,678.3994883546502,1.9704788254927632,1.9704788254927632,0.12998674,1628.7088876575517 
 01/15  06:00:00,-3.0,19.987927019774475,19.987927019774475,17.999870769821296,17.999870769821296,49.57,461.176637358687,0.029496,461.176637358687,0.029496,353.1778924433426,0.0044827294921875,353.1778924433426,0.0044827294921875,1626.5053644281975,46.576719587865554,678.3995603546473,1.9704788252144074,1.9704788252144074,0.12998674,1628.7090596040593 
 01/15  07:00:00,-3.0,19.98792453402759,19.98792453402759,17.999867659512518,17.999867659512518,49.57,461.17667714956167,0.029496,461.17667714956167,0.029496,353.1779285467367,0.0044827294921875,353.1779285467367,0.0044827294921875,1626.5055168193078,46.57671930741809,678.3996239154965,1.9704788249686778,1.9704788249686778,0.12998674,1628.7092113925967 
 01/15  08:00:00,-3.0,19.987924759742526,19.987924759742526,18.00028992172443,18.00028992172443,49.57,461.17671285871245,0.029496,461.17671285871245,0.029496,353.17068488371945,0.0044827294921875,353.17068488371945,0.0044827294921875,1626.5185720475563,46.57669527571261,678.4050691241615,1.9704788039119967,1.9704788039119967,0.12998674,1628.6947954848638 
 01/15  09:00:00,-3.0,19.987939363863028,19.987939363863028,18.000049668481928,18.000049668481928,49.57,461.1764967324719,0.029496,461.1764967324719,0.029496,353.17571506133766,0.0044827294921875,353.17571506133766,0.0044827294921875,1626.500729562456,46.57672811916648,678.3976271972472,1.9704788326895788,1.9704788326895788,0.12998674,1628.7044235876192 
 01/15  10:00:00,-3.0,19.987947833422915,19.987947833422915,17.999994075475783,17.999994075475783,49.57,461.17634897677635,0.029496,461.17634897677635,0.029496,353.17640736916695,0.0044827294921875,353.17640736916695,0.0044827294921875,1626.5017983941516,46.57672615218066,678.3980729965468,1.9704788309660952,1.9704788309660952,0.12998674,1628.7055126918867 
