Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.998581806201788,20.998581806201788,20.998581806201788,20.998581806201788,45.99470072182113,498.19324484970593,0.0177436875,498.19324484970593,0.0177436875,498.19324484970593,0.0177436875,498.19324484970593,0.0177436875,1990.7120911521342,42.33088923028835,45.99470072182113,765.40150648745,1.9669774467029795,1.9669774467029795,0.12998674,1992.7729793988237 
 01/15  02:00:00,-3.0,20.999210872248526,20.999210872248526,20.999210872248526,20.999210872248526,45.99487914553136,498.3317196396683,0.017772492187500002,498.3317196396683,0.017772492187500002,498.3317196396683,0.017772492187500002,498.3317196396683,0.017772492187500002,1991.2704880144363,42.330039950972086,45.99487914553136,765.6194421771393,1.9669767726123195,1.9669767726123195,0.12998674,1993.3268785586731 
 01/15  03:00:00,-3.0,20.99896055915942,20.99896055915942,20.99896055915942,20.99896055915942,45.99504625373693,498.3477937816641,0.017772492187500002,498.3477937816641,0.017772492187500002,498.3477937816641,0.017772492187500002,498.3477937816641,0.017772492187500002,1991.2644978048513,42.330218083875216,45.99504625373693,765.620174095325,1.9669769140001934,1.9669769140001934,0.12998674,1993.3911751266564 
 01/15  04:00:00,-3.0,20.998811300139927,20.998811300139927,20.998811300139927,20.998811300139927,45.99521151613419,498.1953732157986,0.0177436875,498.1953732157986,0.0177436875,498.1953732157986,0.0177436875,498.1953732157986,0.0177436875,1990.798292652777,42.33124137481471,45.99521151613419,765.4439230058797,1.9669777262079022,1.9669777262079022,0.12998674,1992.7814928631944 
 01/15  05:00:00,-3.0,20.999178947445163,20.999178947445163,20.999178947445163,20.999178947445163,45.99540420596689,498.3466767878086,0.017772492187500002,498.3466767878086,0.017772492187500002,498.3466767878086,0.017772492187500002,498.3466767878086,0.017772492187500002,1991.3380653153727,42.330440638580015,45.99540420596689,765.654960022252,1.9669770906466701,1.9669770906466701,0.12998674,1993.3867071512343 
 01/15  06:00:00,-3.0,20.99863081613963,20.99863081613963,20.99863081613963,20.99863081613963,45.995540736142175,498.2092391777546,0.0177436875,498.2092391777546,0.0177436875,498.2092391777546,0.0177436875,498.2092391777546,0.0177436875,1990.7760451222084,42.331611540350934,45.995540736142175,765.441345821909,1.9669780200165643,1.9669780200165643,0.12998674,1992.8369567110185 
 01/15  07:00:00,-3.0,20.99918177576265,20.99918177576265,20.99918177576265,20.99918177576265,45.995754952818906,498.35372517495114,0.017772492187500002,498.35372517495114,0.017772492187500002,498.35372517495114,0.017772492187500002,498.35372517495114,0.017772492187500002,1991.3660211011427,42.330739934129944,45.995754952818906,765.6720782866761,1.9669773282040879,1.9669773282040879,0.12998674,1993.4149006998045 
 01/15  08:00:00,-3.0,20.998658113398715,20.998658113398715,20.998658113398715,20.998658113398715,45.995890192475,498.2157397940436,0.0177436875,498.2157397940436,0.0177436875,498.2157397940436,0.0177436875,498.2157397940436,0.0177436875,1990.8019376880884,42.33191334264035,45.995890192475,765.4576455901256,1.9669782595638625,1.9669782595638625,0.12998674,1992.8629591761744 
 01/15  09:00:00,-3.0,20.99854553075529,20.99854553075529,20.99854553075529,20.99854553075529,45.99609976648349,498.22547001606097,0.0177436875,498.22547001606097,0.0177436875,498.22547001606097,0.0177436875,498.22547001606097,0.0177436875,1990.8484440202835,42.332037323943055,45.99609976648349,765.4793319508032,1.9669783579706415,1.9669783579706415,0.12998674,1992.9018800642439 
 01/15  10:00:00,-3.0,20.99925976077448,20.99925976077448,20.99925976077448,20.99925976077448,45.99628975570429,498.35941409389,0.017772492187500002,498.35941409389,0.017772492187500002,498.35941409389,0.017772492187500002,498.35941409389,0.017772492187500002,1991.3815031531922,42.331246243030456,45.99628975570429,765.6877426482625,1.9669777300727302,1.9669777300727302,0.12998674,1993.43765637556 
 01/15  11:00:00,-3.0,20.9986460987998,20.9986460987998,20.9986460987998,20.9986460987998,45.9964478271364,498.2308096608117,0.0177436875,498.2308096608117,0.0177436875,498.2308096608117,0.0177436875,498.2308096608117,0.0177436875,1990.8693363344023,42.332346933279524,45.9964478271364,765.4936841336864,1.9669786037146546,1.9669786037146546,0.12998674,1992.9232386432468 
 01/15  12:00:00,-3.0,20.998551719099915,20.998551719099915,20.998551719099915,20.998551719099915,45.99666734202293,498.23694481400935,0.0177436875,498.23694481400935,0.0177436875,498.23694481400935,0.0177436875,498.23694481400935,0.0177436875,1990.894554047987,42.33252003615638,45.99666734202293,765.5073657879627,1.966978741110395,1.966978741110395,0.12998674,1992.9477792560374 
 01/15  13:00:00,-3.0,20.999178920417258,20.999178920417258,20.999178920417258,20.999178920417258,45.99690017937874,498.37713956024,0.017772492187500002,498.37713956024,0.017772492187500002,498.37713956024,0.017772492187500002,498.37713956024,0.017772492187500002,1991.460175647001,42.33171187369935,45.99690017937874,765.7290783137253,1.9669780996541544,1.9669780996541544,0.12998674,1993.50855824096 
