Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.99953879153862,20.99953879153862,17.999071789373517,17.999071789373517,47.37651017012931,562.8704349152792,0.028689468750000002,562.8704349152792,0.028689468750000002,382.1204004728986,0.004075863281250001,382.1204004728986,0.004075863281250001,1887.8068930317054,43.90209083082578,47.37651017012931,749.6241973566083,1.968225335228832,1.968225335228832,0.12998674,1889.9816707763557 
 01/15  02:00:00,-3.0,20.998496602255493,20.998496602255493,17.99905692285791,17.99905692285791,47.37661021744984,562.6424137537326,0.028574250000000002,562.6424137537326,0.028574250000000002,382.1218931945874,0.004075863281250001,382.1218931945874,0.004075863281250001,1887.350451350216,43.9030309374825,47.37661021744984,749.4446720858087,1.9682260823589628,1.9682260823589628,0.12998674,1889.5286138966403 
 01/15  03:00:00,-3.0,20.999494029854368,20.999494029854368,17.99903456645909,17.99903456645909,47.37685345627783,562.8853939151808,0.028689468750000002,562.8853939151808,0.028689468750000002,382.12528117020406,0.004075863281250001,382.12528117020406,0.004075863281250001,1887.852366653183,43.90235042492377,47.37685345627783,749.6481644488831,1.9682255415358914,1.9682255415358914,0.12998674,1890.0213501707697 
 01/15  04:00:00,-3.0,20.998581775763892,20.998581775763892,17.99903946171318,17.99903946171318,47.37694226206591,562.6412755968826,0.028574250000000002,562.6412755968826,0.028574250000000002,382.126636563647,0.004075863281250001,382.126636563647,0.004075863281250001,1887.351621145652,43.90336082914538,47.37694226206591,749.4508514867639,1.9682263445338222,1.9682263445338222,0.12998674,1889.5358243210594 
 01/15  05:00:00,-3.0,20.998401670413465,20.998401670413465,17.999033822001643,17.999033822001643,47.37715969985942,562.6560168627634,0.028574250000000002,562.6560168627634,0.028574250000000002,382.129342017082,0.004075863281250001,382.129342017082,0.004075863281250001,1887.397049216126,43.90349465872282,47.37715969985942,749.4726330251488,1.9682264508922462,1.9682264508922462,0.12998674,1889.5707177596908 
 01/15  06:00:00,-3.0,20.9995631102644,20.9995631102644,17.999031513008234,17.999031513008234,47.37738782122531,562.8889654031253,0.028689468750000002,562.8889654031253,0.028689468750000002,382.13247115939754,0.004075863281250001,382.13247115939754,0.004075863281250001,1887.868205924055,43.90285563844201,47.37738782122531,749.6636534888647,1.968225943044169,1.968225943044169,0.12998674,1890.0428731250456 
 01/15  07:00:00,-3.0,20.998563240808732,20.998563240808732,17.999053508481076,17.999053508481076,47.3774830728681,562.6597984579398,0.028574250000000002,562.6597984579398,0.028574250000000002,382.13341782626173,0.004075863281250001,382.13341782626173,0.004075863281250001,1887.4079541405772,43.9037979617336,47.3774830728681,749.482529100169,1.9682266919363887,1.9682266919363887,0.12998674,1889.5864325684029 
 01/15  08:00:00,-3.0,20.998412976480893,20.998412976480893,17.999060532771914,17.999060532771914,47.37771489402046,562.667981278849,0.028574250000000002,562.667981278849,0.028574250000000002,382.13625849194,0.004075863281250001,382.13625849194,0.004075863281250001,1887.4349059824617,43.90398017929513,47.37771489402046,749.4972216676574,1.9682268367502649,1.9682268367502649,0.12998674,1889.608479541578 
 01/15  09:00:00,-3.0,20.999069555968184,20.999069555968184,17.999066247244507,17.999066247244507,47.37797074749605,562.9256620605015,0.028689468750000002,562.9256620605015,0.028689468750000002,382.13949814426445,0.004075863281250001,382.13949814426445,0.004075863281250001,1887.8936358816545,43.90339176207801,47.37797074749605,749.6837877423807,1.9682263691177369,1.9682263691177369,0.12998674,1890.1303204095323 
 01/15  10:00:00,-3.0,20.998994239747738,20.998994239747738,17.999094754721348,17.999094754721348,47.37811183433723,562.6510167899164,0.028574250000000002,562.6510167899164,0.028574250000000002,382.14123733055396,0.004075863281250001,382.14123733055396,0.004075863281250001,1887.4685314567114,43.9043152335162,47.37811183433723,749.5174065387937,1.968227103028175,1.968227103028175,0.12998674,1889.584508240941 
