Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.55201558730083,20.55201558730083,17.99962446729161,17.99962446729161,46.032,545.3853886280629,0.029496,545.3853886280629,0.029496,391.88929360675525,0.0047059658203125005,391.88929360675525,0.0047059658203125005,1872.4525168730386,42.58583966412819,46.032,720.5692188531141,1.9671798273026924,1.9671798273026924,0.12998674,1874.5493644696362 
 01/15  02:00:00,-3.0,20.552014667061528,20.552014667061528,17.999183964642654,17.999183964642654,46.032,545.3854576786038,0.029496,545.3854576786038,0.029496,391.74473301929515,0.004702365234375,391.74473301929515,0.004702365234375,1872.1997807149185,42.58630481307893,46.032,720.4719592994585,1.9671801965777518,1.9671801965777518,0.12998674,1874.2603813957978 
 01/15  03:00:00,-3.0,20.55201070856077,20.55201070856077,17.99941134349397,17.99941134349397,46.032,545.3854890242947,0.029496,545.3854890242947,0.029496,391.7414710046468,0.004702365234375,391.7414710046468,0.004702365234375,1872.231321882264,42.58624676305156,46.032,720.4840971743104,1.9671801504927,1.9671801504927,0.12998674,1874.253920057883 
 01/15  04:00:00,-3.0,20.552008865208343,20.552008865208343,17.999647139211355,17.999647139211355,46.032,545.3855602360892,0.029496,545.3855602360892,0.029496,391.88653162872254,0.0047059658203125,391.88653162872254,0.0047059658203125,1872.4474965464667,42.585848903801896,46.032,720.5672868987582,1.9671798346379439,1.9671798346379439,0.12998674,1874.5441837296237 
 01/15  05:00:00,-3.0,20.55201216637915,20.55201216637915,17.999470843058006,17.999470843058006,46.032,545.3854821607366,0.029496,545.3854821607366,0.029496,391.74080733631763,0.004702365234375,391.74080733631763,0.004702365234375,1872.2298677323315,42.58624943934577,46.032,720.4835375789821,1.967180152617372,1.967180152617372,0.12998674,1874.2525789941085 
 01/15  06:00:00,-3.0,20.55201305154246,20.55201305154246,17.999687786962124,17.999687786962124,46.032,545.3854840995566,0.029496,545.3854840995566,0.029496,391.8859195521743,0.0047059658203125,391.8859195521743,0.0047059658203125,1872.4460996055493,42.58585147480562,46.032,720.5667493189711,1.967179836679026,1.967179836679026,0.12998674,1874.5428073034618 
 01/15  07:00:00,-3.0,20.55201113747836,20.55201113747836,17.999421423568077,17.999421423568077,46.032,545.3854533843364,0.029496,545.3854533843364,0.029496,391.7420247156296,0.004702365234375,391.7420247156296,0.004702365234375,1872.2329795443725,42.58624371220282,46.032,720.484735086503,1.9671801480706768,1.9671801480706768,0.12998674,1874.254956199932 
 01/15  08:00:00,-3.0,20.552011449586487,20.552011449586487,17.999602611707942,17.999602611707942,46.032,545.3854726394386,0.029496,545.3854726394386,0.029496,391.8896180369317,0.0047059658203125005,391.8896180369317,0.0047059658203125005,1872.4533381725623,42.58583815256524,46.032,720.5695349108785,1.9671798261026847,1.9671798261026847,0.12998674,1874.5501813527408 
 01/15  09:00:00,-3.0,20.55200996082327,20.55200996082327,17.99949980358004,17.99949980358004,46.032,545.3855562058889,0.029496,545.3855562058889,0.029496,391.73801750894216,0.004702365234375,391.73801750894216,0.004702365234375,1872.224574096208,42.5862591820328,46.032,720.4815004478869,1.9671801603519572,1.9671801603519572,0.12998674,1874.2471474296622 
 01/15  10:00:00,-3.0,20.552014779815913,20.552014779815913,17.99965058577177,17.99965058577177,46.032,545.3854171195312,0.029496,545.3854171195312,0.029496,391.8888340425022,0.0047059658203125005,391.8888340425022,0.0047059658203125005,1872.4516612293119,42.58584123890001,46.032,720.5688895787928,1.967179828552881,1.967179828552881,0.12998674,1874.5485023240667 
 01/15  11:00:00,-3.0,20.552015327261678,20.552015327261678,17.999199971276134,17.999199971276134,46.032,545.3854495152074,0.029496,545.3854495152074,0.029496,391.74448928965444,0.004702365234375,391.74448928965444,0.004702365234375,1872.1992720894154,42.58630574918013,46.032,720.4717635669215,1.9671801973209089,1.9671801973209089,0.12998674,1874.2598776097234 
 01/15  12:00:00,-3.0,20.552012146925527,20.552012146925527,17.99942306387246,17.99942306387246,46.032,545.3854615397454,0.029496,545.3854615397454,0.029496,391.7412943680347,0.004702365234375,391.7412943680347,0.004702365234375,1872.2309114568811,42.58624751842008,46.032,720.4839392317751,1.9671801510923763,1.9671801510923763,0.12998674,1874.2535118155602 
 01/15  13:00:00,-3.0,20.552010731027494,20.552010731027494,17.99965649038786,17.99965649038786,46.032,545.385522098469,0.029496,545.385522098469,0.029496,391.88639411464,0.0047059658203125,391.88639411464,0.0047059658203125,1872.4471434039083,42.58584955374408,46.032,720.567151000168,1.9671798351539234,1.9671798351539234,0.12998674,1874.5438324262182 
 01/15  14:00:00,-3.0,20.552014253100563,20.552014253100563,17.99947853339503,17.99947853339503,46.032,545.3854383701065,0.029496,545.3854383701065,0.029496,391.7406944874985,0.004702365234375,391.7406944874985,0.004702365234375,1872.229553574943,42.586250017537594,46.032,720.4834166829155,1.96718015307639,1.96718015307639,0.12998674,1874.25226571521 
 01/15  15:00:00,-3.0,20.552015234554563,20.552015234554563,17.99969432229249,17.99969432229249,46.032,545.385437704573,0.029496,545.385437704573,0.029496,391.88582472101336,0.0047059658203125,391.88582472101336,0.0047059658203125,1872.4458161385137,42.58585199651329,46.032,720.5666402333634,1.967179837093202,1.967179837093202,0.12998674,1874.5425248511729 
 01/15  16:00:00,-3.0,20.55201333875987,20.55201333875987,17.999427053472463,17.999427053472463,46.032,545.3854062495053,0.029496,545.3854062495053,0.029496,391.74194284181567,0.004702365234375,391.74194284181567,0.004702365234375,1872.2327208316292,42.586244188351394,46.032,720.4846355270014,1.9671801484486844,1.9671801484486844,0.12998674,1874.254698182642 
 01/15  17:00:00,-3.0,20.5520136208679,20.5520136208679,17.999607560310228,17.999607560310228,46.032,545.3854259293123,0.029496,545.3854259293123,0.029496,391.88954676192753,0.0047059658203125005,391.88954676192753,0.0047059658203125005,1872.453101604961,42.58583858795673,46.032,720.5694438734129,1.9671798264483358,1.9671798264483358,0.12998674,1874.5499453824796 
 01/15  18:00:00,-3.0,20.55201207242603,20.55201207242603,17.999171061922077,17.999171061922077,46.032,545.38551064489,0.029496,545.38551064489,0.029496,391.7449231311024,0.004702365234375,391.7449231311024,0.004702365234375,1872.200269554581,42.58630391339265,46.032,720.472147417881,1.9671801958635036,1.9671801958635036,0.12998674,1874.260867551985 
 01/15  19:00:00,-3.0,20.55200779749416,20.55200779749416,17.99989948859139,17.99989948859139,46.032,545.3855500897095,0.029496,545.3855500897095,0.029496,391.8830740478574,0.0047059658203125005,391.8830740478574,0.0047059658203125005,1872.4783857257798,42.58579205372768,46.032,720.5791738713827,1.9671797895055176,1.9671797895055176,0.12998674,1874.5372482751336 
 01/15  20:00:00,-3.0,20.55201408711843,20.55201408711843,17.99923007144362,17.99923007144362,46.032,545.3854794211762,0.029496,545.3854794211762,0.029496,391.74409165894565,0.004702365234375,391.74409165894565,0.004702365234375,1872.1985934548618,42.58630699817494,46.032,720.4715024104084,1.9671801983124682,1.9671801983124682,0.12998674,1874.2591421602438 
 01/15  21:00:00,-3.0,20.55201246407021,20.55201246407021,17.99943834126765,17.99943834126765,46.032,545.385460467981,0.029496,545.385460467981,0.029496,391.74105749340475,0.004702365234375,391.74105749340475,0.004702365234375,1872.2304314564383,42.586248401838205,46.032,720.4837545149179,1.9671801517937093,1.9671801517937093,0.12998674,1874.2530359227717 
 01/15  22:00:00,-3.0,20.552011854787768,20.552011854787768,17.99966738032116,17.99966738032116,46.032,545.3855014324295,0.029496,545.3855014324295,0.029496,391.88623077284683,0.0047059658203125,391.88623077284683,0.0047059658203125,1872.446772083647,42.58585023714147,46.032,720.5670081063171,1.9671798356964625,1.9671798356964625,0.12998674,1874.5434644105526 
 01/15  23:00:00,-3.0,20.55200901732878,20.55200901732878,17.999406757301802,17.999406757301802,46.032,545.3854947482444,0.029496,545.3854947482444,0.029496,391.74224840347057,0.004702365234375,391.74224840347057,0.004702365234375,1872.233512620864,42.58624273110074,46.032,720.4849402284266,1.967180147291794,1.967180147291794,0.12998674,1874.2554863034297 
 01/15  24:00:00,-3.0,20.552012945402087,20.552012945402087,17.999711155377987,17.999711155377987,46.032,545.3855266118856,0.029496,545.3855266118856,0.029496,391.8851348999556,0.0047059658203125,391.8851348999556,0.0047059658203125,1872.4439043036846,42.58585551515492,46.032,720.5659045087898,1.9671798398865996,1.9671798398865996,0.12998674,1874.5413230236825 
