Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.99890688474097,18.000490701039183,18.000490701039183,20.99890688474097,49.10421684788501,601.588969034736,0.029496,343.39236814733425,0.0030929033203124998,343.39236814733425,0.0030929033203124998,601.588969034736,0.029496,1887.686660723998,45.630123531266605,49.10421684788501,779.3176297066555,1.969649761636043,1.969649761636043,0.12998674,1889.9626743641406 
 01/15  02:00:00,-3.0,20.99900593585069,18.000354048312282,18.000354048312282,20.99900593585069,49.10438975649244,601.5905540120165,0.029496,343.3977259582299,0.0030929033203124998,343.3977259582299,0.0030929033203124998,601.5905540120165,0.029496,1887.6651529577568,45.63033605934908,49.10438975649244,779.3117269176669,1.9696499476976683,1.9696499476976683,0.12998674,1889.9765599404925 
 01/15  03:00:00,-3.0,20.999080202062608,18.00021637691241,18.00021637691241,20.999080202062608,49.10454754764564,601.5922699386945,0.029496,343.26382178424757,0.00309110302734375,343.26382178424757,0.00309110302734375,601.5922699386945,0.029496,1887.4690356613266,45.63085486813893,49.10454754764564,779.23347691557,1.9696504018983965,1.9696504018983965,0.12998674,1889.712183445884 
 01/15  04:00:00,-3.0,20.99915214377755,18.00059780074556,18.00059780074556,20.99915214377755,49.104693099348026,601.5937364898429,0.029496,343.3983234204114,0.0030929033203124998,343.3983234204114,0.0030929033203124998,601.5937364898429,0.029496,1887.7069545809861,45.630562508071506,49.104693099348026,779.3342062939395,1.9696501459463562,1.9696501459463562,0.12998674,1889.9841198205083 
 01/15  05:00:00,-3.0,20.99922471427269,17.999995779345507,17.999995779345507,20.99922471427269,49.10482701322414,601.5951432384232,0.029496,343.2707897238404,0.00309110302734375,343.2707897238404,0.00309110302734375,601.5951432384232,0.029496,1887.4529224805344,45.63116404195912,49.10482701322414,779.2316348752004,1.96965067257048,1.96965067257048,0.12998674,1889.7318659245273 
 01/15  06:00:00,-3.0,20.99927323031139,18.000584995477304,18.000584995477304,20.99927323031139,49.10495031827877,601.5966067111741,0.029496,343.4016776381103,0.0030929033203124998,343.4016776381103,0.0030929033203124998,601.5966067111741,0.029496,1887.718534839412,45.63079845254031,49.10495031827877,779.3434150840617,1.9696503525083393,1.9696503525083393,0.12998674,1889.9965686985688 
 01/15  07:00:00,-3.0,20.99933398735002,17.999967786872062,17.999967786872062,20.99933398735002,49.10506511383781,601.5978673092973,0.029496,343.2737598799227,0.00309110302734375,343.2737598799227,0.00309110302734375,601.5978673092973,0.029496,1887.463533780398,45.631382650205936,49.10506511383781,779.240113974796,1.9696508639552464,1.9696508639552464,0.12998674,1889.7432543784398 
 01/15  08:00:00,-3.0,20.99937361104654,18.0002808631002,18.0002808631002,20.99937361104654,49.10517114522236,601.5991733667587,0.029496,343.4089318679475,0.0030929033203124998,343.4089318679475,0.0030929033203124998,601.5991733667587,0.029496,1887.702579850963,45.631048689368264,49.10517114522236,779.3406295316777,1.9696505715829147,1.9696505715829147,0.12998674,1890.0162104694123 
 01/15  09:00:00,-3.0,20.99941207048016,18.00026460639446,18.00026460639446,20.99941207048016,49.10527081020432,601.6005692541361,0.029496,343.2714272082414,0.00309110302734375,343.2714272082414,0.00309110302734375,601.6005692541361,0.029496,1887.4986451240327,45.631523752579206,49.10527081020432,779.2581502548873,1.969650987486013,1.969650987486013,0.12998674,1889.743992924755 
 01/15  10:00:00,-3.0,20.999461740317123,18.000362396254204,18.000362396254204,20.999461740317123,49.1053636872946,601.6014242559725,0.029496,343.41019813681226,0.0030929033203124998,343.41019813681226,0.0030929033203124998,601.6014242559725,0.029496,1887.7090372979121,45.63122937395392,49.1053636872946,779.3466100047334,1.9696507297666686,1.9696507297666686,0.12998674,1890.0232447855697 
 01/15  11:00:00,-3.0,20.999492472749345,18.000165636689704,18.000165636689704,20.999492472749345,49.10544923546584,601.6025188112924,0.029496,343.2763054727044,0.00309110302734375,343.2763054727044,0.00309110302734375,601.6025188112924,0.029496,1887.5120534515795,45.631677523836764,49.10544923546584,779.2667571419116,1.9696511221080344,1.9696511221080344,0.12998674,1889.7576485679936 
 01/15  12:00:00,-3.0,20.999524271563402,17.999966201454463,17.999966201454463,20.999524271563402,49.105529528868274,601.6036622016935,0.029496,343.27915954869803,0.00309110302734375,343.27915954869803,0.00309110302734375,601.6036622016935,0.029496,1887.48475117772,45.63180808620996,49.105529528868274,779.2568672941765,1.9696512364114298,1.9696512364114298,0.12998674,1889.765643500783 
 01/15  13:00:00,-3.0,20.999551485384217,18.000326749891915,18.000326749891915,20.999551485384217,49.105605309044805,601.6046443095099,0.029496,343.41333741889684,0.0030929033203124998,343.41333741889684,0.0030929033203124998,601.6046443095099,0.029496,1887.721139006121,45.63144875802269,49.105605309044805,779.3557656468817,1.9696509218306537,1.9696509218306537,0.12998674,1890.0359634568135 
 01/15  14:00:00,-3.0,20.999574871571923,18.000168240603124,18.000168240603124,20.999574871571923,49.10567666298442,601.6056133505448,0.029496,343.2788790443997,0.00309110302734375,343.2788790443997,0.00309110302734375,601.6056133505448,0.029496,1887.522834223911,45.63188514556822,49.10567666298442,779.2751226767879,1.9696513038745285,1.9696513038745285,0.12998674,1889.7689847898891 
 01/15  15:00:00,-3.0,20.999603011837127,17.999988081637476,17.999988081637476,20.999603011837127,49.1057438495762,601.6065668051862,0.029496,343.28134054067937,0.00309110302734375,343.28134054067937,0.00309110302734375,601.6065668051862,0.029496,1887.4944008867185,45.63200468146104,49.1057438495762,779.2645402188202,1.9696514085245946,1.9696514085245946,0.12998674,1889.775814691731 
 01/15  16:00:00,-3.0,20.999628156164658,18.000359741012332,18.000359741012332,20.999628156164658,49.105807073409636,601.6073299507196,0.029496,343.41523392122116,0.0030929033203124998,343.41523392122116,0.0030929033203124998,601.6073299507196,0.029496,1887.7297939737525,45.63163462229893,49.105807073409636,779.3628121985896,1.969651084549124,1.969651084549124,0.12998674,1890.0451277438817 
 01/15  17:00:00,-3.0,20.99965011481792,18.000209092295513,18.000209092295513,20.99965011481792,49.105866188753296,601.608069482243,0.029496,343.28054996577976,0.00309110302734375,343.28054996577976,0.00309110302734375,601.608069482243,0.029496,1887.5305895461686,45.632060429805094,49.105866188753296,779.2815867790843,1.9696514573305581,1.9696514573305581,0.12998674,1889.7772388960452 
 01/15  18:00:00,-3.0,20.999677009968604,18.000034200135673,18.000034200135673,20.999677009968604,49.10592136135446,601.6087924535221,0.029496,343.2828140086507,0.00309110302734375,343.2828140086507,0.00309110302734375,601.6087924535221,0.029496,1887.5013070373843,45.63216950959443,49.10592136135446,779.2704469035748,1.9696515528266376,1.9696515528266376,0.12998674,1889.7832129243457 
 01/15  19:00:00,-3.0,20.99970087544594,18.00040924519697,18.00040924519697,20.99970087544594,49.10597277056556,601.609329323358,0.029496,343.41653370355743,0.0030929033203124998,343.41653370355743,0.0030929033203124998,601.609329323358,0.029496,1887.7359100301278,45.631789092789134,49.10597277056556,779.3681896835451,1.9696512197833185,1.9696512197833185,0.12998674,1890.0517260538309 
 01/15  20:00:00,-3.0,20.999721414793882,18.000260964344527,18.000260964344527,20.999721414793882,49.10602027869956,601.6098495851282,0.029496,343.2816934263976,0.00309110302734375,343.2816934263976,0.00309110302734375,601.6098495851282,0.029496,1887.53595767819,45.63220465888668,49.10602027869956,779.2864553818941,1.9696515835987602,1.9696515835987602,0.12998674,1889.783086023052 
