Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.099947365428427,17.99987350425687,17.99987350425687,20.099947365428427,46.032,555.0616785237121,0.029496,374.23604920271305,0.004284697265625,374.23604920271305,0.004284697265625,555.0616785237121,0.029496,1856.5785911460987,42.615054873978266,46.032,714.46051267332,1.9672030211043037,1.9672030211043037,0.12998674,1858.5954554528505 
 01/15  02:00:00,-3.0,20.09995103094379,18.000085391121438,18.000085391121438,20.09995103094379,46.032,555.0616855057713,0.029496,374.4032536086431,0.0042882978515625,374.4032536086431,0.0042882978515625,555.0616855057713,0.029496,1856.8280526516319,42.61459575187079,46.032,714.5565120541087,1.9672026566053589,1.9672026566053589,0.12998674,1858.9298782288288 
 01/15  03:00:00,-3.0,20.09994744538531,18.0003584372775,18.0003584372775,20.09994744538531,46.032,555.0616069565128,0.029496,374.4004223251951,0.0042882978515625,374.4004223251951,0.0042882978515625,555.0616069565128,0.029496,1856.8657993232482,42.614526280906176,46.032,714.5710379710201,1.9672026014521191,1.9672026014521191,0.12998674,1858.9240585634157 
 01/15  04:00:00,-3.0,20.099947131497157,17.999873247350397,17.999873247350397,20.099947131497157,46.032,555.0616836186946,0.029496,374.236052696016,0.004284697265625,374.236052696016,0.004284697265625,555.0616836186946,0.029496,1856.5786083617984,42.61505484229358,46.032,714.4605192983763,1.967203021079149,1.967203021079149,0.12998674,1858.5954726294212 
 01/15  05:00:00,-3.0,20.099950812741273,18.000085151023846,18.000085151023846,20.099950812741273,46.032,555.0616902582631,0.029496,374.4032568654592,0.0042882978515625,374.4032568654592,0.0042882978515625,555.0616902582631,0.029496,1856.828068705936,42.6145957223236,46.032,714.5565182322292,1.9672026565819012,1.9672026565819012,0.12998674,1858.9298942474443 
 01/15  06:00:00,-3.0,20.099947241856967,18.00035821354017,18.00035821354017,20.099947241856967,46.032,555.061611389465,0.029496,374.40042536890275,0.0042882978515625,374.40042536890275,0.0042882978515625,555.061611389465,0.029496,1856.8658143079774,42.61452625332749,46.032,714.5710437375401,1.9672026014302242,1.9672026014302242,0.12998674,1858.9240735167355 
 01/15  07:00:00,-3.0,20.09994694164953,17.999873038849913,17.999873038849913,20.09994694164953,46.032,555.0616877535376,0.029496,374.236055531116,0.004284697265625,374.236055531116,0.004284697265625,555.0616877535376,0.029496,1856.5786223334437,42.61505481657942,46.032,714.4605246750347,1.9672030210587346,1.9672030210587346,0.12998674,1858.5954865693072 
 01/15  08:00:00,-3.0,20.099950635657493,18.000084956165214,18.000084956165214,20.099950635657493,46.032,555.0616941151765,0.029496,374.4032595086292,0.0042882978515625,374.4032595086292,0.0042882978515625,555.0616941151765,0.029496,1856.8280817350656,42.614595698344104,46.032,714.5565232461827,1.9672026565628637,1.9672026565628637,0.12998674,1858.9299072476117 
 01/15  09:00:00,-3.0,20.099947076681833,18.00035803195927,18.00035803195927,20.099947076681833,46.032,555.0616149870656,0.029496,374.40042783911775,0.0042882978515625,374.40042783911775,0.0042882978515625,555.0616149870656,0.029496,1856.8658264691014,42.614526230945515,46.032,714.571048417462,1.9672026014124548,1.9672026014124548,0.12998674,1858.9240856523666 
 01/15  10:00:00,-3.0,20.09994678757794,17.999872869635336,17.999872869635336,20.09994678757794,46.032,555.061691109192,0.029496,374.23605783202504,0.004284697265625,374.23605783202504,0.004284697265625,555.061691109192,0.029496,1856.5786336723438,42.61505479571072,46.032,714.4605290385432,1.9672030210421667,1.9672030210421667,0.12998674,1858.595497882434 
 01/15  11:00:00,-3.0,20.099950491945396,18.000084798022755,18.000084798022755,20.099950491945396,46.032,555.061697245253,0.029496,374.4032616537632,0.0042882978515625,374.4032616537632,0.0042882978515625,555.061697245253,0.029496,1856.8280923089922,42.61459567888329,46.032,714.556527315309,1.9672026565474137,1.9672026565474137,0.12998674,1858.9299177980322 
 01/15  12:00:00,-3.0,20.09994694263412,18.000357884593278,18.000357884593278,20.09994694263412,46.032,555.0616179066917,0.029496,374.4004298438767,0.0042882978515625,374.4004298438767,0.0042882978515625,555.0616179066917,0.029496,1856.865836338559,42.61452621278124,46.032,714.57105221549,1.9672026013980342,1.9672026013980342,0.12998674,1858.924095501137 
 01/15  13:00:00,-3.0,20.099946662540074,17.999872732305587,17.999872732305587,20.099946662540074,46.032,555.0616938324883,0.029496,374.2360596993773,0.004284697265625,374.2360596993773,0.004284697265625,555.0616938324883,0.029496,1856.5786428745573,42.61505477877448,46.032,714.4605325797982,1.9672030210287208,1.9672030210287208,0.12998674,1858.595507063731 
 01/15  14:00:00,-3.0,20.099950375313554,18.000084669678643,18.000084669678643,20.099950375313554,46.032,555.0616997855104,0.029496,374.4032633946948,0.0042882978515625,374.4032633946948,0.0042882978515625,555.0616997855104,0.029496,1856.8281008904455,42.61459566308953,46.032,714.5565306176791,1.967202656534875,1.967202656534875,0.12998674,1858.9299263604103 
 01/15  15:00:00,-3.0,20.09994683384503,18.000357764994966,18.000357764994966,20.09994683384503,46.032,555.061620276171,0.029496,374.40043147088534,0.0042882978515625,374.40043147088534,0.0042882978515625,555.061620276171,0.029496,1856.8658443483246,42.614526198039655,46.032,714.5710552978596,1.9672026013863309,1.9672026013863309,0.12998674,1858.9241034941126 
 01/15  16:00:00,-3.0,20.099946561063415,17.99987262085224,17.99987262085224,20.099946561063415,46.032,555.06169604263,0.029496,374.23606121487205,0.004284697265625,374.23606121487205,0.004284697265625,555.06169604263,0.029496,1856.5786503428035,42.61505476502953,46.032,714.4605354537766,1.9672030210178089,1.9672030210178089,0.12998674,1858.5955145150042 
 01/15  17:00:00,-3.0,20.099950280659705,18.000084565517444,18.000084565517444,20.099950280659705,46.032,555.0617018470887,0.029496,374.40326480759455,0.0042882978515625,374.40326480759455,0.0042882978515625,555.0617018470887,0.029496,1856.828107854886,42.61459565027181,46.032,714.5565332977799,1.967202656524699,1.967202656524699,0.12998674,1858.9299333093663 
 01/15  18:00:00,-3.0,20.099946745556714,18.000357667931254,18.000357667931254,20.099946745556714,46.032,555.0616221991363,0.029496,374.40043279133357,0.0042882978515625,374.40043279133357,0.0042882978515625,555.0616221991363,0.029496,1856.8658508487763,42.61452618607588,46.032,714.5710577994051,1.9672026013768331,1.9672026013768331,0.12998674,1858.9241099809396 
