Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.127991139113753,20.127991139113753,20.127991139112847,20.127991139112847,20.991755378216418,20.991755378216418,20.991755378215583,20.991755378215583,50.02290367827773,452.59120663628016,0.029496,452.59120663628016,0.029496,452.5912066362936,0.029496,452.5912066362936,0.029496,1808.153550416065,46.69535247222469,761.6311661162706,1.9705827774679794,1.9705827774679794,0.12998674,1810.3648265451475 
 01/15  02:00:00,-3.0,20.12879151123927,20.12879151123927,20.12879151123868,20.12879151123868,20.992561486471597,20.992561486471597,20.992561486471008,20.992561486471008,50.024206619513606,452.5989150078608,0.029496,452.5989150078608,0.029496,452.5989150078715,0.029496,452.5989150078715,0.029496,1808.179676249788,46.6966075340898,761.6636553110051,1.9705838772765603,1.9705838772765603,0.12998674,1810.3956600314648 
 01/15  03:00:00,-3.0,20.129566095550445,20.129566095550445,20.129566095550253,20.129566095550253,20.993337257726388,20.993337257726388,20.99333725772616,20.99333725772616,50.0253811866745,452.60508564443694,0.029496,452.60508564443694,0.029496,452.605085644442,0.029496,452.605085644442,0.029496,1808.1998264980089,46.697745199802725,761.6915111371987,1.9705848742121528,1.9705848742121528,0.12998674,1810.4203425777578 
 01/15  04:00:00,-3.0,20.130313103567747,20.130313103567747,20.130313103567786,20.130313103567786,20.994081284712067,20.994081284712067,20.994081284712067,20.994081284712067,50.02643226252627,452.60981776659645,0.029496,452.60981776659645,0.029496,452.6098177665969,0.029496,452.6098177665969,0.029496,1808.214401239518,46.69876961680322,761.7149823805917,1.970585771908849,1.970585771908849,0.12998674,1810.4392710663867 
 01/15  05:00:00,-3.0,20.131031040592774,20.131031040592774,20.13103104059273,20.13103104059273,20.994792442604336,20.994792442604336,20.994792442604293,20.994792442604293,50.02736494930707,452.6132094124498,0.029496,452.6132094124498,0.029496,452.6132094124505,0.029496,452.6132094124505,0.029496,1808.2238014080322,46.699685151374105,761.7343218631289,1.9705865741925561,1.9705865741925561,0.12998674,1810.4528376498006 
 01/15  06:00:00,-3.0,20.13171868811221,20.13171868811221,20.13171868811215,20.13171868811215,20.995469870532727,20.995469870532727,20.995469870532673,20.995469870532673,50.02818452390661,452.6153570296274,0.029496,452.6153570296274,0.029496,452.6153570296282,0.029496,452.6153570296282,0.029496,1808.2284237162326,46.70049634748244,761.7497835588176,1.9705872850449278,1.9705872850449278,0.12998674,1810.461428118511 
 01/15  07:00:00,-3.0,20.132375087847485,20.132375087847485,20.13237508784745,20.13237508784745,20.996112956001237,20.996112956001237,20.996112956001202,20.996112956001202,50.02889639593476,452.61635567259515,0.029496,452.61635567259515,0.029496,452.6163556725954,0.029496,452.6163556725954,0.029496,1808.2286426341952,46.70120792989917,761.7616143035468,1.9705879086060936,1.9705879086060936,0.12998674,1810.465422690381 
 01/15  08:00:00,-3.0,20.132999523278052,20.132999523278052,20.13299952327803,20.13299952327803,20.996721314003167,20.996721314003167,20.996721314003146,20.996721314003146,50.02950606840997,452.6162978074044,0.029496,452.6162978074044,0.029496,452.61629780740486,0.029496,452.61629780740486,0.029496,1808.2248364829857,46.70182470506468,761.7700641327767,1.9705884490877859,1.9705884490877859,0.12998674,1810.4651912296185 
 01/15  09:00:00,-3.0,20.133591503111155,20.133591503111155,20.1335915031111,20.1335915031111,20.99729477097715,20.99729477097715,20.997294770977096,20.997294770977096,50.03001910169277,452.6152736471274,0.029496,452.6152736471274,0.029496,452.61527364712805,0.029496,452.61527364712805,0.029496,1808.2173669363856,46.70235156845514,761.7753770455552,1.9705889107797891,1.9705889107797891,0.12998674,1810.4610945885108 
 01/15  10:00:00,-3.0,20.134150744727155,20.134150744727155,20.13415074472711,20.13415074472711,20.99783334751253,20.99783334751253,20.997833347512483,20.997833347512483,50.03044107997777,452.6133706297565,0.029496,452.6133706297565,0.029496,452.61337062975736,0.029496,452.61337062975736,0.029496,1808.2065852513174,46.70279345782872,761.7777930711217,1.970589298008968,1.970589298008968,0.12998674,1810.4534825190276 
 01/15  11:00:00,-3.0,20.13467715820761,20.13467715820761,20.13467715820761,20.13467715820761,20.99833724242655,20.99833724242655,20.998337242426548,20.998337242426548,50.03077758055863,452.6106734043404,0.029496,452.6106734043404,0.029496,452.610673404341,0.029496,452.610673404341,0.029496,1808.1928261151884,46.703155337826466,761.7775451649953,1.970589615125769,1.970589615125769,0.12998674,1810.4426936173627 
 01/15  12:00:00,-3.0,20.13517082951042,20.13517082951042,20.1351708295106,20.1351708295106,20.99880681480837,20.99880681480837,20.998806814808507,20.998806814808507,50.031034145681154,452.60726327328973,0.029496,452.60726327328973,0.029496,452.6072632732884,0.029496,452.6072632732884,0.029496,1808.1764183827227,46.70344214380435,761.7748632636099,1.9705898664549966,1.9705898664549966,0.12998674,1810.4290530931564 
 01/15  13:00:00,-3.0,20.135632006592573,20.135632006592573,20.135632006593,20.135632006593,20.999242571567788,20.999242571567788,20.999242571568153,20.999242571568153,50.031216257130936,452.6032186351731,0.029496,452.6032186351731,0.029496,452.6032186351685,0.029496,452.6032186351685,0.029496,1808.1576616485854,46.70365880615539,761.7699639914566,1.9705900563171261,1.9705900563171261,0.12998674,1810.4128745406829 
 01/15  14:00:00,-3.0,20.136061082333086,20.136061082333086,20.136061082333587,20.136061082333587,20.9996451481626,20.9996451481626,20.999645148163054,20.999645148163054,50.03132931300775,452.59861406097025,0.029496,452.59861406097025,0.029496,452.59861406096303,0.029496,452.59861406096303,0.029496,1808.1368623856629,46.7038101614488,761.7630654994123,1.9705901889504276,1.9705901889504276,0.12998674,1810.3944562438664 
 01/15  15:00:00,-3.0,20.136458581904844,20.136458581904844,20.136458581904968,20.136458581904968,21.000015298103836,21.000015298103836,21.000015298103996,21.000015298103996,50.03137860731351,452.5935210233359,0.029496,452.5935210233359,0.029496,452.59352102333196,0.029496,452.59352102333196,0.029496,1808.1142967316405,46.703900998997526,761.7543714472888,1.9705902685517755,1.9705902685517755,0.12998674,1810.3740840933356 
 01/15  16:00:00,-3.0,20.136825148065718,20.136825148065718,20.136825148065256,20.136825148065256,21.00035387703465,21.00035387703465,21.0003538770343,21.0003538770343,50.03136931139911,452.5880071532297,0.029496,452.5880071532297,0.029496,452.5880071532332,0.029496,452.5880071532332,0.029496,1808.09023226737,46.70393599454135,761.7440798704348,1.9705902992185276,1.9705902992185276,0.12998674,1810.352028612926 
 01/15  17:00:00,-3.0,20.137161527680576,20.137161527680576,20.137161527679403,20.137161527679403,21.000661830028676,21.000661830028676,21.000661830027692,21.000661830027692,50.03130645795635,452.5821367089364,0.029496,452.5821367089364,0.029496,452.58213670894906,0.029496,452.58213670894906,0.029496,1808.064917711798,46.70391972383679,761.7323785721383,1.9705902849604358,1.9705902849604358,0.12998674,1810.328546835771 
 01/15  18:00:00,-3.0,20.137468559453445,20.137468559453445,20.137468559451683,20.137468559451683,21.000940179223484,21.000940179223484,21.000940179221924,21.000940179221924,50.03119492684401,452.5759701117785,0.029496,452.5759701117785,0.029496,452.5759701118006,0.029496,452.5759701118006,0.029496,1808.0385937898009,46.70385662682491,761.7194494667528,1.9705902296682425,1.9705902296682425,0.12998674,1810.3038804471578 
 01/15  19:00:00,-3.0,20.13774716217951,20.13774716217951,20.13774716217772,20.13774716217772,21.001190013096405,21.001190013096405,21.001190013094757,21.001190013094757,50.031039433008885,452.5695644335878,0.029496,452.5695644335878,0.029496,452.56956443361383,0.029496,452.56956443361383,0.029496,1808.0114753836722,46.7037510255264,761.7054608596286,1.9705901371293595,1.9705901371293595,0.12998674,1810.2782577344033 
 01/15  20:00:00,-3.0,20.13799832147214,20.13799832147214,20.137998321470803,20.137998321470803,21.00141247195576,21.00141247195576,21.00141247195447,21.00141247195447,50.03084451624689,452.5629727691129,0.029496,452.5629727691129,0.029496,452.56297276913506,0.029496,452.56297276913506,0.029496,1807.983774442433,46.70360706259078,761.6905769288658,1.970590010974019,1.970590010974019,0.12998674,1810.2518910764957 
 01/15  21:00:00,-3.0,20.13822308097146,20.13822308097146,20.13822308097091,20.13822308097091,21.001608741286557,21.001608741286557,21.001608741285942,21.001608741285942,50.03061453289041,452.55624482831325,0.029496,452.55624482831325,0.029496,452.5562448283255,0.029496,452.5562448283255,0.029496,1807.9556868920808,46.70342874377886,761.674952072795,1.970589854712498,1.970589854712498,0.12998674,1810.2249793132773 
 01/15  22:00:00,-3.0,20.138422530813113,20.138422530813113,20.13842253081311,20.13842253081311,21.001780039782165,21.001780039782165,21.001780039782084,21.001780039782084,50.030353648975,452.54942681658713,0.029496,452.54942681658713,0.029496,452.54942681658986,0.029496,452.54942681658986,0.029496,1807.927384989479,46.70321990836394,761.6587275756283,1.9705896717091826,1.9705896717091826,0.12998674,1810.1977072663537 
 01/15  23:00:00,-3.0,20.1385977991926,20.1385977991926,20.138597799192603,20.138597799192603,21.001927611972846,21.001927611972846,21.001927611972835,21.001927611972835,50.03006583500218,452.5425616327633,0.029496,452.5425616327633,0.029496,452.5425616327633,0.029496,452.5425616327633,0.029496,1807.8990314685318,46.70298424038131,761.6420374805504,1.9705894651924203,1.9705894651924203,0.12998674,1810.1702465310532 
 01/15  24:00:00,-3.0,20.138750042198424,20.138750042198424,20.13875004219798,20.13875004219798,21.002052717255552,21.002052717255552,21.00205271725518,21.00205271725518,50.02975486198398,452.5356883834639,0.029496,452.5356883834639,0.029496,452.535688383468,0.029496,452.535688383468,0.029496,1807.8707740534828,46.70272522057254,761.6250062129147,1.9705892382124126,1.9705892382124126,0.12998674,1810.142753533864 
