Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.90669557941636,19.90669557941636,18.000006132988318,18.000006132988318,20.999582038693255,20.999582038693255,18.544012721532642,18.544012721532642,53.40025684265309,505.13288296085165,0.029496,505.13288296085165,0.029496,353.4899331235174,0.0035249736328125,353.4899331235174,0.0035249736328125,1714.7140490481054,50.24523553023046,775.0837846000206,1.9737082497563994,1.9737082497563994,0.12998674,1717.245632168738 
 01/15  02:00:00,-3.0,19.906730342340673,19.906730342340673,17.999710218194835,17.999710218194835,20.999618657026346,20.999618657026346,18.543415254980946,18.543415254980946,53.40032298103321,505.1333018239528,0.029496,505.1333018239528,0.029496,353.3290408858854,0.0035213730468750004,353.3290408858854,0.0035213730468750004,1714.435487041695,50.24581439091881,774.9589032949941,1.9737087817515038,1.9737087817515038,0.12998674,1716.9246854196765 
 01/15  03:00:00,-3.0,19.906748077762117,19.906748077762117,17.99985732037711,17.99985732037711,20.999641218971068,20.999641218971068,18.5437115257694,18.5437115257694,53.40038356381649,505.13386117100384,0.029496,505.13386117100384,0.029496,353.32476054094917,0.003521373046875,353.32476054094917,0.003521373046875,1714.4715378035226,50.24580863563935,774.9761461134545,1.9737087764622558,1.9737087764622558,0.12998674,1716.917243423906 
 01/15  04:00:00,-3.0,19.90678525689494,19.90678525689494,17.999744092683386,17.999744092683386,20.99967647601998,20.99967647601998,18.543447698328308,18.543447698328308,53.40044012409001,505.13424258548065,0.029496,505.13424258548065,0.029496,353.329376402204,0.003521373046875,353.329376402204,0.003521373046875,1714.4371947019033,50.24592842645361,774.9615065808506,1.9737088865545553,1.9737088865545553,0.12998674,1716.9272379753693 
 01/15  05:00:00,-3.0,19.906802723278,19.906802723278,17.99966270112079,17.99966270112079,20.99969769732705,20.99969769732705,18.54335624070785,18.54335624070785,53.40049148009098,505.1346648343849,0.029496,505.1346648343849,0.029496,353.331288609126,0.003521373046875,353.331288609126,0.003521373046875,1714.4422237158456,50.2459705387725,774.9645827225428,1.9737089252574007,1.9737089252574007,0.12998674,1716.9319068870218 
 01/15  06:00:00,-3.0,19.906821899461285,19.906821899461285,18.000005956995313,18.000005956995313,20.999716768999534,20.999716768999534,18.54401461585693,18.54401461585693,53.40053955099113,505.1351719381559,0.029496,505.1351719381559,0.029496,353.4928517164768,0.0035249736328125,353.4928517164768,0.0035249736328125,1714.7235356634062,50.24550086728452,775.0924934393489,1.973708493611244,1.973708493611244,0.12998674,1717.2560473092658 
 01/15  07:00:00,-3.0,19.90684866735908,19.90684866735908,17.999726305756816,17.999726305756816,20.999744180506994,20.999744180506994,18.54343456662774,18.54343456662774,53.40058432063661,505.1354071881775,0.029496,505.1354071881775,0.029496,353.3315499537985,0.0035213730468750004,353.3315499537985,0.0035213730468750004,1714.4438463331849,50.24606042178081,774.9667677393434,1.9737090078633464,1.9737090078633464,0.12998674,1716.9339142839522 
 01/15  08:00:00,-3.0,19.90685980668003,19.90685980668003,17.999652259368936,17.999652259368936,20.999759068788602,20.999759068788602,18.54334551719562,18.54334551719562,53.4006249757293,505.13577918038607,0.029496,505.13577918038607,0.029496,353.332808458218,0.0035213730468750004,353.332808458218,0.0035213730468750004,1714.447073387917,50.24609514598669,774.9688620577526,1.9737090397762338,1.9737090397762338,0.12998674,1716.937175277208 
 01/15  09:00:00,-3.0,19.906877195510088,19.906877195510088,17.999922201410328,17.999922201410328,20.99977676382303,20.99977676382303,18.543781632702732,18.543781632702732,53.40066332882621,505.1361365665192,0.029496,505.1361365665192,0.029496,353.3264670808111,0.003521373046875,353.3264670808111,0.003521373046875,1714.4779920588537,50.24607660003909,774.9834375885644,1.9737090227318663,1.9737090227318663,0.12998674,1716.9252072946606 
 01/15  10:00:00,-3.0,19.90689991296935,19.90689991296935,17.99972553235688,17.99972553235688,20.99979918964291,20.99979918964291,18.54343162492412,18.54343162492412,53.400698342412625,505.13630660187243,0.029496,505.13630660187243,0.029496,353.3326657652452,0.003521373046875,353.3326657652452,0.003521373046875,1714.4476165342164,50.24616753860254,774.9702545784551,1.973709106307855,1.973709106307855,0.12998674,1716.9379447342353 
 01/15  11:00:00,-3.0,19.90690789958613,19.90690789958613,17.99965711228395,17.99965711228395,20.999810142509364,20.999810142509364,18.543350445721394,18.543350445721394,53.40073022336024,505.13661597779793,0.029496,505.13661597779793,0.029496,353.3338643184364,0.003521373046875,353.3338643184364,0.003521373046875,1714.450506501875,50.24619410209871,774.9720593539923,1.9737091307207364,1.9737091307207364,0.12998674,1716.9409605924686 
 01/15  12:00:00,-3.0,19.906920004196028,19.906920004196028,18.00001581259476,18.00001581259476,20.99982116495773,20.99982116495773,18.544026807961732,18.544026807961732,53.40076046860901,505.1369775091736,0.029496,505.1369775091736,0.029496,353.49501722414294,0.0035249736328125,353.49501722414294,0.0035249736328125,1714.730755175364,50.24570855253293,775.0992113167474,1.9737086844819278,1.9737086844819278,0.12998674,1717.2639894666331 
