Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.61142857459155,17.999797975067565,17.99979797506401,19.611428574588587,20.832263274872773,18.404405423901824,18.404405423898353,20.832263274870076,55.0,532.6885857787917,0.029496,320.0236786739215,0.0026410297851562504,320.0236786739527,0.0026410297851562504,532.6885857788329,0.029496,1702.9054393357933,51.86719228161088,794.5887772666913,1.9752000161777397,1.9752000161777397,0.12998674,1705.4245289054988 
 01/15  02:00:00,-3.0,19.61141225504066,17.99999258787373,17.999992587870913,19.611412255037784,20.83225291270507,18.404759258287953,18.404759258285118,20.83225291270239,55.0,532.6886552723706,0.029496,320.01879852758435,0.0026410297851562504,320.01879852761084,0.0026410297851562504,532.6886552724131,0.029496,1702.9620860696034,51.867088032782924,794.6152090684313,1.9751999202246848,1.9751999202246848,0.12998674,1705.4149075999787 
 01/15  03:00:00,-3.0,19.611443090458938,17.999901663942147,17.99990166394033,19.61144309045645,20.832270779217872,18.404547200299604,18.404547200297692,20.832270779215513,55.0,532.6885773316534,0.029496,320.0213315481455,0.0026410297851562504,320.0213315481642,0.0026410297851562504,532.6885773316917,0.029496,1702.9004781169695,51.867201408685446,794.586462323825,1.9752000245785506,1.9752000245785506,0.12998674,1705.4198177596547 
 01/15  04:00:00,-3.0,19.61143571957482,17.999956108086057,17.99995610808522,19.611435719572754,20.8322711510834,18.404671771336428,18.404671771335437,20.832271151081407,55.0,532.6883958396791,0.029496,320.0216979770057,0.0026410297851562504,320.0216979770165,0.0026410297851562504,532.6883958397119,0.029496,1702.9344127785105,51.867138960957384,794.6022964979359,1.9751999670999527,1.9751999670999527,0.12998674,1705.4201876334132 
 01/15  05:00:00,-3.0,19.61143099688686,17.99974431697579,17.99974431697565,19.611430996885314,20.832266192567772,18.4042549367439,18.404254936743627,20.83226619256625,55.0,532.6884940377228,0.029496,319.89487086483564,0.0026392294921875007,319.8948708648393,0.0026392294921875007,532.6884940377488,0.029496,1702.7133261436652,51.86754581436121,794.4991357734506,1.975200341579201,1.975200341579201,0.12998674,1705.1667298051466 
 01/15  06:00:00,-3.0,19.611425905387208,17.999785787869303,17.999785787869747,19.61142590538617,20.832261537798704,18.404391565259203,18.404391565259495,20.832261537797653,55.0,532.6886074321947,0.029496,320.0238097501833,0.0026410297851562504,320.02380975018207,0.0026410297851562504,532.6886074322132,0.029496,1702.9057472274596,51.86719171518754,794.5889209313111,1.9752000156563883,1.9752000156563883,0.12998674,1705.4248343647732 
 01/15  07:00:00,-3.0,19.611408934814555,17.999983297843976,17.999983297845255,19.611408934813948,20.832250306422694,18.404749423766518,18.404749423767583,20.832250306422054,55.0,532.6886935258083,0.029496,320.0188919501471,0.0026410297851562504,320.01889195013956,0.0026410297851562504,532.6886935258196,0.029496,1702.9623501067917,51.867087547037954,794.6153322702145,1.9751999197775918,1.9751999197775918,0.12998674,1705.4151709519147 
 01/15  08:00:00,-3.0,19.61143956329743,17.99989422525609,17.999894225258032,19.61143956329707,20.83226781656223,18.404539654513453,18.40453965451519,20.83226781656184,55.0,532.6886226266937,0.029496,320.0214011351728,0.0026410297851562504,320.0214011351588,0.0026410297851562504,532.6886226267009,0.029496,1702.9007088656674,51.86720098418077,794.5865699929424,1.975200024187825,1.975200024187825,0.12998674,1705.4200475237265 
 01/15  09:00:00,-3.0,19.611432201111604,17.999949827090145,17.999949827092596,19.61143220111162,20.832268093666116,18.40466550305315,18.404665503055387,20.832268093666062,55.0,532.6884433681428,0.029496,320.02175574721633,0.0026410297851562504,320.021755747198,0.0026410297851562504,532.6884433681455,0.029496,1702.9346238310368,51.86713857268744,794.602394976668,1.9751999667425784,1.9751999667425784,0.12998674,1705.4203982307026 
 01/15  10:00:00,-3.0,19.61142757991663,17.999738924155423,17.999738924158137,19.611427579917105,20.832263166166285,18.40424964539848,18.40424964540102,20.83226316616666,55.0,532.6885414668513,0.029496,319.8949190996295,0.0026392294921875007,319.89491909960753,0.0026392294921875007,532.6885414668475,0.029496,1702.7135180243251,51.86754546136145,794.4992253064424,1.9752003412542902,1.9752003412542902,0.12998674,1705.1669211329358 
