Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,19.100162268444706,19.100162268444706,19.100162268440755,19.100162268440755,20.95820397892023,20.95820397892023,20.958203978916636,20.958203978916636,51.27,472.5585301898942,0.029496,472.5585301898942,0.029496,472.558530189949,0.029496,472.558530189949,0.029496,1887.833653913629,47.79599615376067,816.6635512384718,1.9715477414228118,1.9715477414228118,0.12998674,1890.2341207596864 
 01/15  02:00:00,-3.0,19.100154942683957,19.100154942683957,19.100154942679758,19.100154942679758,20.958197276039236,20.958197276039236,20.958197276035392,20.958197276035392,51.27,472.5586364087852,0.029496,472.5586364087852,0.029496,472.5586364088441,0.029496,472.5586364088441,0.029496,1887.8340795909605,47.79599537042646,816.6637353834892,1.9715477407357054,1.9715477407357054,0.12998674,1890.2345456352589 
 01/15  03:00:00,-3.0,19.100148081856425,19.100148081856425,19.10014808185196,19.10014808185196,20.958190996895777,20.958190996895777,20.958190996891688,20.958190996891688,51.27,472.5587359106141,0.029496,472.5587359106141,0.029496,472.5587359106768,0.029496,472.5587359106768,0.029496,1887.8344783481825,47.79599463663081,816.6639078830568,1.9715477400920516,1.9715477400920516,0.12998674,1890.2349436425816 
 01/15  04:00:00,-3.0,19.100141655861563,19.100141655861563,19.100141655856792,19.100141655856792,20.95818511419041,20.95818511419041,20.958185114186044,20.958185114186044,51.27,472.55882912831635,0.029496,472.55882912831635,0.029496,472.55882912838297,0.029496,472.55882912838297,0.029496,1887.834851920486,47.79599394918061,816.6640694878059,1.9715477394890504,1.9715477394890504,0.12998674,1890.2353165133989 
 01/15  05:00:00,-3.0,19.100135636597237,19.100135636597237,19.10013563659205,19.10013563659205,20.958179602425574,20.958179602425574,20.958179602420824,20.958179602420824,51.27,472.5589164662341,0.029496,472.5589164662341,0.029496,472.55891646630664,0.029496,472.55891646630664,0.029496,1887.8352019284478,47.79599330509367,816.6642208987867,1.9715477389240856,1.9715477389240856,0.12998674,1890.2356658650815 
 01/15  06:00:00,-3.0,19.100129997822236,19.100129997822236,19.100129997816964,19.100129997816964,20.95817443778244,20.95817443778244,20.958174437777576,20.958174437777576,51.27,472.55899830207284,0.029496,472.55899830207284,0.029496,472.55899830214867,0.029496,472.55899830214867,0.029496,1887.8355298858587,47.7959927015843,816.6643627708543,1.9715477383947138,1.9715477383947138,0.12998674,1890.235993208443 
 01/15  07:00:00,-3.0,19.100124715029597,19.100124715029597,19.10012471502472,19.10012471502472,20.958169598007334,20.958169598007334,20.95816959800279,20.95816959800279,51.27,472.5590749887057,0.029496,472.5590749887057,0.029496,472.559074988778,0.029496,472.559074988778,0.029496,1887.8358372069945,47.79599213604993,816.6644957158146,1.9715477378986515,1.9715477378986515,0.12998674,1890.2362999549673 
 01/15  08:00:00,-3.0,19.100119765328493,19.100119765328493,19.10011976532389,19.10011976532389,20.958165062305874,20.958165062305874,20.9581650623016,20.9581650623016,51.27,472.5591468558552,0.029496,472.5591468558552,0.029496,472.55914685592245,0.029496,472.55914685592245,0.029496,1887.8361252133325,47.79599160605878,816.6646203053293,1.9715477374337664,1.9715477374337664,0.12998674,1890.2365874235554 
 01/15  09:00:00,-3.0,19.100115127334032,19.100115127334032,19.100115127329452,19.100115127329452,20.958160811244127,20.958160811244127,20.958160811239896,20.958160811239896,51.27,472.5592142116585,0.029496,472.5592142116585,0.029496,472.5592142117247,0.029496,472.5592142117247,0.029496,1887.8363951398642,47.79599110933822,816.6647370736471,1.971547736998065,1.971547736998065,0.12998674,1890.2368568467666 
 01/15  10:00:00,-3.0,19.100110781065666,19.100110781065666,19.100110781061197,19.100110781061197,20.95815682665735,20.95815682665735,20.9581568266532,20.9581568266532,51.27,472.5592773441223,0.029496,472.5592773441223,0.029496,472.55927734418754,0.029496,472.55927734418754,0.029496,1887.8366481408539,47.79599064376413,816.6648465200944,1.971547736589684,1.971547736589684,0.12998674,1890.2371093766194 
 01/15  11:00:00,-3.0,19.100106707852547,19.100106707852547,19.10010670784854,19.10010670784854,20.95815309156501,20.95815309156501,20.95815309156125,20.95815309156125,51.27,472.55933652246733,0.029496,472.55933652246733,0.029496,472.55933652252804,0.029496,472.55933652252804,0.029496,1887.8368852952872,47.795990207351,816.6649491114331,1.9715477362068812,1.9715477362068812,0.12998674,1890.2373460899905 
 01/15  12:00:00,-3.0,19.100102890245182,19.100102890245182,19.100102890241974,19.100102890241974,20.95814959009146,20.95814959009146,20.958149590088407,20.958149590088407,51.27,472.5593919983887,0.029496,472.5593919983887,0.029496,472.55939199843954,0.029496,472.55939199843954,0.029496,1887.8371076118938,47.795989798242516,816.6650452840324,1.9715477358480291,1.9715477358480291,0.12998674,1890.2375679936565 
 01/15  13:00:00,-3.0,19.1000993119334,19.1000993119334,19.100099311931018,19.100099311931018,20.958146307392134,20.958146307392134,20.958146307389843,20.958146307389843,51.27,472.5594440072278,0.029496,472.5594440072278,0.029496,472.55944400726656,0.029496,472.55944400726656,0.029496,1887.8373160338883,47.795989414703,816.6651354459202,1.9715477355116053,1.9715477355116053,0.12998674,1890.2377760289887 
 01/15  14:00:00,-3.0,19.100095957669698,19.100095957669698,19.10009595766813,19.10009595766813,20.95814322958468,20.95814322958468,20.95814322958313,20.95814322958313,51.27,472.5594927690629,0.029496,472.5594927690629,0.029496,472.55949276908984,0.029496,472.55949276908984,0.029496,1887.8375114432831,47.795989055109345,816.665219978649,1.9715477351961852,1.9715477351961852,0.12998674,1890.2379710763057 
 01/15  15:00:00,-3.0,19.100092813198614,19.100092813198614,19.10009281319791,19.10009281319791,20.958140343685287,20.958140343685287,20.95814034368454,20.95814034368454,51.27,472.55953848972297,0.029496,472.55953848972297,0.029496,472.5595384897383,0.029496,472.5595384897383,0.029496,1887.8376946649971,47.79598871794356,816.6652992390731,1.971547734900438,1.971547734900438,0.12998674,1890.2381539589226 
