Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,18.924063009885494,17.999734605094815,17.99973460509288,18.924063009881195,20.997648849301292,19.573437586959933,19.573437586958114,20.997648849297306,53.997234647662154,514.4724765813925,0.029496,408.04664395167293,0.0053216660156250005,408.0466439516948,0.0053216660156250005,514.4724765814556,0.029496,1842.4358126531179,50.60732663217374,842.8466629478265,1.9740410813282905,1.9740410813282905,0.12998674,1845.0382410662157 
 01/15  02:00:00,-3.0,18.924119535589412,17.999982362028064,17.99998236202614,18.92411953558549,20.99773335521445,19.5739117497632,19.573911749761404,20.99773335521079,53.997609510239656,514.4769184583685,0.029496,408.0472965533338,0.0053216660156250005,408.04729655335484,0.0053216660156250005,514.4769184584272,0.029496,1842.4923903774968,50.60759748486119,842.8788439061962,1.9740413303361681,1.9740413303361681,0.12998674,1845.0484300234843 
 01/15  03:00:00,-3.0,18.924192917101486,17.99965716979278,17.99965716979067,18.92419291709812,20.997819595636834,19.57320879342739,19.57320879342543,20.997819595633672,53.997970301635036,514.4812296670177,0.029496,407.87493872478814,0.005314464843750001,407.87493872481105,0.005314464843750001,514.4812296670692,0.029496,1842.2001299003675,50.608496299323356,842.7512054843577,1.9740421566600368,1.9740421566600368,0.12998674,1844.7123367836862 
 01/15  04:00:00,-3.0,18.924272993530764,17.999828705544985,17.999828705542697,18.92427299352795,20.997913461245687,19.573567051546952,19.573567051544828,20.997913461243037,53.998317074934306,514.4852844339422,0.029496,408.0581387462305,0.0053216660156250005,408.0581387462553,0.0053216660156250005,514.4852844339855,0.029496,1842.4827046425232,50.608323105719656,842.8863012927283,1.9740419974345855,1.9740419974345855,0.12998674,1845.0868463604133 
 01/15  05:00:00,-3.0,18.92431552139332,17.9996431225928,17.999643122590545,18.924315521390785,20.997984396720348,19.573208242143377,19.57320824214124,20.99798439671798,53.998649507067455,514.489149041111,0.029496,407.8877867734079,0.005314464843750001,407.8877867734335,0.005314464843750001,514.4891490411488,0.029496,1842.2413478388312,50.6090998653521,842.7814719688332,1.974042711547954,1.974042711547954,0.12998674,1844.753871629101 
 01/15  06:00:00,-3.0,18.924393482902932,17.999856016610266,17.999856016608454,18.924393482900626,20.998069070172882,19.57360779862541,19.573607798623648,20.99806907017072,53.9989702518281,514.4930627757255,0.029496,408.06581261776194,0.0053216660156250005,408.06581261778433,0.0053216660156250005,514.4930627757602,0.029496,1842.5125677581095,50.6089215318571,842.910937745005,1.9740425475970675,1.9740425475970675,0.12998674,1845.117750787032 
 01/15  07:00:00,-3.0,18.924440261473208,17.999410071619764,17.999410071618623,18.92444026147144,20.998140241104117,19.57278166430182,19.57278166430067,20.998140241102412,53.99927783834623,514.4965502566035,0.029496,407.9044150051263,0.005314464843750002,407.90441500514186,0.005314464843750002,514.4965502566325,0.029496,1842.2420648638602,50.60972707942291,842.7923560240395,1.9740432881769163,1.9740432881769163,0.12998674,1844.8019305235043 
 01/15  08:00:00,-3.0,18.924478741307436,17.999646120215615,17.999646120215118,18.92447874130643,20.998197393597668,19.57319151272152,19.57319151272098,20.998197393596648,53.99957473001044,514.5003742333217,0.029496,407.89812989578627,0.005314464843750001,407.89812989579445,0.005314464843750001,514.5003742333404,0.029496,1842.2819931512727,50.609950578754706,842.8156099426575,1.9740434936511746,1.9740434936511746,0.12998674,1844.7970082582428 
 01/15  09:00:00,-3.0,18.9245200357334,17.999813357718995,17.99981335771911,18.924520035732947,20.998256171431848,19.573622694151524,19.573622694151545,20.99825617143137,53.99986152879444,514.5038135315197,0.029496,408.08191447663864,0.0053216660156250005,408.08191447664007,0.0053216660156250005,514.5038135315291,0.029496,1842.567109959762,50.60971271094023,842.9508658348275,1.974043274967197,1.974043274967197,0.12998674,1845.1714560163277 
 01/15  10:00:00,-3.0,18.924586288962082,17.999475004516746,17.999475004517585,18.924586288961834,20.998326563412757,19.572864671766197,19.572864671766894,20.998326563412498,54.000139289821746,514.5072417456635,0.029496,407.9091490462099,0.005314464843750002,407.909149046204,0.005314464843750002,514.5072417456679,0.029496,1842.2708181847902,50.61053588620581,842.8199826049165,1.9740440317536956,1.9740440317536956,0.12998674,1844.8327815837454 
 01/15  11:00:00,-3.0,18.9246144886111,17.999408881774038,17.999408881775736,18.924614488610928,20.99837840270989,19.57280084465566,19.572800844657156,20.998378402709708,54.00040599818685,514.5104427494113,0.029496,407.9170137500452,0.005314464843750002,407.91701375002975,0.005314464843750002,514.5104427494143,0.029496,1842.2935999357192,50.61076075723534,842.83488578737,1.9740442384890395,1.9740442384890395,0.12998674,1844.8549129989005 
