Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Operative Temperature [C](Hourly),Z2:Zone Operative Temperature [C](Hourly),Z3:Zone Operative Temperature [C](Hourly),Z4:Zone Operative Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,18.43201481623196,18.00001860954019,18.000018609541247,18.432014816232165,20.367183788860782,19.701738981445114,19.701738981446113,20.367183788861055,51.27,481.77257461492695,0.029496,431.9967470996265,0.0101680546875,431.996747099612,0.0101680546875,481.77257461492013,0.029496,1825.211568751139,47.9112522547063,789.5736779603164,1.9716488442166968,1.9716488442166968,0.12998674,1827.5386434290858 
 01/15  02:00:00,-3.0,18.432061812627413,17.99915799324537,17.999157993246037,18.43206181262675,20.367219659181785,19.700055735823966,19.70005573582462,20.367219659181277,51.27,481.77202811501513,0.029496,431.83691543937647,0.01013925,431.8369154393661,0.01013925,481.77202811501974,0.029496,1824.8390582462239,47.911937857930425,789.4125325377911,1.9716494456593507,1.9716494456593507,0.12998674,1827.2178871087774 
 01/15  03:00:00,-3.0,18.432010664759,17.9997051517621,17.999705151762203,18.432010664757346,20.367182079636496,19.701225492531165,19.70122549253133,20.367182079635086,51.27,481.7724634187988,0.029496,432.00760916084255,0.010168054687500002,432.00760916083834,0.010168054687500002,481.7724634188172,0.029496,1825.1853180789426,47.911300568507336,789.5623221042888,1.9716488865998214,1.9716488865998214,0.12998674,1827.560145159297 
 01/15  04:00:00,-3.0,18.43200640667378,17.99941148731334,17.999411487312663,18.432006406671263,20.367182922855182,19.70074354183169,19.700743541831145,20.36718292285296,51.27,481.7724094821717,0.029496,432.0263191338812,0.0101680546875,432.02631913388603,0.0101680546875,481.77240948220333,0.029496,1825.1733697196582,47.91132255822712,789.5571533281604,1.9716489058902258,1.9716489058902258,0.12998674,1827.5974572321425 
 01/15  05:00:00,-3.0,18.431998001120967,17.99999257491382,17.99999257491246,18.431998001118068,20.36716894691937,19.701713768422398,19.701713768421204,20.367168946916742,51.27,481.77282091697833,0.029496,431.99697334957364,0.0101680546875,431.9969733495881,0.0101680546875,481.7728209170186,0.029496,1825.2124333601437,47.911250663655906,789.5740519840864,1.971648842820954,1.971648842820954,0.12998674,1827.5395885331586 
 01/15  06:00:00,-3.0,18.43204634731933,17.999136765391953,17.999136765390276,18.432046347316536,20.367205946317135,19.700036339329117,19.70003633932759,20.367205946314556,51.27,481.7722463791464,0.029496,431.83717490656846,0.01013925,431.83717490658864,0.01013925,481.7722463791871,0.029496,1824.8400115014765,47.91193610107351,789.4129449093039,1.9716494441181536,1.9716494441181536,0.12998674,1827.2188425714905 
 01/15  07:00:00,-3.0,18.43199634712357,17.999686477861097,17.99968647785954,18.431996347121178,20.367169345527103,19.701208302949595,19.701208302948128,20.367169345524868,51.27,481.7726655139403,0.029496,432.00785071728995,0.010168054687500002,432.0078507173105,0.010168054687500002,481.7726655139767,0.029496,1825.1862080021372,47.91129893087388,789.5627070787989,1.9716488851632137,1.9716488851632137,0.12998674,1827.5610324625172 
 01/15  08:00:00,-3.0,18.432040956826953,17.999818146791032,17.999818146789703,18.43204095682482,20.36720114908079,19.701324093097906,19.701324093096655,20.36720114907881,51.27,481.77243374069354,0.029496,432.0065952495987,0.010168054687500002,432.00659524961634,0.010168054687500002,481.77243374072486,0.029496,1825.1804842260165,47.91130946374604,789.5602310135356,1.9716488944031363,1.9716488944031363,0.12998674,1827.5580579806337 
 01/15  09:00:00,-3.0,18.43202198067895,17.99947092012728,17.999470920125823,18.432021980676787,20.367196013188106,19.700830584566116,19.700830584564777,20.367196013186117,51.27,481.7721310456956,0.029496,432.0252817753106,0.0101680546875,432.025281775328,0.0101680546875,481.77213104572644,0.029496,1825.1720382577523,47.91132500837838,789.5565773471111,1.9716489080396138,1.9716489080396138,0.12998674,1827.5948256420606 
 01/15  10:00:00,-3.0,18.432013190094573,18.000016838014893,18.000016838012968,18.432013190092288,20.367182316118843,19.70173735951098,19.701737359509234,20.367182316116747,51.27,481.7725979654849,0.029496,431.9967697211493,0.0101680546875,431.9967697211715,0.0101680546875,481.7725979655167,0.029496,1825.2116609095265,47.911252085116764,789.5737178273862,1.971648844067925,1.971648844067925,0.12998674,1827.5387353733224 
