Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z5:Zone Air Temperature [C](Hourly),Z6:Zone Air Temperature [C](Hourly),Z7:Zone Air Temperature [C](Hourly),Z8:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z5 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z5 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z6 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z6 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z7 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z7 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z8 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z8 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.99995584265976,20.99995584265976,20.99995584265976,20.99995584265976,21.00051250018909,21.00051250018909,21.00051250018909,21.00051250018909,32.34431923720357,253.46174402950686,0.0202785,253.46174402950686,0.0202785,253.46174402950686,0.0202785,253.46174402950686,0.0202785,444.76625725120726,0.02938078125,444.76625725120726,0.02938078125,444.76625725120726,0.02938078125,444.76625725120726,0.02938078125,2789.7848607583255,28.984186883807723,34.11890358987321,770.5057970456818,2.9918701411683934,2.9918701411683934,0.19863712500000003,2792.9120051228565 
 01/15  02:00:00,-3.0,20.999958973422626,20.999958973422626,20.999958973422626,20.999958973422626,21.00051589647681,21.00051589647681,21.00051589647681,21.00051589647681,32.34432623996045,253.46183160132946,0.0202785,253.46183160132946,0.0202785,253.46183160132946,0.0202785,253.46183160132946,0.0202785,444.76639987879116,0.02938078125,444.76639987879116,0.02938078125,444.76639987879116,0.02938078125,444.76639987879116,0.02938078125,2789.785753130837,28.984192811705086,34.118911160219824,770.5062360999549,2.9918701461547785,2.9918701461547785,0.19863712500000003,2792.9129259204824 
 01/15  03:00:00,-3.0,20.99996218443691,20.99996218443691,20.99996218443691,20.99996218443691,21.000519310963963,21.000519310963963,21.000519310963963,21.000519310963963,32.34433274008841,253.4619059242414,0.0202785,253.4619059242414,0.0202785,253.4619059242414,0.0202785,253.4619059242414,0.0202785,444.76652173327614,0.02938078125,444.76652173327614,0.02938078125,444.76652173327614,0.02938078125,444.76652173327614,0.02938078125,2789.7865080188963,28.98419840256781,34.118918140485874,770.5066221706983,2.9918701508576486,2.9918701508576486,0.19863712500000003,2792.91371063007 
 01/15  04:00:00,-3.0,20.999965434976545,20.999965434976545,20.999965434976545,20.999965434976545,21.00052270747495,21.00052270747495,21.00052270747495,21.00052270747495,32.3443387255716,253.4619676552579,0.0202785,253.4619676552579,0.0202785,253.4619676552579,0.0202785,253.4619676552579,0.0202785,444.7666237904634,0.02938078125,444.7666237904634,0.02938078125,444.7666237904634,0.02938078125,444.7666237904634,0.02938078125,2789.7871335969676,28.984203635975106,34.118924523094755,770.5069573227379,2.991870155259828,2.991870155259828,0.19863712500000003,2792.9143657828854 
 01/15  05:00:00,-3.0,20.99996868823487,20.99996868823487,20.99996868823487,20.99996868823487,21.00052605384362,21.00052605384362,21.00052605384362,21.00052605384362,32.344344190831805,253.46201750811363,0.0202785,253.46201750811363,0.0202785,253.46201750811363,0.0202785,253.46201750811363,0.0202785,444.7667071215905,0.02938078125,444.7667071215905,0.02938078125,444.7667071215905,0.02938078125,444.7667071215905,0.02938078125,2789.7876350223073,28.984208497256336,34.11893030727048,770.5072429609136,2.991870159348977,2.991870159348977,0.19863712500000003,2792.9148985188167 
 01/15  06:00:00,-3.0,20.999971911277857,20.999971911277857,20.999971911277857,20.999971911277857,21.00052932181186,21.00052932181186,21.00052932181186,21.00052932181186,32.34434913610217,253.46205624010878,0.0202785,253.46205624010878,0.0202785,253.46205624010878,0.0202785,253.46205624010878,0.0202785,444.7667728724384,0.02938078125,444.7667728724384,0.02938078125,444.7667728724384,0.02938078125,444.7667728724384,0.02938078125,2789.7880214761926,28.984212977026967,34.11893549832579,770.5074817560396,2.991870163117203,2.991870163117203,0.19863712500000003,2792.9153164501886 
 01/15  07:00:00,-3.0,20.999975074963757,20.999975074963757,20.999975074963757,20.999975074963757,21.000532486899274,21.000532486899274,21.000532486899274,21.000532486899274,32.34435356680923,253.46208463991005,0.0202785,253.46208463991005,0.0202785,253.46208463991005,0.0202785,253.46208463991005,0.0202785,444.7668222439252,0.02938078125,444.7668222439252,0.02938078125,444.7668222439252,0.02938078125,444.7668222439252,0.02938078125,2789.788301249731,28.98421707072746,34.11894010696129,770.507676270254,2.991870166560671,2.991870166560671,0.19863712500000003,2792.915627535341 
 01/15  08:00:00,-3.0,20.999978153833254,20.999978153833254,20.999978153833254,20.999978153833254,21.00053552824801,21.00053552824801,21.00053552824801,21.00053552824801,32.344357492968236,253.46210351632243,0.0202785,253.46210351632243,0.0202785,253.46210351632243,0.0202785,253.46210351632243,0.0202785,444.7668564742353,0.02938078125,444.7668564742353,0.02938078125,444.7668564742353,0.02938078125,444.7668564742353,0.02938078125,2789.7884828247065,28.98422077815729,34.118944148587524,770.507829238184,2.9918701696792143,2.9918701696792143,0.19863712500000003,2792.9158399622306 
 01/15  09:00:00,-3.0,20.999981125974433,20.999981125974433,20.999981125974433,20.999981125974433,21.000538428449158,21.000538428449158,21.000538428449158,21.000538428449158,32.3443609285965,253.46211368805058,0.0202785,253.46211368805058,0.0202785,253.46211368805058,0.0202785,253.46211368805058,0.0202785,444.766876822428,0.02938078125,444.766876822428,0.02938078125,444.766876822428,0.02938078125,444.766876822428,0.02938078125,2789.788574775062,28.98422410300698,34.11894764267572,770.5079435232174,2.9918701724759376,2.9918701724759376,0.19863712500000003,2792.915962041914 
 01/15  10:00:00,-3.0,20.99998397286672,20.99998397286672,20.99998397286672,20.99998397286672,21.000541173352673,21.000541173352673,21.000541173352673,21.000541173352673,32.34436389114903,253.46211597444406,0.0202785,253.46211597444406,0.0202785,253.46211597444406,0.0202785,253.46211597444406,0.0202785,444.7668845535654,0.02938078125,444.7668845535654,0.02938078125,444.7668845535654,0.02938078125,444.7668845535654,0.02938078125,2789.7885856642324,28.98422705241736,34.11895061212809,770.5080220731272,2.991870174956848,2.991870174956848,0.19863712500000003,2792.916002112038 
