Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z5:Zone Air Temperature [C](Hourly),Z6:Zone Air Temperature [C](Hourly),Z7:Zone Air Temperature [C](Hourly),Z8:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z5 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z5 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z6 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z6 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z7 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z7 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z8 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z8 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.999395676217357,20.999395676217357,20.999395676217357,20.999395676217357,21.000180439820245,21.000180439820245,21.000180439820245,21.000180439820245,46.032,498.34183521257654,0.01762846875,498.34183521257654,0.01762846875,498.34183521257654,0.01762846875,498.34183521257654,0.01762846875,194.83258383100838,0.0019488171386718755,194.83258383100838,0.0019488171386718755,194.83258383100838,0.0019488171386718755,194.83258383100838,0.0019488171386718755,2770.594574322069,40.93285166765392,46.032,1066.1980211449577,1.96586841912704,1.96586841912704,0.12998674,1993.3673408503062 
 01/15  02:00:00,-3.0,20.999294579917883,20.999294579917883,20.999294579917883,20.999294579917883,20.999729882948138,20.999729882948138,20.999729882948138,20.999729882948138,46.032,498.3439905878871,0.01762846875,498.3439905878871,0.01762846875,498.3439905878871,0.01762846875,498.3439905878871,0.01762846875,194.75714512244286,0.0019479169921875004,194.75714512244286,0.0019479169921875004,194.75714512244286,0.0019479169921875004,194.75714512244286,0.0019479169921875004,2770.3413493286976,40.93331771628284,46.032,1066.1005734745772,1.96586878862417,1.96586878862417,0.12998674,1993.3759623515484 
 01/15  03:00:00,-3.0,21.00009606200934,21.00009606200934,21.00009606200934,21.00009606200934,21.000506007200862,21.000506007200862,21.000506007200862,21.000506007200862,46.032,498.32254878302933,0.01762846875,498.32254878302933,0.01762846875,498.32254878302933,0.01762846875,498.32254878302933,0.01762846875,194.90896584388545,0.0019497172851562503,194.90896584388545,0.0019497172851562503,194.90896584388545,0.0019497172851562503,194.90896584388545,0.0019497172851562503,2770.9416504797173,40.93221289039403,46.032,1066.331585223911,1.9658679126838141,1.9658679126838141,0.12998674,1993.2901951321173 
 01/15  04:00:00,-3.0,20.999543085495908,20.999543085495908,20.999543085495908,20.999543085495908,20.999788726061382,20.999788726061382,20.999788726061382,20.999788726061382,46.032,498.3379799023901,0.01762846875,498.3379799023901,0.01762846875,498.3379799023901,0.01762846875,498.3379799023901,0.01762846875,194.7566946867363,0.0019479169921875004,194.7566946867363,0.0019479169921875004,194.7566946867363,0.0019479169921875004,194.7566946867363,0.0019479169921875004,2770.3128761729017,40.93337011978,46.032,1066.0896162516597,1.965868830167782,1.965868830167782,0.12998674,1993.3519196095604 
 01/15  05:00:00,-3.0,20.999404393106374,20.999404393106374,20.999404393106374,20.999404393106374,21.000178325539295,21.000178325539295,21.000178325539295,21.000178325539295,46.032,498.3416095084941,0.01762846875,498.3416095084941,0.01762846875,498.3416095084941,0.01762846875,498.3416095084941,0.01762846875,194.8321560001561,0.0019488171386718755,194.8321560001561,0.0019488171386718755,194.8321560001561,0.0019488171386718755,194.8321560001561,0.0019488171386718755,2770.591498974286,40.93285732768613,46.032,1066.1968376698474,1.9658684236144437,1.9658684236144437,0.12998674,1993.3664380339765 
 01/15  06:00:00,-3.0,20.99981677855957,20.99981677855957,20.99981677855957,20.99981677855957,21.000053767220816,21.000053767220816,21.000053767220816,21.000053767220816,46.032,498.4904187855999,0.017657273437500003,498.4904187855999,0.017657273437500003,498.4904187855999,0.017657273437500003,498.4904187855999,0.017657273437500003,194.83471116958685,0.0019488171386718755,194.83471116958685,0.0019488171386718755,194.83471116958685,0.0019488171386718755,194.83471116958685,0.0019488171386718755,2771.1226309941503,40.93187980431318,46.032,1066.4012313093187,1.9658676486085573,1.9658676486085573,0.12998674,1993.9616751423996 
 01/15  07:00:00,-3.0,21.000197578239327,21.000197578239327,21.000197578239327,21.000197578239327,21.000186787208026,21.000186787208026,21.000186787208026,21.000186787208026,46.032,498.4745902098815,0.017657273437500003,498.4745902098815,0.017657273437500003,498.4745902098815,0.017657273437500003,498.4745902098815,0.017657273437500003,194.8318012458954,0.0019488171386718755,194.8318012458954,0.0019488171386718755,194.8318012458954,0.0019488171386718755,194.8318012458954,0.0019488171386718755,2771.045052138857,40.93202258452877,46.032,1066.3713769153333,1.9658677618065514,1.9658677618065514,0.12998674,1993.898360839526 
 01/15  08:00:00,-3.0,20.999531567552065,20.999531567552065,20.999531567552065,20.999531567552065,21.000108126117652,21.000108126117652,21.000108126117652,21.000108126117652,46.032,498.33914728690854,0.01762846875,498.33914728690854,0.01762846875,498.33914728690854,0.01762846875,498.33914728690854,0.01762846875,194.83387378798778,0.0019488171386718755,194.83387378798778,0.0019488171386718755,194.83387378798778,0.0019488171386718755,194.83387378798778,0.0019488171386718755,2770.5882044038635,40.93286339118724,46.032,1066.1955698320708,1.9658684284186378,1.9658684284186378,0.12998674,1993.3565891476342 
 01/15  09:00:00,-3.0,20.999389673989562,20.999389673989562,20.999389673989562,20.999389673989562,21.000237713301814,21.000237713301814,21.000237713301814,21.000237713301814,46.032,498.3419579652306,0.01762846875,498.3419579652306,0.01762846875,498.3419579652306,0.01762846875,498.3419579652306,0.01762846875,194.83135990122054,0.0019488171386718755,194.83135990122054,0.0019488171386718755,194.83135990122054,0.0019488171386718755,194.83135990122054,0.0019488171386718755,2770.590521195211,40.93285912724229,46.032,1066.1964613946157,1.965868425041204,1.965868425041204,0.12998674,1993.3678318609225 
 01/15  10:00:00,-3.0,20.99928916435599,20.99928916435599,20.99928916435599,20.99928916435599,20.999899193815803,20.999899193815803,20.999899193815803,20.999899193815803,46.032,498.34410115803314,0.01762846875,498.34410115803314,0.01762846875,498.34410115803314,0.01762846875,498.34410115803314,0.01762846875,194.83523467493995,0.0019488171386718755,194.83523467493995,0.0019488171386718755,194.83523467493995,0.0019488171386718755,194.83523467493995,0.0019488171386718755,2770.5737324284837,40.93289002617375,46.032,1066.190000633439,1.9658684495411602,1.9658684495411602,0.12998674,1993.3764046321326 
 01/15  11:00:00,-3.0,21.00032187936451,21.00032187936451,21.00032187936451,21.00032187936451,21.00028220502518,21.00028220502518,21.00028220502518,21.00028220502518,46.032,498.4718649077136,0.017657273437500003,498.4718649077136,0.017657273437500003,498.4718649077136,0.017657273437500003,498.4718649077136,0.017657273437500003,194.83247053342222,0.0019488171386718755,194.83247053342222,0.0019488171386718755,194.83247053342222,0.0019488171386718755,194.83247053342222,0.0019488171386718755,2771.156602056837,40.931817282178315,46.032,1066.414304272122,1.9658675990352092,1.9658675990352092,0.12998674,1993.8874596308544 
 01/15  12:00:00,-3.0,20.999507067262012,20.999507067262012,20.999507067262012,20.999507067262012,21.000164374627317,21.000164374627317,21.000164374627317,21.000164374627317,46.032,498.33979799933746,0.01762846875,498.33979799933746,0.01762846875,498.33979799933746,0.01762846875,498.33979799933746,0.01762846875,194.83280054378753,0.0019488171386718755,194.83280054378753,0.0019488171386718755,194.83280054378753,0.0019488171386718755,194.83280054378753,0.0019488171386718755,2770.587017195383,40.93286557618832,46.032,1066.1951129628683,1.965868430152303,1.965868430152303,0.12998674,1993.3591919973499 
 01/15  13:00:00,-3.0,20.999365860078157,20.999365860078157,20.999365860078157,20.999365860078157,20.999808587202114,20.999808587202114,20.999808587202114,20.999808587202114,46.032,498.34245700715087,0.01762846875,498.34245700715087,0.01762846875,498.34245700715087,0.01762846875,498.34245700715087,0.01762846875,194.75607468240065,0.0019479169921875004,194.75607468240065,0.0019479169921875004,194.75607468240065,0.0019479169921875004,194.75607468240065,0.0019479169921875004,2770.3302544287612,40.93333813592166,46.032,1066.096303863835,1.965868804809906,1.965868804809906,0.12998674,1993.3698280286035 
 01/15  14:00:00,-3.0,20.9996510078094,20.9996510078094,20.9996510078094,20.9996510078094,21.000176632182054,21.000176632182054,21.000176632182054,21.000176632182054,46.032,498.3358997363049,0.01762846875,498.3358997363049,0.01762846875,498.3358997363049,0.01762846875,498.3358997363049,0.01762846875,194.91245907055324,0.0019497172851562503,194.91245907055324,0.0019497172851562503,194.91245907055324,0.0019497172851562503,194.91245907055324,0.0019497172851562503,2770.8903095180876,40.93230738100672,46.032,1066.3118278648947,1.9658679875983824,1.9658679875983824,0.12998674,1993.3435989452196 
 01/15  15:00:00,-3.0,20.999892995308535,20.999892995308535,20.999892995308535,20.999892995308535,21.000068557423376,21.000068557423376,21.000068557423376,21.000068557423376,46.032,498.32661009073547,0.01762846875,498.32661009073547,0.01762846875,498.32661009073547,0.01762846875,498.32661009073547,0.01762846875,194.75354094029774,0.0019479169921875004,194.75354094029774,0.0019479169921875004,194.75354094029774,0.0019479169921875004,194.75354094029774,0.0019479169921875004,2770.373394131314,40.93325873933856,46.032,1066.1129051615928,1.965868741866419,1.965868741866419,0.12998674,1993.3064403629419 
