Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z5:Zone Air Temperature [C](Hourly),Z6:Zone Air Temperature [C](Hourly),Z7:Zone Air Temperature [C](Hourly),Z8:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z5 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z5 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z6 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z6 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z7 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z7 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z8 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z8 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.99013693620658,20.99013693620658,18.00004094925999,18.00004094925999,20.99972247272637,20.99972247272637,18.000284410152126,18.000284410152126,45.518621014869055,324.43980162205617,0.029496,324.43980162205617,0.029496,150.7567718347329,0.001435733642578125,150.7567718347329,0.001435733642578125,512.201282214297,0.02408071875,512.201282214297,0.02408071875,331.33130335150815,0.0035537783203125,331.33130335150815,0.0035537783203125,2635.481203258683,40.66814245439103,45.518621014869055,1001.8645007540256,1.9656585728456024,1.9656585728456024,0.12998674,950.3931469135782 
 01/15  02:00:00,-3.0,20.990450672577825,20.990450672577825,17.999822123897108,17.999822123897108,20.999388471237168,20.999388471237168,18.000409542277872,18.000409542277872,45.520192784819756,324.4564234167517,0.029496,324.4564234167517,0.029496,150.69333115521883,0.0014348334960937502,150.69333115521883,0.0014348334960937502,512.0725486526555,0.024023109375,512.0725486526555,0.024023109375,331.34887300488924,0.0035537783203125,331.34887300488924,0.0035537783203125,2635.2248329248323,40.670186061821106,45.520192784819756,1001.8048134024172,1.9656601927294415,1.9656601927294415,0.12998674,950.2995091439411 
 01/15  03:00:00,-3.0,20.990742885418257,20.990742885418257,17.9999401235155,17.9999401235155,20.998340792137718,20.998340792137718,18.000554354234893,18.000554354234893,45.521714660054116,324.47264501610425,0.029496,324.47264501610425,0.029496,150.7748880574055,0.001435733642578125,150.7748880574055,0.001435733642578125,511.96314383029244,0.0239655,511.96314383029244,0.0239655,331.36554713529443,0.0035537783203125,331.36554713529443,0.0035537783203125,2635.149810640766,40.67184601202256,45.521714660054116,1001.8128637779994,1.9656615085046838,1.9656615085046838,0.12998674,950.4950661470195 
 01/15  04:00:00,-3.0,20.99098872503848,20.99098872503848,17.99987897752197,17.99987897752197,20.998258556286995,20.998258556286995,18.000060755632653,18.000060755632653,45.5231909384684,324.48876830804704,0.029496,324.48876830804704,0.029496,150.7101318529045,0.0014348334960937502,150.7101318529045,0.0014348334960937502,512.0015631619153,0.0239655,512.0015631619153,0.0239655,331.28860325025516,0.0035519780273437504,331.28860325025516,0.0035519780273437504,2635.013243921532,40.67357363502732,45.5231909384684,1001.7964187179784,1.965662877924466,1.965662877924466,0.12998674,950.397800321903 
 01/15  05:00:00,-3.0,20.991209634619494,20.991209634619494,18.000027030128724,18.000027030128724,20.998317155230318,20.998317155230318,18.000042128090264,18.000042128090264,45.52462825110949,324.5048340831755,0.029496,324.5048340831755,0.029496,150.7905936262889,0.001435733642578125,150.7905936262889,0.001435733642578125,512.0311863802206,0.0239655,512.0311863802206,0.0239655,331.3064996727608,0.0035519780273437504,331.3064996727608,0.0035519780273437504,2635.2634408948948,40.67455047196716,45.52462825110949,1001.9260813362168,1.9656636522253796,1.9656636522253796,0.12998674,950.5908554189289 
 01/15  06:00:00,-3.0,20.991426349602758,20.991426349602758,17.999774128099503,17.999774128099503,20.998466787195277,20.998466787195277,18.000091997001505,18.000091997001505,45.52603038664954,324.5205185722573,0.029496,324.5205185722573,0.029496,150.72688064432808,0.00143483349609375,150.72688064432808,0.00143483349609375,512.0577521069725,0.0239655,512.0577521069725,0.0239655,331.32300285624046,0.0035519780273437504,331.32300285624046,0.0035519780273437504,2635.2709032593148,40.675938873378286,45.52603038664954,1001.9626146895663,1.9656647527590385,1.9656647527590385,0.12998674,950.4947984331708 
 01/15  07:00:00,-3.0,20.991644228554808,20.991644228554808,17.999774074171977,17.999774074171977,20.998672945110627,20.998672945110627,17.999831932469128,17.999831932469128,45.52739785566895,324.53576458141157,0.029496,324.53576458141157,0.029496,150.73442343704994,0.00143483349609375,150.73442343704994,0.00143483349609375,512.0822763779901,0.0239655,512.0822763779901,0.0239655,331.23855742938906,0.0035501777343750008,331.23855742938906,0.0035501777343750008,2635.221079729791,40.67739804024834,45.52739785566895,1001.976532257707,1.965665909387431,1.965665909387431,0.12998674,950.540376036923 
 01/15  08:00:00,-3.0,20.99187342980673,20.99187342980673,17.99980976042565,17.99980976042565,20.998906048705326,20.998906048705326,17.99959919355215,17.99959919355215,45.52873023075931,324.5504157577546,0.029496,324.5504157577546,0.029496,150.74156805133777,0.00143483349609375,150.74156805133777,0.00143483349609375,512.1053357457747,0.0239655,512.1053357457747,0.0239655,331.2611982200871,0.0035501777343750008,331.2611982200871,0.0035501777343750008,2635.329059948888,40.678531682850284,45.52873023075931,1002.0496089804903,1.9656668079854003,1.9656668079854003,0.12998674,950.5839676181846 
 01/15  09:00:00,-3.0,20.992113958777303,20.992113958777303,17.99986289971316,17.99986289971316,20.999159421657847,20.999159421657847,17.999607110556504,17.999607110556504,45.53002569938293,324.5644248783085,0.029496,324.5644248783085,0.029496,150.74841354020867,0.00143483349609375,150.74841354020867,0.00143483349609375,512.1272464376506,0.0239655,512.1272464376506,0.0239655,331.2769959268526,0.0035501777343750008,331.2769959268526,0.0035501777343750008,2635.4448483167207,40.679614048456884,45.53002569938293,1002.1247703035056,1.9656676659387233,1.9656676659387233,0.12998674,950.6256768370343 
 01/15  10:00:00,-3.0,20.99236583636434,20.99236583636434,17.999938136198768,17.999938136198768,20.999433801224406,20.999433801224406,17.999685740765344,17.999685740765344,45.531282457804465,324.57777477484234,0.029496,324.57777477484234,0.029496,150.75492947143576,0.00143483349609375,150.75492947143576,0.00143483349609375,512.147893806177,0.0239655,512.147893806177,0.0239655,331.29136262715906,0.0035501777343750008,331.29136262715906,0.0035501777343750008,2635.5532277260295,40.6806713396993,45.531282457804465,1002.19618665943,1.9656685040171982,1.9656685040171982,0.12998674,950.6654084925563 
 01/15  11:00:00,-3.0,20.992629472741502,20.992629472741502,18.00003734314527,18.00003734314527,20.999726183599623,20.999726183599623,17.99980775413683,17.99980775413683,45.53249868070756,324.59043461783625,0.029496,324.59043461783625,0.029496,150.7610938369225,0.00143483349609375,150.7610938369225,0.00143483349609375,512.1673028995804,0.0239655,512.1673028995804,0.0239655,331.3046733228681,0.0035501777343750008,331.3046733228681,0.0035501777343750008,2635.654860296436,40.6817005126613,45.53249868070756,1002.2640655917382,1.9656693198079638,1.9656693198079638,0.12998674,950.7030569095175 
 01/15  12:00:00,-3.0,20.992904754363494,20.992904754363494,17.999944190735235,17.999944190735235,21.000033351363406,21.000033351363406,17.9999620538474,17.9999620538474,45.53367248715908,324.60237905977675,0.029496,324.60237905977675,0.029496,150.6948343654292,0.001433933349609375,150.6948343654292,0.001433933349609375,512.1855025512875,0.0239655,512.1855025512875,0.0239655,331.3170590142289,0.0035501777343750008,331.3170590142289,0.0035501777343750008,2635.624350928392,40.682930470162354,45.53367248715908,1002.2806755519492,1.9656702947549758,1.9656702947549758,0.12998674,950.5944268504119 
 01/15  13:00:00,-3.0,20.993185552453106,20.993185552453106,18.000064571813688,18.000064571813688,21.000352162706836,21.000352162706836,18.000137093176015,18.000137093176015,45.53480209766191,324.6136321516005,0.029496,324.6136321516005,0.029496,150.7744903441179,0.00143483349609375,150.7744903441179,0.00143483349609375,512.2025188227891,0.0239655,512.2025188227891,0.0239655,331.3286197262712,0.0035501777343750008,331.3286197262712,0.0035501777343750008,2635.8246074431436,40.68369151801704,45.53480209766191,1002.3839818227796,1.9656708980131181,1.9656708980131181,0.12998674,950.7762449914368 
 01/15  14:00:00,-3.0,20.99346752741953,20.99346752741953,18.000032323568817,18.000032323568817,21.000678606566396,21.000678606566396,18.000323072735522,18.000323072735522,45.53588679948098,324.62427436684334,0.029496,324.62427436684334,0.029496,150.70714088883136,0.001433933349609375,150.70714088883136,0.001433933349609375,512.2184200072459,0.0239655,512.2184200072459,0.0239655,331.3394918612814,0.0035501777343750008,331.3394918612814,0.0035501777343750008,2635.8004856092666,40.68482061493099,45.53588679948098,1002.4008810830893,1.965671793012605,1.965671793012605,0.12998674,950.6628305113493 
 01/15  15:00:00,-3.0,20.99375410062519,20.99375410062519,17.99963507088291,17.99963507088291,21.001002279066984,21.001002279066984,17.999857567390556,17.999857567390556,45.53692616904131,324.6342680368588,0.029496,324.6342680368588,0.029496,150.6426488289071,0.0014330332031250001,150.6426488289071,0.0014330332031250001,512.2333266442646,0.0239655,512.2333266442646,0.0239655,331.25748907680713,0.0035483774414062502,331.25748907680713,0.0035483774414062502,2635.536433273348,40.686345960332325,45.53692616904131,1002.3254421757597,1.9656730021064803,1.9656730021064803,0.12998674,950.553833731532 
 01/15  16:00:00,-3.0,20.99402597618316,20.99402597618316,17.999903593955285,17.999903593955285,21.001314409317054,21.001314409317054,17.999888628068828,17.999888628068828,45.53792008032953,324.64378193838303,0.029496,324.64378193838303,0.029496,150.72003100608993,0.001433933349609375,150.72003100608993,0.001433933349609375,512.2475727427919,0.0239655,512.2475727427919,0.0239655,331.2691172048794,0.0035483774414062502,331.2691172048794,0.0035483774414062502,2635.760930376277,40.686926695315854,45.53792008032953,1002.4347110107108,1.9656734624378116,1.9656734624378116,0.12998674,950.727625888946 
 01/15  17:00:00,-3.0,20.994301855015458,20.994301855015458,17.999686277101087,17.999686277101087,21.001622240714294,21.001622240714294,17.9994199407744,17.9994199407744,45.538870385871746,324.6527573385209,0.029496,324.6527573385209,0.029496,150.6531473289312,0.0014330332031250001,150.6531473289312,0.0014330332031250001,512.2610052841884,0.0239655,512.2610052841884,0.0239655,331.1840640699873,0.0035465771484375005,331.1840640699873,0.0035465771484375005,2635.498776771385,40.688359482174384,45.538870385871746,1002.3578474814548,1.9656745981652402,1.9656745981652402,0.12998674,950.6118093349041 
 01/15  18:00:00,-3.0,20.99456399760965,20.99456399760965,17.999666807075016,17.999666807075016,21.000921431423894,21.000921431423894,18.000012105916248,18.000012105916248,45.539776774950255,324.6611995191227,0.029496,324.6611995191227,0.029496,150.6587680406922,0.0014330332031250001,150.6587680406922,0.0014330332031250001,512.1278762632984,0.023907890625,512.1278762632984,0.023907890625,331.29006406511223,0.0035483774414062502,331.29006406511223,0.0035483774414062502,2635.470658422874,40.68931762174401,45.539776774950255,1002.3689366594807,1.965675357655648,1.965675357655648,0.12998674,950.6399351196297 
 01/15  19:00:00,-3.0,20.994777254599125,20.994777254599125,17.99969811699006,17.99969811699006,21.00034496592994,21.00034496592994,17.999482975412683,17.999482975412683,45.54064214153456,324.669677114102,0.029496,324.669677114102,0.029496,150.66340519536504,0.0014330332031250001,150.66340519536504,0.0014330332031250001,511.9819115514769,0.02385028125,511.9819115514769,0.02385028125,331.2068152677583,0.0035465771484375005,331.2068152677583,0.0035465771484375005,2635.081868965616,40.690898536944125,45.54064214153456,1002.2418603532051,1.9656766108025665,1.9656766108025665,0.12998674,950.6661646189342 
 01/15  20:00:00,-3.0,20.994960232685052,20.994960232685052,17.999741870658607,17.999741870658607,21.000640752557096,21.000640752557096,17.999442707968814,17.999442707968814,45.54147403323903,324.6782191621111,0.029496,324.6782191621111,0.029496,150.6677370225784,0.0014330332031250001,150.6677370225784,0.0014330332031250001,512.1749351979158,0.023907890625,512.1749351979158,0.023907890625,331.21738734060256,0.0035465771484375005,331.21738734060256,0.0035465771484375005,2635.4250303944627,40.69109885626199,45.54147403323903,1002.3923728790804,1.9656767695899218,1.9656767695899218,0.12998674,950.6919123693789 
