Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z5:Zone Air Temperature [C](Hourly),Z6:Zone Air Temperature [C](Hourly),Z7:Zone Air Temperature [C](Hourly),Z8:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z5 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z5 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z6 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z6 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z7 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z7 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z8 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z8 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.551343987889013,20.551343987889013,17.999917561029488,17.999917561029488,21.000588338529514,21.000588338529514,18.000005614133677,18.000005614133677,46.032,545.3997127390631,0.029496,545.3997127390631,0.029496,391.87826002475697,0.0047059658203125,391.87826002475697,0.0047059658203125,251.00677375678106,0.0026896376953125,251.00677375678106,0.0026896376953125,113.15514648327573,0.0009672073974609377,113.15514648327573,0.0009672073974609377,2600.8237917950173,41.245306766868765,46.032,1000.8657368561734,1.9661161732618195,1.9661161732618195,0.12998674,1874.5559455276402 
 01/15  02:00:00,-3.0,20.551349475226246,20.551349475226246,17.999610282922518,17.999610282922518,20.999894856768925,20.999894856768925,17.99976633121787,17.99976633121787,46.032,545.3997319713994,0.029496,545.3997319713994,0.029496,391.8840221883441,0.0047059658203125,391.8840221883441,0.0047059658203125,250.88965033782785,0.0026878374023437505,250.88965033782785,0.0026878374023437505,113.10254103257128,0.0009667573242187502,113.10254103257128,0.0009667573242187502,2600.450026905558,41.24599466347783,46.032,1000.7219022478159,1.9661167187822555,1.9661167187822555,0.12998674,1874.567508319487 
 01/15  03:00:00,-3.0,20.55134385632963,20.55134385632963,17.999917411665102,17.999917411665102,21.000550117374456,21.000550117374456,17.999597518561885,17.999597518561885,46.032,545.3997156051005,0.029496,545.3997156051005,0.029496,391.87826215152415,0.0047059658203125,391.87826215152415,0.0047059658203125,251.00722735883596,0.0026896376953125,251.00722735883596,0.0026896376953125,113.10378178525721,0.0009667573242187502,113.10378178525721,0.0009667573242187502,2600.7219464184864,41.24549420846946,46.032,1000.8265440634325,1.966116321909029,1.966116321909029,0.12998674,1874.5559555132495 
 01/15  04:00:00,-3.0,20.551349352612966,20.551349352612966,17.99961014345927,17.99961014345927,21.000662332838587,21.000662332838587,18.000091480414216,18.000091480414216,46.032,545.3997346424549,0.029496,545.3997346424549,0.029496,391.88402417032944,0.0047059658203125,391.88402417032944,0.0047059658203125,251.0060969535392,0.0026896376953125,251.0060969535392,0.0026896376953125,113.15438544724171,0.0009672073974609377,113.15438544724171,0.0009672073974609377,2600.7557798623475,41.24543193961553,46.032,1000.8395640668742,1.9661162725269552,1.9661162725269552,0.12998674,1874.5675176255686 
 01/15  05:00:00,-3.0,20.551343742053295,20.551343742053295,17.99991728169543,17.99991728169543,21.00015082320383,21.00015082320383,17.999698119466196,17.999698119466196,46.032,545.399718094576,0.029496,545.399718094576,0.029496,391.87826400216676,0.0047059658203125,391.87826400216676,0.0047059658203125,251.01328917831188,0.0026896376953125,251.01328917831188,0.0026896376953125,113.10323788380197,0.0009667573242187502,113.10323788380197,0.0009667573242187502,2600.7008157411765,41.245533098482085,46.032,1000.8184124203037,1.9661163527487844,1.9661163527487844,0.12998674,1874.5559641934856 
 01/15  06:00:00,-3.0,20.551349246099825,20.551349246099825,17.999610022112115,17.999610022112115,21.000587571627214,21.000587571627214,17.99957325930184,17.99957325930184,46.032,545.3997369627389,0.029496,545.3997369627389,0.029496,391.88402589488004,0.0047059658203125,391.88402589488004,0.0047059658203125,251.00680028899274,0.0026896376953125,251.00680028899274,0.0026896376953125,113.10390351385519,0.0009667573242187502,113.10390351385519,0.0009667573242187502,2600.6559862401264,41.24561560505943,46.032,1000.8011608434213,1.966116418179055,1.966116418179055,0.12998674,1874.5675257152377 
 01/15  07:00:00,-3.0,20.551343642775876,20.551343642775876,17.999917168614886,17.999917168614886,21.000102485394017,21.000102485394017,18.00014772002026,18.00014772002026,46.032,545.3997202572691,0.029496,545.3997202572691,0.029496,391.8782656123479,0.0047059658203125,391.8782656123479,0.0047059658203125,250.88491935466976,0.0026878374023437505,250.88491935466976,0.0026878374023437505,113.1539910561333,0.0009672073974609377,113.1539910561333,0.0009672073974609377,2600.6086395547773,41.24570274439546,46.032,1000.7829405874897,1.9661164872829167,1.9661164872829167,0.12998674,1874.5559717392339 
 01/15  08:00:00,-3.0,20.551349153560516,20.551349153560516,17.999609916539274,17.999609916539274,21.00043854950222,21.00043854950222,17.999671138730527,17.999671138730527,46.032,545.3997389785827,0.029496,545.3997389785827,0.029496,391.8840273952697,0.0047059658203125,391.8840273952697,0.0047059658203125,251.01087252269625,0.0026896376953125,251.01087252269625,0.0026896376953125,113.1034860996306,0.0009667573242187502,113.1034860996306,0.0009667573242187502,2600.663783125694,41.24560125526014,46.032,1000.8041612910655,1.9661164067988706,1.9661164067988706,0.12998674,1874.5675327477047 
 01/15  09:00:00,-3.0,20.551343556517267,20.551343556517267,17.999917070238897,17.999917070238897,21.00062597104171,21.00062597104171,17.999812618491553,17.999812618491553,46.032,545.3997221363259,0.029496,545.3997221363259,0.029496,391.8782670131641,0.0047059658203125,391.8782670131641,0.0047059658203125,251.006506418649,0.0026896376953125,251.006506418649,0.0026896376953125,113.15607765117483,0.0009672073974609377,113.15607765117483,0.0009672073974609377,2600.8115367523355,41.24532932169545,46.032,1000.8610207918391,1.9661161911491685,1.9661161911491685,0.12998674,1874.5559782989799 
 01/15  10:00:00,-3.0,20.5513490731516,20.5513490731516,17.999609824698474,17.999609824698474,21.00024497253814,21.00024497253814,17.999948010297995,17.999948010297995,46.032,545.3997407301571,0.029496,545.3997407301571,0.029496,391.88402870051357,0.0047059658203125,391.88402870051357,0.0047059658203125,251.01138141881646,0.0026896376953125,251.01138141881646,0.0026896376953125,113.10167175546785,0.0009667573242187502,113.10167175546785,0.0009667573242187502,2600.6416532158514,41.245641984312996,46.032,1000.7956451168476,1.9661164390985548,1.9661164390985548,0.12998674,1874.5675388613413 
