Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z5:Zone Air Temperature [C](Hourly),Z6:Zone Air Temperature [C](Hourly),Z7:Zone Air Temperature [C](Hourly),Z8:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z5 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z5 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z6 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z6 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z7 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z7 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z8 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z8 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.991365605190154,17.999956527957963,17.999956527958723,20.991365605189294,17.999668568779075,19.252262820047026,19.25226282004914,17.99966856877684,40.83508021697383,424.7428256034813,0.029496,116.876745293135,0.0012327506103515626,116.87674529313114,0.0012327506103515626,424.7428256034998,0.029496,287.4230178270044,0.003838224609375001,461.96752510962546,0.029496,461.9675251095786,0.029496,287.42301782703225,0.003838224609375001,2580.102843898035,36.086522908850455,40.83508021697383,870.6157634637212,1.9623427232566257,1.9623427232566257,0.12998674,1083.2391417932472 
 01/15  02:00:00,-3.0,20.9917222723006,17.99978614554119,17.99978614554191,20.991722272299736,17.99978057857132,19.252683906169246,19.25268390617095,17.999780578569055,40.83645459284488,424.76450657697245,0.029496,116.84353589672233,0.001232300537109375,116.8435358967186,0.001232300537109375,424.7645065769908,0.029496,287.4393881062279,0.003838224609375001,461.9878453814121,0.029496,461.9878453813733,0.029496,287.4393881062562,0.003838224609375001,2580.1515822998954,36.08780758399702,40.83645459284488,870.6645475576612,1.9623436366447902,1.9623436366447902,0.12998674,1083.2160849474042 
 01/15  03:00:00,-3.0,20.992075222094186,17.99990643041012,17.999906430410768,20.99207522209332,17.999986725637328,19.25309323616313,19.253093236164368,17.999986725635075,40.83777203504198,424.7852404338946,0.029496,116.84977629661927,0.001232300537109375,116.84977629661583,0.001232300537109375,424.7852404339135,0.029496,287.45362295799936,0.003838224609375001,462.00728381629153,0.029496,462.0072838162628,0.029496,287.45362295802795,0.003838224609375001,2580.271239418582,36.08890480292405,40.83777203504198,870.7359250551624,1.962344416754661,1.962344416754661,0.12998674,1083.270033461043 
 01/15  04:00:00,-3.0,20.992438807534835,17.999801176517575,17.999801176518126,20.992438807533965,18.00024280311035,19.25349913303742,19.253499133038176,18.00024280310811,40.839032685522966,424.80452972166086,0.029496,116.81517647538811,0.0012318504638671873,116.81517647538513,0.0012318504638671873,424.8045297216793,0.029496,287.4664208762106,0.003838224609375001,462.0256055467832,0.029496,462.0256055467644,0.029496,287.46642087623877,0.003838224609375001,2580.301014358589,36.090110654035584,40.839032685522966,870.7756365532604,1.9623452741013079,1.9623452741013079,0.12998674,1083.2394123941135 
 01/15  05:00:00,-3.0,20.992789885834828,17.99963081374389,17.99963081374435,20.992789885833968,17.999657574733572,19.253892752996002,19.253892752996368,17.99965757473134,40.84023518698118,424.8225914266751,0.029496,116.78121280674686,0.001231400390625,116.78121280674443,0.001231400390625,424.8225914266935,0.029496,287.33784438605863,0.003834624023437501,462.04282036953725,0.029496,462.0428203695276,0.029496,287.3378443860868,0.003834624023437501,2580.023704294569,36.09182353155661,40.84023518698118,870.7103455427955,1.9623464919394171,1.9623464919394171,0.12998674,1083.20760846686 
 01/15  06:00:00,-3.0,20.99306822444518,17.999726631762428,17.999726631762762,20.99306822444433,17.999587634427684,19.25422958169314,19.25422958169323,17.99958763442548,40.84138358429719,424.8409342188548,0.029496,116.78678309080092,0.001231400390625,116.78678309079912,0.001231400390625,424.8409342188732,0.029496,287.27612675088363,0.003832823730468751,462.05993833039634,0.029496,462.0599383303932,0.029496,287.27612675091143,0.003832823730468751,2580.021441586152,36.09297609328049,40.84138358429719,870.7366013696578,1.962347311399747,1.962347311399747,0.12998674,1083.2554346193278 
 01/15  07:00:00,-3.0,20.993350763891947,17.999893505519395,17.999893505519633,20.993350763891094,17.99923843873749,19.254554484738783,19.254554484738883,17.999238438735333,40.84248673618568,424.8585790381188,0.029496,116.79164223956032,0.001231400390625,116.79164223955905,0.001231400390625,424.8585790381368,0.029496,287.21885360103516,0.003831023437500001,462.07658629322935,0.029496,462.07658629322765,0.029496,287.21885360106245,0.003831023437500001,2579.963148773383,36.09418653033505,40.84248673618568,870.7428820040398,1.9623481720096234,1.9623481720096234,0.12998674,1083.300442555375 
 01/15  08:00:00,-3.0,20.993613518579867,18.000090817216822,18.000090817216993,20.99361351857904,17.99929084099586,19.25485174934324,19.254851749343512,17.999290840993954,40.84354553454826,424.87558023927545,0.029496,116.79608084108366,0.001231400390625,116.79608084108271,0.001231400390625,424.8755802392934,0.029496,287.23292030735297,0.003831023437500001,462.09279705842,0.029496,462.09279705841584,0.029496,287.2329203073781,0.003831023437500001,2580.0658447887413,36.09505632153639,40.84354553454826,870.8024537402504,1.9623487904238421,1.9623487904238421,0.12998674,1083.3433221607352 
 01/15  09:00:00,-3.0,20.99388907481628,18.000301153064523,18.000301153064665,20.99388907481552,17.999418657723254,19.25514728396552,19.25514728396618,17.999418657721872,40.84456189979901,424.8915450048936,0.029496,116.8002238181441,0.001231400390625,116.80022381814331,0.001231400390625,424.8915450049103,0.029496,287.24434141411047,0.003831023437500001,462.1082634098258,0.029496,462.1082634098142,0.029496,287.24434141412985,0.003831023437500001,2580.158588426705,36.09590199650598,40.84456189979901,870.8576699166002,1.962349391691997,1.962349391691997,0.12998674,1083.3835376460913 
 01/15  10:00:00,-3.0,20.99417950357453,18.000213342833824,18.000213342833973,20.99417950357391,17.999594137178473,19.255446486505512,19.25544648650648,17.999594137177844,40.84553387087721,424.9062411256462,0.029496,116.76377349647366,0.0012309503173828125,116.76377349647292,0.0012309503173828125,424.90624112566036,0.029496,287.25449949763856,0.003831023437500001,462.12271834301475,0.029496,462.1227183429952,0.029496,287.25449949764914,0.003831023437500001,2580.1627322066606,36.096866341153074,40.84553387087721,870.881938017634,1.9623500773338165,1.9623500773338165,0.12998674,1083.340029244253 
