Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z5:Zone Air Temperature [C](Hourly),Z6:Zone Air Temperature [C](Hourly),Z7:Zone Air Temperature [C](Hourly),Z8:Zone Air Temperature [C](Hourly),HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z1 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z5 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z5 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z6 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z6 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z7 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z7 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),Z8 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z8 RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Inlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Load Side Outlet Temperature [C](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Fluid Heat Gain Rate [W](Hourly),SUPPLY PUMP:Pump Mass Flow Rate [kg/s](Hourly),Baseboard Total Heating Rate All Zones:PythonPlugin:OutputVariable [W](Hourly) 
 01/15  01:00:00,-3.0,20.099516836577557,18.00039408094976,18.00039408094976,20.099516836577557,18.000002332768663,21.00130340387989,21.00130340387989,18.000002332768663,46.032,555.071105108942,0.029496,374.3923916419918,0.0042882978515625,374.3923916419918,0.0042882978515625,555.071105108942,0.029496,91.86712560016208,0.0007842526245117187,272.25944975418975,0.0030244921875,272.25944975418975,0.0030244921875,91.86712560016208,0.0007842526245117187,2585.084773113167,41.274273686680175,46.032,994.8089464730267,1.9661391450827979,1.9661391450827979,0.12998674,1858.9269935018674 
 01/15  02:00:00,-3.0,20.099512897537664,18.000680601294967,18.000680601294967,20.099512897537664,18.000016049534175,21.000376533700848,21.000376533700848,18.000016049534175,46.032,555.0709363187561,0.029496,374.38932980325717,0.0042882978515625,374.38932980325717,0.0042882978515625,555.0709363187561,0.029496,91.8670990285119,0.0007842526245117187,272.15664344082995,0.00302269189453125,272.15664344082995,0.00302269189453125,91.8670990285119,0.0007842526245117187,2584.9157327234825,41.27458479752589,46.032,994.7438952632085,1.966139391807877,1.966139391807877,0.12998674,1858.9205322440266 
 01/15  03:00:00,-3.0,20.099518138994643,18.000914551049,18.000914551049,20.099518138994643,17.999926991055318,21.000895156094572,21.000895156094572,17.999926991055318,46.032,555.0708075509295,0.029496,374.55745710147886,0.0042918984375,374.55745710147886,0.0042918984375,555.0708075509295,0.029496,91.86727312846885,0.0007842526245117187,272.26746180324596,0.0030244921875,272.26746180324596,0.0030244921875,91.86727312846885,0.0007842526245117187,2585.3921230707792,41.273708023613366,46.032,994.9272228602117,1.9661386964859153,1.9661386964859153,0.12998674,1859.2565293048167 
 01/15  04:00:00,-3.0,20.099523482010742,18.00036349784609,18.00036349784609,20.099523482010742,18.000099468658284,21.001104201135863,21.001104201135863,18.000099468658284,46.032,555.0707283701801,0.029496,374.396747724555,0.0042882978515625,374.396747724555,0.0042882978515625,555.0707283701801,0.029496,91.89355079708974,0.0007844776611328125,272.2619220029613,0.0030244921875,272.2619220029613,0.0030244921875,91.89355079708974,0.0007844776611328125,2585.151988392894,41.27414998013548,46.032,994.8348126892172,1.966139046977711,1.966139046977711,0.12998674,1858.93495218947 
 01/15  05:00:00,-3.0,20.09952690554993,18.000363101255218,18.000363101255218,20.09952690554993,17.999948390459508,21.001212510139148,21.001212510139148,17.999948390459508,46.032,555.0707389659026,0.029496,374.39592316611964,0.0042882978515625,374.39592316611964,0.0042882978515625,555.0707389659026,0.029496,91.84043600206144,0.0007840275878906249,272.26052161815306,0.0030244921875,272.26052161815306,0.0030244921875,91.84043600206144,0.0007840275878906249,2585.0541450779415,41.27433005613105,46.032,994.7971599955494,1.9661391897861382,1.9661391897861382,0.12998674,1858.9333242640446 
 01/15  06:00:00,-3.0,20.09952622258755,18.00042468946451,18.00042468946451,20.09952622258755,17.99998690673545,21.001278142992724,21.001278142992724,17.99998690673545,46.032,555.0708371607914,0.029496,374.3923720651218,0.0042882978515625,374.3923720651218,0.0042882978515625,555.0708371607914,0.029496,91.86712494934122,0.0007842526245117186,272.2597425525481,0.0030244921875,272.2597425525481,0.0030244921875,91.86712494934122,0.0007842526245117186,2585.085496926323,41.27427235453628,46.032,994.8092250154598,1.9661391440261602,1.9661391440261602,0.12998674,1858.9264184518265 
 01/15  07:00:00,-3.0,20.099521481094826,18.000690220697443,18.000690220697443,20.099521481094826,17.999997257284672,21.001319254640656,21.001319254640656,17.999997257284672,46.032,555.0707425076484,0.029496,374.3892428086944,0.0042882978515625,374.3892428086944,0.0042882978515625,555.0707425076484,0.029496,91.86716001619263,0.0007842526245117186,272.259240376511,0.0030244921875,272.259240376511,0.0030244921875,91.86716001619263,0.0007842526245117186,2585.1219714739054,41.27420522485581,46.032,994.82326138542,1.9661390907894778,1.9661390907894778,0.12998674,1858.9199706326856 
 01/15  08:00:00,-3.0,20.09952576827315,18.000924195194504,18.000924195194504,20.09952576827315,17.99997943095163,21.00010217499517,21.00010217499517,17.99997943095163,46.032,555.0706399909275,0.029496,374.5573290691439,0.0042918984375,374.5573290691439,0.0042918984375,555.0706399909275,0.029496,91.86714065595437,0.0007842526245117186,272.16326550038696,0.00302269189453125,272.16326550038696,0.00302269189453125,91.86714065595437,0.0007842526245117186,2585.1811582381833,41.27409629441425,46.032,994.846038016666,1.9661390044023919,1.9661390044023919,0.12998674,1859.255938120143 
 01/15  09:00:00,-3.0,20.0995304368996,18.000372718313272,18.000372718313272,20.0995304368996,17.999960323135483,21.00102739775514,21.00102739775514,17.999960323135483,46.032,555.0705762509988,0.029496,374.39662196852123,0.0042882978515625,374.39662196852123,0.0042882978515625,555.0705762509988,0.029496,91.89382614806564,0.0007844776611328125,272.2626326763618,0.0030244921875,272.2626326763618,0.0030244921875,91.89382614806564,0.0007844776611328125,2585.1399300727808,41.27417217290359,46.032,994.8301723289269,1.9661390645775794,1.9661390645775794,0.12998674,1858.9343964390403 
 01/15  10:00:00,-3.0,20.099533305552374,18.000371569540913,18.000371569540913,20.099533305552374,18.000118414721705,21.001167698148144,21.001167698148144,18.000118414721705,46.032,555.0705991689612,0.029496,374.39580737165534,0.0042882978515625,374.39580737165534,0.0042882978515625,555.0705991689612,0.029496,91.89348501284323,0.0007844776611328125,272.26109269946085,0.0030244921875,272.26109269946085,0.0030244921875,91.89348501284323,0.0007844776611328125,2585.147379929679,41.27415846179416,46.032,994.8330392307668,1.9661390537042576,1.9661390537042576,0.12998674,1858.9328130812332 
